date,abbreviation_canton_and_fl,ncumul_conf,ncumul_deceased,current_hosp,current_icu,current_vent
2020-02-24,AG,0,0,,,
2020-02-25,AG,1,0,,,
2020-02-26,AG,1,0,,,
2020-02-27,AG,1,0,,,
2020-02-28,AG,1,0,,,
2020-02-29,AG,3,0,,,
2020-03-01,AG,5,0,,,
2020-03-02,AG,6,0,,,
2020-03-03,AG,7,0,,,
2020-03-04,AG,10,0,,,
2020-03-05,AG,12,0,,,
2020-03-06,AG,14,0,,,
2020-03-07,AG,14,0,,,
2020-03-08,AG,15,0,,,
2020-03-09,AG,18,0,,,
2020-03-10,AG,21,0,,,
2020-03-11,AG,28,0,,,
2020-03-12,AG,35,0,,,
2020-03-13,AG,41,0,,,
2020-03-14,AG,51,0,,,
2020-03-15,AG,59,0,,,
2020-03-16,AG,92,0,,,
2020-03-17,AG,128,0,,,
2020-03-18,AG,163,0,,,
2020-03-19,AG,196,1,,,
2020-03-20,AG,233,1,,,
2020-03-21,AG,244,1,,,
2020-03-22,AG,253,1,,,
2020-03-23,AG,295,2,,,
2020-03-24,AG,349,2,,,
2020-03-25,AG,396,2,,,
2020-03-26,AG,431,3,,,
2020-03-27,AG,486,5,,,
2020-03-28,AG,508,8,,,
2020-03-29,AG,526,9,,,
2020-03-30,AG,587,11,56,21,
2020-03-31,AG,629,11,81,26,
2020-04-01,AG,666,11,82,25,
2020-04-02,AG,700,14,71,28,
2020-04-03,AG,740,15,72,27,
2020-04-04,AG,763,18,70,27,
2020-04-05,AG,774,19,70,27,
2020-04-06,AG,819,19,66,25,
2020-04-07,AG,852,19,63,23,
2020-04-08,AG,874,22,60,22,
2020-04-09,AG,899,22,62,21,
2020-04-10,AG,910,25,60,23,
2020-04-11,AG,915,26,63,23,
2020-04-12,AG,923,26,57,21,
2020-04-13,AG,935,26,51,21,
2020-04-14,AG,959,28,55,18,
2020-04-15,AG,975,28,43,21,
2020-04-16,AG,994,29,44,20,
2020-04-17,AG,1017,29,41,19,
2020-04-18,AG,1023,29,39,18,
2020-04-19,AG,1023,29,38,17,
2020-04-20,AG,1036,30,36,17,
2020-04-21,AG,1052,32,35,17,
2020-04-22,AG,1065,33,32,15,
2020-04-23,AG,1077,34,29,14,
2020-04-24,AG,1089,34,33,14,
2020-04-25,AG,1094,35,37,13,
2020-04-26,AG,1095,35,41,15,
2020-04-27,AG,1106,36,39,14,
2020-04-28,AG,1110,36,36,11,
2020-04-29,AG,1119,38,41,11,
2020-04-30,AG,1126,38,36,9,
2020-05-01,AG,1131,39,29,9,
2020-05-02,AG,1134,39,28,8,
2020-05-03,AG,1134,39,31,8,
2020-05-04,AG,1143,40,27,5,
2020-05-05,AG,1146,40,19,5,
2020-05-06,AG,1150,40,23,5,
2020-05-07,AG,1152,40,17,4,
2020-05-08,AG,1157,41,13,4,
2020-05-09,AG,1163,41,13,4,
2020-05-10,AG,1165,42,12,3,
2020-05-11,AG,1167,42,13,3,
2020-05-12,AG,1171,42,11,1,
2020-05-13,AG,1176,42,7,1,
2020-05-14,AG,1178,42,6,1,
2020-05-15,AG,1182,43,5,1,
2020-05-16,AG,1186,44,5,1,
2020-05-17,AG,1186,44,5,1,
2020-05-18,AG,1190,44,5,2,
2020-05-19,AG,1194,44,5,3,
2020-05-20,AG,1196,44,8,3,
2020-05-21,AG,1196,44,8,3,
2020-05-22,AG,1197,44,8,3,
2020-05-23,AG,1197,44,8,3,
2020-05-24,AG,1197,44,8,3,
2020-05-25,AG,1198,44,5,2,
2020-05-26,AG,1200,45,5,2,
2020-05-27,AG,1200,45,5,2,
2020-05-28,AG,1206,45,4,1,
2020-05-29,AG,1207,45,3,1,
2020-05-30,AG,1209,45,3,1,
2020-05-31,AG,1210,45,3,1,
2020-06-01,AG,1210,45,4,2,
2020-06-02,AG,1213,45,4,2,
2020-06-03,AG,1213,45,4,2,
2020-06-04,AG,1213,45,3,1,
2020-06-05,AG,1213,45,3,1,
2020-06-06,AG,1214,45,3,1,
2020-06-07,AG,1215,45,3,1,
2020-06-08,AG,1216,45,3,1,
2020-06-09,AG,1216,45,3,1,
2020-06-10,AG,1217,45,3,1,
2020-06-11,AG,1221,45,3,1,
2020-06-12,AG,1223,45,3,1,
2020-06-13,AG,1223,45,3,1,
2020-06-14,AG,1226,45,3,1,
2020-06-15,AG,1227,45,3,1,
2020-06-16,AG,1227,45,3,1,
2020-06-17,AG,1228,45,3,1,
2020-06-18,AG,1233,45,1,1,
2020-06-19,AG,1235,45,1,1,
2020-06-20,AG,1236,45,1,1,
2020-06-21,AG,1236,46,1,1,
2020-06-22,AG,1238,46,2,1,
2020-06-23,AG,1241,46,2,1,
2020-06-24,AG,1248,46,2,1,
2020-06-25,AG,1254,46,0,0,
2020-06-26,AG,1263,46,0,0,
2020-06-27,AG,1270,46,0,0,
2020-06-28,AG,1273,46,0,0,
2020-06-29,AG,1297,46,2,1,
2020-06-30,AG,1311,46,2,1,
2020-07-01,AG,1317,46,2,1,
2020-07-02,AG,1329,46,2,1,
2020-07-03,AG,1335,46,1,0,
2020-07-04,AG,1336,46,1,0,
2020-07-05,AG,1338,46,1,0,
2020-07-06,AG,1348,46,1,1,
2020-07-07,AG,1357,46,1,1,
2020-07-08,AG,1368,46,1,1,
2020-07-09,AG,1373,46,1,1,
2020-07-10,AG,1388,46,1,1,
2020-07-11,AG,1393,46,1,1,
2020-07-12,AG,1395,46,1,1,
2020-07-13,AG,1409,46,4,1,
2020-07-14,AG,1423,46,4,1,
2020-07-15,AG,1436,46,4,1,
2020-07-16,AG,1445,46,6,2,
2020-07-17,AG,1458,46,5,1,
2020-07-18,AG,1463,46,5,1,
2020-07-19,AG,1467,46,5,1,
2020-07-20,AG,1480,46,2,1,
2020-07-21,AG,1495,46,2,1,
2020-07-22,AG,1503,46,2,1,
2020-07-23,AG,1517,46,6,1,
2020-07-24,AG,1527,46,6,1,
2020-07-25,AG,1531,46,6,1,
2020-07-26,AG,1536,46,6,1,
2020-07-27,AG,1548,47,10,1,
2020-07-28,AG,1560,47,10,2,
2020-07-29,AG,1575,47,10,3,
2020-07-30,AG,1593,47,13,3,
2020-07-31,AG,1607,47,14,3,
2020-08-01,AG,1612,48,14,3,
2020-08-02,AG,1613,48,14,3,
2020-08-03,AG,1632,48,12,5,
2020-08-04,AG,1646,48,12,5,
2020-08-05,AG,1663,48,12,5,
2020-08-06,AG,1673,48,12,5,
2020-08-07,AG,1682,48,10,4,
2020-08-08,AG,1686,48,10,4,
2020-08-09,AG,1692,48,10,4,
2020-08-10,AG,1715,48,10,4,
2020-08-11,AG,1744,48,10,5,
2020-08-12,AG,1763,48,10,4,
2020-08-13,AG,1776,48,10,4,
2020-08-14,AG,1792,48,10,4,
2020-08-15,AG,1803,48,10,4,
2020-08-16,AG,1812,48,10,4,
2020-08-17,AG,1837,49,8,2,
2020-08-18,AG,1866,49,8,2,
2020-08-19,AG,1884,49,8,2,
2020-08-20,AG,1901,49,6,1,
2020-08-21,AG,1924,49,6,2,
2020-08-22,AG,1938,49,6,2,
2020-08-23,AG,1946,50,6,2,
2020-08-24,AG,1972,50,10,3,
