date,abbreviation_canton_and_fl,ncumul_conf,ncumul_deceased,current_hosp,current_icu,current_vent
2020-02-24,BE,0,0,,,
2020-02-25,BE,0,0,,,
2020-02-26,BE,0,0,,,
2020-02-27,BE,1,0,,,
2020-02-28,BE,1,0,,,
2020-02-29,BE,2,0,,,
2020-03-01,BE,2,0,,,
2020-03-02,BE,6,0,,,
2020-03-03,BE,9,0,,,
2020-03-04,BE,17,0,,,
2020-03-05,BE,22,0,,,
2020-03-06,BE,31,0,,,
2020-03-07,BE,31,0,,,
2020-03-08,BE,34,0,,,
2020-03-09,BE,38,0,,,
2020-03-10,BE,45,0,,,
2020-03-11,BE,61,0,,,
2020-03-12,BE,85,0,,,
2020-03-13,BE,95,0,,,
2020-03-14,BE,115,0,,,
2020-03-15,BE,135,0,,,
2020-03-16,BE,203,1,,,
2020-03-17,BE,257,2,,,
2020-03-18,BE,319,2,,,
2020-03-19,BE,371,2,,,
2020-03-20,BE,432,3,,,
2020-03-21,BE,474,5,,,
2020-03-22,BE,509,6,,,
2020-03-23,BE,578,6,,,
2020-03-24,BE,632,6,,,
2020-03-25,BE,690,7,,,
2020-03-26,BE,744,9,,,
2020-03-27,BE,824,9,,,
2020-03-28,BE,848,13,,,
2020-03-29,BE,868,15,,,
2020-03-30,BE,942,20,83,21,
2020-03-31,BE,1015,21,81,21,
2020-04-01,BE,1072,24,81,24,
2020-04-02,BE,1115,26,80,23,
2020-04-03,BE,1178,26,77,29,
2020-04-04,BE,1218,29,78,28,
2020-04-05,BE,1232,33,75,31,
2020-04-06,BE,1303,33,81,31,
2020-04-07,BE,1355,37,81,28,
2020-04-08,BE,1414,42,71,28,
2020-04-09,BE,1434,46,74,28,
2020-04-10,BE,1451,52,72,27,
2020-04-11,BE,1471,55,72,24,
2020-04-12,BE,1482,58,74,25,
2020-04-13,BE,1499,64,74,26,
2020-04-14,BE,1535,66,76,22,
2020-04-15,BE,1565,68,69,19,
2020-04-16,BE,1587,69,64,18,
2020-04-17,BE,1605,71,64,18,
2020-04-18,BE,1613,75,71,18,
2020-04-19,BE,1623,75,62,17,
2020-04-20,BE,1656,79,68,16,
2020-04-21,BE,1675,81,61,14,
2020-04-22,BE,1685,83,52,11,
2020-04-23,BE,1706,85,48,11,
2020-04-24,BE,1716,86,51,11,
2020-04-25,BE,1720,87,48,9,
2020-04-26,BE,1729,87,40,11,
2020-04-27,BE,1743,87,35,10,
2020-04-28,BE,1755,89,34,9,
2020-04-29,BE,1768,89,31,8,
2020-04-30,BE,1778,90,28,8,
2020-05-01,BE,1788,90,29,8,
2020-05-02,BE,1794,90,28,8,
2020-05-03,BE,1796,90,24,5,
2020-05-04,BE,1802,90,27,8,
2020-05-05,BE,1806,90,25,7,
2020-05-06,BE,1814,90,27,8,
2020-05-07,BE,1821,91,24,8,
2020-05-08,BE,1827,91,25,8,
2020-05-09,BE,1832,91,29,10,
2020-05-10,BE,1834,92,24,8,
2020-05-11,BE,1836,92,28,8,
2020-05-12,BE,1839,92,25,6,
2020-05-13,BE,1844,92,21,7,
2020-05-14,BE,1850,92,19,7,
2020-05-15,BE,1853,92,22,6,
2020-05-16,BE,1853,92,22,4,
2020-05-17,BE,1853,92,22,3,
2020-05-18,BE,1856,92,24,2,
2020-05-19,BE,1860,93,22,2,
2020-05-20,BE,1863,93,18,4,
2020-05-21,BE,1866,93,17,4,
2020-05-22,BE,1870,93,15,2,
2020-05-23,BE,1870,93,13,2,
2020-05-24,BE,1871,93,13,2,
2020-05-25,BE,1872,93,13,1,
2020-05-26,BE,1872,94,11,1,
2020-05-27,BE,1874,94,9,1,
2020-05-28,BE,1876,94,8,1,
2020-05-29,BE,1878,94,7,0,
2020-05-30,BE,1878,94,7,0,
2020-05-31,BE,1880,94,7,0,
2020-06-01,BE,1880,94,7,0,
2020-06-02,BE,1882,94,7,0,
2020-06-03,BE,1883,94,7,0,
2020-06-04,BE,1886,94,7,0,
2020-06-05,BE,1886,94,7,0,
2020-06-06,BE,1886,94,7,0,
2020-06-07,BE,1887,94,7,0,
2020-06-08,BE,1892,94,5,0,
2020-06-09,BE,1892,94,5,0,
2020-06-10,BE,1898,94,5,0,
2020-06-11,BE,1900,94,4,0,
2020-06-12,BE,1901,94,4,0,
2020-06-13,BE,1902,94,4,0,
2020-06-14,BE,1902,94,4,0,
2020-06-15,BE,1904,94,4,0,
2020-06-16,BE,1905,94,4,0,
2020-06-17,BE,1905,94,4,0,
2020-06-18,BE,1905,94,1,0,
2020-06-19,BE,1906,94,1,0,
2020-06-20,BE,1910,94,1,0,
2020-06-21,BE,1912,94,2,0,
2020-06-22,BE,1915,94,5,0,
2020-06-23,BE,1918,94,5,0,
2020-06-24,BE,1918,94,5,0,
2020-06-25,BE,1918,94,5,0,
2020-06-26,BE,1923,94,4,0,
2020-06-27,BE,1924,94,5,0,
2020-06-28,BE,1925,94,5,0,
2020-06-29,BE,1930,94,7,0,
2020-06-30,BE,1937,94,7,0,
2020-07-01,BE,1941,94,7,0,
2020-07-02,BE,1944,94,4,1,
2020-07-03,BE,1951,94,4,1,
2020-07-04,BE,1952,94,4,1,
2020-07-05,BE,1954,94,4,1,
2020-07-06,BE,1959,94,7,1,
2020-07-07,BE,1965,94,7,1,
2020-07-08,BE,1969,94,6,1,
2020-07-09,BE,1978,94,6,2,
2020-07-10,BE,1986,94,8,2,
2020-07-11,BE,1992,94,8,2,
2020-07-12,BE,1993,94,9,2,
2020-07-13,BE,2004,94,8,1,
2020-07-14,BE,2013,94,8,2,
2020-07-15,BE,2021,94,10,3,
2020-07-16,BE,2030,94,6,4,
2020-07-17,BE,2041,94,4,3,
2020-07-18,BE,2044,94,4,3,
2020-07-19,BE,2047,94,4,3,
2020-07-20,BE,2054,94,10,4,
2020-07-21,BE,2055,94,10,3,
2020-07-22,BE,2058,94,10,2,
2020-07-23,BE,2060,94,9,2,
2020-07-24,BE,2073,94,9,2,
2020-07-25,BE,2078,94,9,2,
2020-07-26,BE,2081,94,9,2,
2020-07-27,BE,2087,94,11,2,
2020-07-28,BE,2093,94,11,2,
2020-07-29,BE,2106,94,13,2,
2020-07-30,BE,2118,94,13,2,
2020-07-31,BE,2134,94,16,2,
2020-08-01,BE,2140,94,16,2,
2020-08-02,BE,2144,94,16,2,
2020-08-03,BE,2158,94,13,3,
2020-08-04,BE,2169,94,11,4,
2020-08-05,BE,2183,94,11,3,
2020-08-06,BE,2187,94,13,3,
2020-08-07,BE,2197,95,13,3,
2020-08-08,BE,2202,95,13,2,
2020-08-09,BE,2208,95,13,2,
2020-08-10,BE,2226,95,9,2,
2020-08-11,BE,2252,95,7,2,
2020-08-12,BE,2276,95,10,2,
2020-08-13,BE,2290,95,9,1,
2020-08-14,BE,2307,95,7,1,
2020-08-15,BE,2313,95,7,1,
2020-08-16,BE,2317,95,7,1,
2020-08-17,BE,2331,95,5,1,
2020-08-18,BE,2343,95,7,1,
2020-08-19,BE,2359,95,6,1,
2020-08-20,BE,2376,95,6,2,
2020-08-21,BE,2393,95,7,3,
2020-08-22,BE,2406,96,7,3,
2020-08-23,BE,2415,96,7,2,
2020-08-24,BE,2440,96,8,2,
2020-08-25,BE,2458,96,8,2,
2020-08-26,BE,2477,96,6,2,
2020-08-27,BE,2498,96,6,2,
2020-08-28,BE,2523,96,6,2,
2020-08-29,BE,2530,96,6,2,
2020-08-30,BE,2537,96,7,2,
2020-08-31,BE,2560,96,10,3,
2020-09-01,BE,2578,96,10,2,
2020-09-02,BE,2607,96,9,2,
2020-09-03,BE,2643,96,9,2,
2020-09-04,BE,2670,96,8,1,
2020-09-05,BE,2680,96,8,1,
2020-09-06,BE,2691,96,8,1,
2020-09-07,BE,2719,96,3,2,
2020-09-08,BE,2741,96,4,2,
2020-09-09,BE,2778,96,3,2,
2020-09-10,BE,2806,96,11,2,
2020-09-11,BE,2848,96,11,2,
2020-09-12,BE,2868,96,12,2,
2020-09-13,BE,2883,96,12,2,
2020-09-14,BE,2943,96,12,2,
2020-09-15,BE,2994,96,12,2,
2020-09-16,BE,3051,96,13,2,
2020-09-17,BE,3094,97,16,2,
2020-09-18,BE,3152,97,14,2,
2020-09-19,BE,3179,97,12,1,
2020-09-20,BE,3197,97,14,1,
2020-09-21,BE,3248,98,20,3,
2020-09-22,BE,3283,98,23,3,
2020-09-23,BE,3320,98,24,3,
2020-09-24,BE,3356,98,20,3,
2020-09-25,BE,3392,98,18,4,
2020-09-26,BE,3417,98,16,3,
2020-09-27,BE,3434,98,16,3,
2020-09-28,BE,3483,99,23,2,
2020-09-29,BE,3528,99,21,2,
2020-09-30,BE,3587,99,21,0,
2020-10-01,BE,3646,99,22,0,
2020-10-02,BE,3723,99,24,0,
2020-10-03,BE,3753,99,24,0,
2020-10-04,BE,3780,99,23,0,
2020-10-05,BE,3890,100,19,5,
2020-10-06,BE,3987,100,25,4,
2020-10-07,BE,4087,100,30,4,
2020-10-08,BE,4212,100,34,6,
2020-10-09,BE,4351,100,34,6,
2020-10-10,BE,4443,100,34,5,
2020-10-11,BE,4520,100,34,5,
2020-10-12,BE,4796,100,43,6,
2020-10-13,BE,5037,100,46,6,
2020-10-14,BE,5313,100,51,7,
2020-10-15,BE,5645,101,47,5,
2020-10-16,BE,5946,101,40,5,
2020-10-17,BE,6156,102,41,5,
2020-10-18,BE,6314,102,59,10,
2020-10-19,BE,6877,103,69,9,
2020-10-20,BE,7441,104,81,10,
2020-10-21,BE,8071,105,87,11,
2020-10-22,BE,8696,107,114,12,
2020-10-23,BE,9340,107,116,14,
2020-10-24,BE,9748,112,116,13,
2020-10-25,BE,10043,117,126,15,
2020-10-26,BE,11041,119,167,22,
2020-10-27,BE,11923,123,195,24,
2020-10-28,BE,12738,130,184,22,
2020-10-29,BE,13530,137,182,25,
2020-10-30,BE,14342,145,210,26,
2020-10-31,BE,14742,154,221,29,
2020-11-01,BE,15041,162,239,34,
2020-11-02,BE,16052,170,311,35,
2020-11-03,BE,16888,177,298,38,
2020-11-04,BE,17661,187,303,38,
2020-11-05,BE,18300,196,323,46,
2020-11-06,BE,18922,205,323,48,
2020-11-07,BE,19289,217,334,49,
2020-11-08,BE,19506,221,352,51,
2020-11-09,BE,20243,232,378,52,
2020-11-10,BE,20854,239,382,56,
2020-11-11,BE,21381,252,352,54,
2020-11-12,BE,21913,268,346,51,
2020-11-13,BE,22408,276,353,46,
2020-11-14,BE,22729,284,353,50,
2020-11-15,BE,22924,298,362,53,
2020-11-16,BE,23518,306,352,58,
2020-11-17,BE,24021,320,334,63,
2020-11-18,BE,24466,326,340,64,
2020-11-19,BE,24954,334,317,62,
2020-11-20,BE,25357,342,332,64,
2020-11-21,BE,25632,349,344,65,
2020-11-22,BE,25829,361,346,60,
2020-11-23,BE,26437,372,345,62,
2020-11-24,BE,26897,383,305,61,
2020-11-25,BE,27359,393,288,55,
2020-11-26,BE,27793,407,298,52,
2020-11-27,BE,28207,419,291,48,
2020-11-28,BE,28468,426,283,48,
2020-11-29,BE,28655,435,294,49,
2020-11-30,BE,29178,447,305,51,
2020-12-01,BE,29592,456,296,51,
2020-12-02,BE,30097,465,274,51,
