date,abbreviation_canton_and_fl,ncumul_conf,ncumul_deceased,current_hosp,current_icu,current_vent
2020-02-24,BL,0,0,,,
2020-02-25,BL,0,0,,,
2020-02-26,BL,1,0,,,
2020-02-27,BL,1,0,,,
2020-02-28,BL,3,0,,,
2020-02-29,BL,4,0,,,
2020-03-01,BL,4,0,,,
2020-03-02,BL,4,0,,,
2020-03-03,BL,4,0,,,
2020-03-04,BL,6,0,,,
2020-03-05,BL,9,0,,,
2020-03-06,BL,17,0,,,
2020-03-07,BL,18,0,,,
2020-03-08,BL,18,1,,,
2020-03-09,BL,21,1,,,
2020-03-10,BL,25,1,,,
2020-03-11,BL,40,2,,,
2020-03-12,BL,52,2,,,
2020-03-13,BL,75,2,,,
2020-03-14,BL,83,2,,,
2020-03-15,BL,97,2,,,
2020-03-16,BL,130,2,,,
2020-03-17,BL,155,2,,,
2020-03-18,BL,197,2,,,
2020-03-19,BL,227,2,,,
2020-03-20,BL,276,3,,,
2020-03-21,BL,301,3,,,
2020-03-22,BL,323,3,,,
2020-03-23,BL,358,4,,,
2020-03-24,BL,407,5,,,
2020-03-25,BL,454,5,,,
2020-03-26,BL,486,5,,,
2020-03-27,BL,527,6,,,
2020-03-28,BL,550,8,,,
2020-03-29,BL,559,9,,,
2020-03-30,BL,596,11,64,17,
2020-03-31,BL,627,12,60,18,
2020-04-01,BL,645,15,59,17,
2020-04-02,BL,662,18,54,18,
2020-04-03,BL,683,19,53,18,
2020-04-04,BL,698,19,62,18,
2020-04-05,BL,708,19,59,18,
2020-04-06,BL,726,19,53,17,
2020-04-07,BL,746,20,51,18,
2020-04-08,BL,761,20,52,18,
2020-04-09,BL,770,21,49,18,
2020-04-10,BL,774,22,42,17,
2020-04-11,BL,782,23,38,16,
2020-04-12,BL,789,24,36,16,
2020-04-13,BL,795,24,35,16,
2020-04-14,BL,813,24,36,14,
2020-04-15,BL,824,24,40,9,
2020-04-16,BL,832,24,39,8,
2020-04-17,BL,835,24,33,8,
2020-04-18,BL,837,24,31,7,
2020-04-19,BL,838,24,31,7,
2020-04-20,BL,844,25,29,6,
2020-04-21,BL,846,26,26,3,
2020-04-22,BL,847,26,26,3,
2020-04-23,BL,850,28,24,2,
2020-04-24,BL,852,28,18,2,
2020-04-25,BL,852,28,16,0,
2020-04-26,BL,853,28,16,0,
2020-04-27,BL,856,29,16,1,
2020-04-28,BL,860,29,13,1,
2020-04-29,BL,862,29,12,1,
2020-04-30,BL,864,30,9,1,
2020-05-01,BL,866,31,8,1,
2020-05-02,BL,867,31,8,2,
2020-05-03,BL,867,31,10,1,
2020-05-04,BL,868,32,9,1,
2020-05-05,BL,868,32,8,1,
2020-05-06,BL,869,32,6,1,
2020-05-07,BL,869,33,6,1,
2020-05-08,BL,869,33,5,1,
2020-05-09,BL,870,33,3,1,
2020-05-10,BL,870,33,2,1,
2020-05-11,BL,871,33,3,1,
2020-05-12,BL,871,33,3,1,
2020-05-13,BL,871,33,2,1,
2020-05-14,BL,871,33,3,1,
2020-05-15,BL,872,34,1,0,
2020-05-16,BL,872,34,1,1,
2020-05-17,BL,872,34,3,1,
2020-05-18,BL,872,34,3,0,
2020-05-19,BL,872,34,3,0,
2020-05-20,BL,872,34,3,0,
2020-05-21,BL,872,34,3,0,
2020-05-22,BL,872,34,2,0,
2020-05-23,BL,872,34,2,0,
2020-05-24,BL,872,34,2,0,
2020-05-25,BL,873,34,2,0,
2020-05-26,BL,873,34,0,0,
2020-05-27,BL,875,34,0,0,
2020-05-28,BL,875,34,0,0,
2020-05-29,BL,876,34,0,0,
2020-05-30,BL,876,34,0,0,
2020-05-31,BL,877,34,0,0,
2020-06-01,BL,878,34,0,0,
2020-06-02,BL,878,34,0,0,
2020-06-03,BL,879,34,0,0,
2020-06-04,BL,879,34,0,0,
2020-06-05,BL,879,34,0,0,
2020-06-06,BL,879,34,0,0,
2020-06-07,BL,879,34,0,0,
2020-06-08,BL,880,34,0,0,
2020-06-09,BL,880,34,0,0,
2020-06-10,BL,880,34,0,0,
2020-06-11,BL,880,34,0,0,
2020-06-12,BL,880,34,0,0,
2020-06-13,BL,880,34,0,0,
2020-06-14,BL,880,34,0,0,
2020-06-15,BL,881,34,0,0,
2020-06-16,BL,881,34,0,0,
2020-06-17,BL,881,34,0,0,
2020-06-18,BL,881,34,0,0,
2020-06-19,BL,882,34,0,0,
2020-06-20,BL,883,34,0,0,
2020-06-21,BL,883,34,0,0,
2020-06-22,BL,885,34,0,0,
2020-06-23,BL,886,34,0,0,
2020-06-24,BL,886,34,0,0,
2020-06-25,BL,889,34,0,0,
2020-06-26,BL,892,34,0,0,
2020-06-27,BL,892,34,0,0,
2020-06-28,BL,892,34,0,0,
2020-06-29,BL,892,34,0,0,
2020-06-30,BL,894,34,0,0,
2020-07-01,BL,898,34,0,0,
2020-07-02,BL,898,34,0,0,
2020-07-03,BL,901,34,0,0,
2020-07-04,BL,902,34,0,0,
2020-07-05,BL,904,34,0,0,
2020-07-06,BL,908,34,1,0,
2020-07-07,BL,911,34,1,0,
2020-07-08,BL,916,34,1,0,
2020-07-09,BL,919,34,1,0,
2020-07-10,BL,923,34,2,1,
2020-07-11,BL,926,34,2,1,
2020-07-12,BL,926,34,2,1,
2020-07-13,BL,931,34,3,0,
2020-07-14,BL,932,34,3,0,
2020-07-15,BL,932,34,2,0,
2020-07-16,BL,935,34,2,0,
2020-07-17,BL,935,34,3,0,
2020-07-18,BL,935,34,3,0,
2020-07-19,BL,936,34,3,0,
2020-07-20,BL,937,34,0,0,
2020-07-21,BL,941,34,0,0,
2020-07-22,BL,942,34,0,0,
2020-07-23,BL,943,34,0,0,
2020-07-24,BL,947,34,0,0,
2020-07-25,BL,947,34,0,0,
2020-07-26,BL,947,34,0,0,
2020-07-27,BL,950,34,2,0,
2020-07-28,BL,952,34,2,0,
2020-07-29,BL,953,34,3,1,
2020-07-30,BL,957,34,3,1,
2020-07-31,BL,960,34,3,1,
2020-08-01,BL,960,34,3,1,
2020-08-02,BL,963,34,3,1,
2020-08-03,BL,970,34,1,1,
2020-08-04,BL,974,34,1,1,
2020-08-05,BL,976,34,2,0,
2020-08-06,BL,977,34,3,0,
2020-08-07,BL,978,34,1,0,
2020-08-08,BL,978,34,1,0,
2020-08-09,BL,980,34,1,0,
2020-08-10,BL,986,34,1,0,
2020-08-11,BL,990,34,1,0,
2020-08-12,BL,992,34,1,0,
2020-08-13,BL,995,34,1,1,
2020-08-14,BL,1004,34,1,1,
2020-08-15,BL,1006,34,1,1,
2020-08-16,BL,1009,34,1,1,
2020-08-17,BL,1011,34,1,1,
2020-08-18,BL,1013,34,2,1,
2020-08-19,BL,1023,34,1,1,
2020-08-20,BL,1034,34,1,1,
2020-08-21,BL,1038,34,1,1,
2020-08-22,BL,1041,34,1,1,
2020-08-23,BL,1041,34,1,1,
2020-08-24,BL,1048,34,1,1,
2020-08-25,BL,1052,34,1,1,
2020-08-26,BL,1057,34,2,1,
2020-08-27,BL,1063,34,3,1,
2020-08-28,BL,1070,34,3,1,
2020-08-29,BL,1073,34,3,1,
2020-08-30,BL,1077,34,3,1,
2020-08-31,BL,1081,34,2,1,
2020-09-01,BL,1087,34,1,0,
2020-09-02,BL,1091,34,1,0,
2020-09-03,BL,1092,34,0,0,
2020-09-04,BL,1096,34,0,0,
2020-09-05,BL,1100,34,0,0,
2020-09-06,BL,1101,35,0,0,
2020-09-07,BL,1109,35,0,0,
2020-09-08,BL,1114,35,0,0,
2020-09-09,BL,1120,35,0,0,
2020-09-10,BL,1127,35,0,0,
2020-09-11,BL,1131,35,0,0,
2020-09-12,BL,1133,35,2,0,
2020-09-13,BL,1133,35,2,0,
2020-09-14,BL,1140,35,2,0,
2020-09-15,BL,1141,35,3,0,
2020-09-16,BL,1145,35,3,0,
2020-09-17,BL,1148,35,3,0,
2020-09-18,BL,1149,36,3,0,
2020-09-19,BL,1149,36,3,0,
2020-09-20,BL,1152,36,3,0,
2020-09-21,BL,1154,36,2,0,
2020-09-22,BL,1157,36,3,0,
2020-09-23,BL,1159,36,1,0,
2020-09-24,BL,1166,36,1,0,
2020-09-25,BL,1168,36,1,0,
2020-09-26,BL,1169,36,1,0,
2020-09-27,BL,1171,36,1,0,
2020-09-28,BL,1172,36,0,0,
2020-09-29,BL,1174,36,0,0,
2020-09-30,BL,1181,36,0,0,
2020-10-01,BL,1186,36,0,0,
2020-10-02,BL,1194,36,0,0,
2020-10-03,BL,1196,36,0,0,
2020-10-04,BL,1204,36,0,0,
2020-10-05,BL,1216,36,0,0,
2020-10-06,BL,1228,36,0,0,
2020-10-07,BL,1244,36,0,0,
2020-10-08,BL,1262,36,0,0,
2020-10-09,BL,1282,36,4,1,
2020-10-10,BL,1294,36,4,1,
2020-10-11,BL,1315,36,4,1,
2020-10-12,BL,1371,36,3,0,
2020-10-13,BL,1402,36,4,0,
2020-10-14,BL,1458,36,3,0,
2020-10-15,BL,1512,36,4,0,
2020-10-16,BL,1573,36,4,0,
2020-10-17,BL,1607,36,4,0,
2020-10-18,BL,1635,36,4,0,
2020-10-19,BL,1722,36,11,1,
2020-10-20,BL,1794,37,12,2,
2020-10-21,BL,1877,37,17,3,
2020-10-22,BL,1991,38,17,4,
2020-10-23,BL,2113,38,19,4,
2020-10-24,BL,2185,38,23,4,
2020-10-25,BL,2249,38,23,4,
2020-10-26,BL,2386,38,27,4,
2020-10-27,BL,2510,38,31,5,
2020-10-28,BL,2646,40,32,5,
2020-10-29,BL,2757,40,29,4,
2020-10-30,BL,2934,40,30,4,
2020-10-31,BL,3054,40,32,6,
2020-11-01,BL,3113,42,35,5,
2020-11-02,BL,3290,43,34,5,
2020-11-03,BL,3427,43,38,5,
2020-11-04,BL,3559,43,33,4,
2020-11-05,BL,3663,43,45,3,
2020-11-06,BL,3766,43,42,4,
2020-11-07,BL,3815,43,54,7,
2020-11-08,BL,3870,43,58,5,
2020-11-09,BL,4030,45,67,5,
2020-11-10,BL,4174,46,73,5,
2020-11-11,BL,4307,47,75,6,
2020-11-12,BL,4448,48,71,8,
2020-11-13,BL,4565,52,62,7,
2020-11-14,BL,4647,52,61,4,
2020-11-15,BL,4719,53,66,4,
2020-11-16,BL,4906,53,66,4,
2020-11-17,BL,5069,54,71,6,
2020-11-18,BL,5238,57,64,4,
2020-11-19,BL,5361,59,73,6,
2020-11-20,BL,5497,61,71,8,
2020-11-21,BL,5595,61,78,7,
2020-11-22,BL,5662,62,82,7,
2020-11-23,BL,5848,63,77,8,
2020-11-24,BL,5998,65,86,10,
2020-11-25,BL,6174,65,74,9,
2020-11-26,BL,6323,66,74,9,
2020-11-27,BL,6453,69,70,9,
2020-11-28,BL,6534,71,59,10,
2020-11-29,BL,6615,71,55,9,
2020-11-30,BL,6812,73,67,8,
2020-12-01,BL,6968,73,58,8,
2020-12-02,BL,7120,76,61,7,
2020-12-03,BL,7265,79,60,6,
2020-12-04,BL,7443,81,58,7,
2020-12-05,BL,7523,84,64,7,
2020-12-06,BL,7639,87,63,6,
2020-12-07,BL,7852,93,57,6,
2020-12-08,BL,8058,95,59,8,
2020-12-09,BL,8252,99,68,7,
2020-12-10,BL,8426,99,63,7,
2020-12-11,BL,8607,101,60,6,
2020-12-12,BL,8682,103,70,8,
2020-12-13,BL,8765,108,62,7,
2020-12-14,BL,8957,113,61,6,
2020-12-15,BL,9133,117,63,3,
2020-12-16,BL,9295,121,58,3,
2020-12-17,BL,9444,128,57,4,
2020-12-18,BL,9588,134,62,4,
2020-12-19,BL,9680,137,63,5,
2020-12-20,BL,9758,141,71,5,
2020-12-21,BL,9971,142,64,5,
2020-12-22,BL,10127,144,67,5,
2020-12-23,BL,10283,145,66,6,
2020-12-24,BL,10382,147,57,9,
2020-12-25,BL,10435,149,67,9,
2020-12-26,BL,10505,152,69,9,
2020-12-27,BL,10585,158,74,8,
2020-12-28,BL,10738,161,75,7,
2020-12-29,BL,10867,166,76,8,
2020-12-30,BL,10977,169,68,8,
2020-12-31,BL,11034,171,69,8,
2021-01-01,BL,11101,175,64,9,
2021-01-02,BL,11181,177,68,9,
2021-01-03,BL,11247,181,69,7,
2021-01-04,BL,11394,183,65,7,
2021-01-05,BL,11485,184,76,9,
2021-01-06,BL,11571,185,70,10,
2021-01-07,BL,11640,186,64,9,
2021-01-08,BL,11698,186,62,7,
2021-01-09,BL,11754,186,65,7,
2021-01-10,BL,11794,187,64,7,
2021-01-11,BL,11884,188,56,7,
2021-01-12,BL,11936,188,48,6,
2021-01-13,BL,11998,189,41,6,
2021-01-14,BL,12059,189,43,6,
2021-01-15,BL,12109,191,32,4,
2021-01-16,BL,12145,193,27,4,
2021-01-17,BL,12178,194,26,5,
2021-01-18,BL,12246,195,28,5,
2021-01-19,BL,12305,196,30,6,
2021-01-20,BL,12367,196,25,5,
2021-01-21,BL,12431,196,24,5,
2021-01-22,BL,12481,196,25,6,
2021-01-23,BL,12505,198,25,6,
2021-01-24,BL,12526,198,25,6,
2021-01-25,BL,12586,198,25,6,
2021-01-26,BL,12635,200,25,6,
2021-01-27,BL,12671,200,24,6,
2021-01-28,BL,12715,201,20,5,
2021-01-29,BL,12749,201,17,4,
2021-01-30,BL,12772,202,14,4,
2021-01-31,BL,12805,202,18,4,
2021-02-01,BL,12875,202,21,4,
2021-02-02,BL,12923,202,25,4,
2021-02-03,BL,12948,202,23,5,
2021-02-04,BL,12987,203,24,3,
2021-02-05,BL,13035,203,20,3,
2021-02-06,BL,13053,205,21,3,
2021-02-07,BL,13094,205,20,3,
2021-02-08,BL,13145,205,20,3,
2021-02-09,BL,13177,205,21,3,
2021-02-10,BL,13221,205,15,3,
2021-02-11,BL,13259,206,17,1,
2021-02-12,BL,13297,206,19,1,
2021-02-13,BL,13316,207,19,1,
2021-02-14,BL,13330,207,18,1,
2021-02-15,BL,13371,207,19,1,
2021-02-16,BL,13393,207,21,0,
2021-02-17,BL,13430,207,22,0,
2021-02-18,BL,13467,207,19,0,
2021-02-19,BL,13507,207,23,0,
2021-02-20,BL,13523,207,26,1,
2021-02-21,BL,13540,207,27,2,
2021-02-22,BL,13567,207,25,2,
2021-02-23,BL,13595,207,21,2,
2021-02-24,BL,13624,207,19,2,
2021-02-25,BL,13654,207,15,3,
2021-02-26,BL,13693,207,13,2,
2021-02-27,BL,13719,207,15,2,
2021-02-28,BL,13728,207,17,2,
2021-03-01,BL,13762,207,17,2,
2021-03-02,BL,13818,208,20,2,
2021-03-03,BL,13856,208,17,2,
2021-03-04,BL,13898,208,15,2,
2021-03-05,BL,13925,209,12,2,
2021-03-06,BL,13946,209,15,2,
2021-03-07,BL,13961,209,15,2,
2021-03-08,BL,14013,209,17,2,
2021-03-09,BL,14057,209,14,2,
2021-03-10,BL,14112,209,16,2,
2021-03-11,BL,14166,209,15,2,
2021-03-12,BL,14203,209,15,1,
2021-03-13,BL,14223,209,15,2,
2021-03-14,BL,14256,209,14,2,
2021-03-15,BL,14334,209,15,3,
2021-03-16,BL,14408,209,16,3,
2021-03-17,BL,14487,209,16,3,
2021-03-18,BL,14526,209,15,2,
2021-03-19,BL,14577,209,12,1,
2021-03-20,BL,14607,209,17,1,
2021-03-21,BL,14639,209,16,1,
2021-03-22,BL,14694,209,15,1,
2021-03-23,BL,14755,209,15,1,
2021-03-24,BL,14805,210,15,3,
2021-03-25,BL,14856,210,14,3,
2021-03-26,BL,14923,210,14,3,
2021-03-27,BL,14949,211,12,3,
2021-03-28,BL,14996,211,14,3,
2021-03-29,BL,15060,211,12,2,
2021-03-30,BL,15126,211,16,3,
2021-03-31,BL,15183,212,16,2,
2021-04-01,BL,15240,212,17,1,
2021-04-02,BL,15272,212,18,1,
2021-04-03,BL,15307,212,19,1,
2021-04-04,BL,15345,212,20,1,
2021-04-05,BL,15369,212,23,3,
2021-04-06,BL,15441,212,23,2,
2021-04-07,BL,15515,214,18,3,
2021-04-08,BL,15593,214,18,3,
2021-04-09,BL,15660,215,16,1,
2021-04-10,BL,15700,215,17,1,
2021-04-11,BL,15740,215,17,0,
2021-04-12,BL,15818,216,18,0,
2021-04-13,BL,15869,216,23,0,
2021-04-14,BL,15925,217,18,1,
2021-04-15,BL,16001,217,18,2,
2021-04-16,BL,16077,217,20,2,
2021-04-17,BL,16121,217,21,2,
2021-04-18,BL,16174,217,18,3,
2021-04-19,BL,16237,217,18,3,
2021-04-20,BL,16336,217,21,4,
2021-04-21,BL,16432,217,19,3,
2021-04-22,BL,16516,217,23,3,
2021-04-23,BL,16600,217,24,4,
2021-04-24,BL,16662,217,28,4,
2021-04-25,BL,16713,217,30,4,
2021-04-26,BL,16788,217,30,5,
2021-04-27,BL,16865,217,23,6,
2021-04-28,BL,16962,217,20,6,
2021-04-29,BL,17038,217,17,6,
2021-04-30,BL,17103,218,17,6,
2021-05-01,BL,17147,218,23,6,
2021-05-02,BL,17187,218,24,4,
2021-05-03,BL,17267,218,24,4,
2021-05-04,BL,17318,218,26,4,
2021-05-05,BL,17372,218,22,4,
2021-05-06,BL,17436,218,17,4,
2021-05-07,BL,17484,218,18,5,
2021-05-08,BL,17520,218,24,5,
2021-05-09,BL,17548,218,24,5,
2021-05-10,BL,17597,218,27,4,
2021-05-11,BL,17636,218,24,1,
2021-05-12,BL,17660,218,19,1,
2021-05-13,BL,17680,218,17,1,
2021-05-14,BL,17712,218,16,3,
2021-05-15,BL,17729,218,18,3,
2021-05-16,BL,17745,218,16,3,
2021-05-17,BL,17790,218,19,1,
2021-05-18,BL,17828,218,17,2,
2021-05-19,BL,17863,218,12,2,
2021-05-20,BL,17894,218,9,2,
2021-05-21,BL,17927,218,10,2,
2021-05-22,BL,17932,218,10,1,
2021-05-23,BL,17940,218,13,1,
2021-05-24,BL,17959,218,14,1,
