date,abbreviation_canton_and_fl,ncumul_conf,ncumul_deceased,current_hosp,current_icu,current_vent
2020-02-24,BS,0,0,,,
2020-02-25,BS,0,0,,,
2020-02-26,BS,1,0,,,
2020-02-27,BS,1,0,,,
2020-02-28,BS,3,0,,,
2020-02-29,BS,3,0,,,
2020-03-01,BS,4,0,,,
2020-03-02,BS,5,0,,,
2020-03-03,BS,6,0,,,
2020-03-04,BS,12,0,,,
2020-03-05,BS,22,0,,,
2020-03-06,BS,27,0,,,
2020-03-07,BS,32,0,,,
2020-03-08,BS,39,0,,,
2020-03-09,BS,52,0,,,
2020-03-10,BS,70,0,,,
2020-03-11,BS,110,0,,,
2020-03-12,BS,133,1,,,
2020-03-13,BS,156,1,,,
2020-03-14,BS,175,2,,,
2020-03-15,BS,193,4,,,
2020-03-16,BS,224,5,,,
2020-03-17,BS,262,6,,,
2020-03-18,BS,313,6,,,
2020-03-19,BS,351,6,,,
2020-03-20,BS,407,6,,,
2020-03-21,BS,441,6,,,
2020-03-22,BS,483,6,,,
2020-03-23,BS,557,7,,,
2020-03-24,BS,598,9,,,
2020-03-25,BS,641,14,,,
2020-03-26,BS,676,14,,,
2020-03-27,BS,720,15,,,
2020-03-28,BS,748,17,,,
2020-03-29,BS,763,18,,,
2020-03-30,BS,808,18,56,15,
2020-03-31,BS,838,18,57,15,
2020-04-01,BS,874,20,57,17,
2020-04-02,BS,893,21,51,17,
2020-04-03,BS,922,26,49,16,
2020-04-04,BS,934,28,43,13,
2020-04-05,BS,946,30,43,12,
2020-04-06,BS,967,31,46,13,
2020-04-07,BS,987,33,46,13,
2020-04-08,BS,1004,35,43,13,
2020-04-09,BS,1013,35,40,13,
2020-04-10,BS,1019,36,40,11,
2020-04-11,BS,1024,36,41,9,
2020-04-12,BS,1031,38,40,9,
2020-04-13,BS,1042,39,40,8,
2020-04-14,BS,1048,41,35,6,
2020-04-15,BS,1056,42,31,7,
2020-04-16,BS,1068,43,31,8,
2020-04-17,BS,1071,44,28,8,
2020-04-18,BS,1074,46,25,7,
2020-04-19,BS,1075,46,30,7,
2020-04-20,BS,1075,47,27,7,
2020-04-21,BS,1080,48,23,7,
2020-04-22,BS,1083,48,18,7,
2020-04-23,BS,1085,49,12,7,
2020-04-24,BS,1087,50,10,6,
2020-04-25,BS,1089,51,10,6,
2020-04-26,BS,1089,51,15,7,
2020-04-27,BS,1096,53,12,6,
2020-04-28,BS,1100,53,11,6,
2020-04-29,BS,1101,53,10,6,
2020-04-30,BS,1104,53,9,5,
2020-05-01,BS,1106,53,8,5,
2020-05-02,BS,1109,53,9,5,
2020-05-03,BS,1109,53,10,5,
2020-05-04,BS,1110,53,10,4,
2020-05-05,BS,1112,53,10,4,
2020-05-06,BS,1113,53,9,4,
2020-05-07,BS,1114,53,10,4,
2020-05-08,BS,1114,53,9,3,
2020-05-09,BS,1115,53,9,3,
2020-05-10,BS,1116,53,9,3,
2020-05-11,BS,1116,53,10,3,
2020-05-12,BS,1116,53,6,3,
2020-05-13,BS,1119,53,6,3,
2020-05-14,BS,1120,53,6,3,
2020-05-15,BS,1121,53,8,4,
2020-05-16,BS,1121,53,6,3,
2020-05-17,BS,1122,53,6,3,
2020-05-18,BS,1122,53,7,3,
2020-05-19,BS,1123,53,6,3,
2020-05-20,BS,1123,53,3,2,
2020-05-21,BS,1123,53,3,2,
2020-05-22,BS,1123,53,3,2,
2020-05-23,BS,1123,53,3,2,
2020-05-24,BS,1123,53,3,2,
2020-05-25,BS,1123,53,3,2,
2020-05-26,BS,1123,53,3,2,
2020-05-27,BS,1125,53,3,2,
2020-05-28,BS,1125,53,3,2,
2020-05-29,BS,1125,53,3,2,
2020-05-30,BS,1125,53,3,2,
2020-05-31,BS,1125,53,3,2,
2020-06-01,BS,1125,53,4,3,
2020-06-02,BS,1127,53,4,3,
2020-06-03,BS,1127,53,4,3,
2020-06-04,BS,1129,53,2,1,
2020-06-05,BS,1129,53,2,1,
2020-06-06,BS,1129,53,2,1,
2020-06-07,BS,1129,53,2,1,
2020-06-08,BS,1130,53,4,3,
2020-06-09,BS,1130,53,4,3,
2020-06-10,BS,1130,53,4,3,
2020-06-11,BS,1130,53,3,2,
2020-06-12,BS,1130,53,3,2,
2020-06-13,BS,1130,53,3,2,
2020-06-14,BS,1130,53,3,2,
2020-06-15,BS,1131,53,3,2,
2020-06-16,BS,1131,53,3,2,
2020-06-17,BS,1131,53,3,2,
2020-06-18,BS,1132,53,3,2,
2020-06-19,BS,1132,53,3,2,
2020-06-20,BS,1132,53,3,2,
