date,abbreviation_canton_and_fl,current_isolated,current_quarantined,foreign_quarantined
2020-10-28,AG,794,433,1308
2020-10-27,AR,116,75,125
2020-10-28,BE,5310,0,1279
2020-10-27,BL,304,792,338
2020-10-27,BS,528,2097,269
2020-10-27,FL,226,425,43
2020-10-27,FR,3439,1292,564
2020-10-27,GE,3772,2192,2033
2020-10-28,GL,99,146,50
2020-10-27,GR,489,1043,473
2020-10-28,JU,743,0,0
2020-10-27,LU,1650,511,532
2020-10-27,NE,916,1285,317
2020-10-28,OW,104,235,76
2020-10-27,SH,242,485,154
2020-10-27,SO,577,501,321
2020-10-28,TG,609,1276,453
2020-10-27,TI,0,0,0
2020-10-27,UR,134,276,53
2020-10-27,VS,4868,647,0
2020-10-27,ZG,507,209,501
2020-10-27,ZH,5907,11028,4705
