date,abbreviation_canton_and_fl,ncumul_conf,ncumul_deceased,current_hosp,current_icu,current_vent
2020-02-24,FR,0,0,,,
2020-02-25,FR,0,0,,,
2020-02-26,FR,0,0,,,
2020-02-27,FR,0,0,,,
2020-02-28,FR,0,0,,,
2020-02-29,FR,2,0,,,
2020-03-01,FR,2,0,,,
2020-03-02,FR,2,0,,,
2020-03-03,FR,5,0,,,
2020-03-04,FR,7,0,,,
2020-03-05,FR,8,0,,,
2020-03-06,FR,9,0,,,
2020-03-07,FR,9,0,,,
2020-03-08,FR,13,0,,,
2020-03-09,FR,16,0,,,
2020-03-10,FR,26,0,,,
2020-03-11,FR,34,0,,,
2020-03-12,FR,40,0,,,
2020-03-13,FR,45,0,,,
2020-03-14,FR,54,0,,,
2020-03-15,FR,59,0,,,
2020-03-16,FR,83,0,,,
2020-03-17,FR,111,1,,,
2020-03-18,FR,137,2,,,
2020-03-19,FR,155,2,,,
2020-03-20,FR,190,4,,,
2020-03-21,FR,208,6,,,
2020-03-22,FR,231,6,,,
2020-03-23,FR,272,7,,,
2020-03-24,FR,308,8,,,
2020-03-25,FR,347,10,,,
2020-03-26,FR,384,12,,,
2020-03-27,FR,431,13,,,
2020-03-28,FR,459,15,,,
2020-03-29,FR,472,18,,,
2020-03-30,FR,505,22,77,20,
2020-03-31,FR,562,25,73,20,
2020-04-01,FR,597,30,81,23,
2020-04-02,FR,631,33,80,23,
2020-04-03,FR,673,38,77,21,
2020-04-04,FR,714,40,89,21,
2020-04-05,FR,731,40,87,20,
2020-04-06,FR,771,43,87,19,
2020-04-07,FR,799,45,78,22,
2020-04-08,FR,823,48,80,22,
2020-04-09,FR,853,52,77,20,
2020-04-10,FR,870,56,67,19,
2020-04-11,FR,888,57,65,20,
2020-04-12,FR,902,57,65,19,
2020-04-13,FR,913,61,68,17,
2020-04-14,FR,931,64,68,14,
2020-04-15,FR,952,66,61,16,
2020-04-16,FR,980,69,60,15,
2020-04-17,FR,999,72,66,13,
2020-04-18,FR,1009,73,64,11,
2020-04-19,FR,1012,74,61,12,
2020-04-20,FR,1024,77,62,11,
2020-04-21,FR,1033,78,60,8,
2020-04-22,FR,1038,78,57,5,
2020-04-23,FR,1045,78,57,5,
2020-04-24,FR,1052,78,55,8,
2020-04-25,FR,1059,79,54,7,
