date,abbreviation_canton_and_fl,ncumul_conf,ncumul_deceased,current_hosp,current_icu,current_vent
2020-02-24,GE,0,0,,,
2020-02-25,GE,0,0,,,
2020-02-26,GE,1,0,,,
2020-02-27,GE,4,0,,,
2020-02-28,GE,9,0,,,
2020-02-29,GE,9,0,,,
2020-03-01,GE,10,0,,,
2020-03-02,GE,12,0,,,
2020-03-03,GE,12,0,,,
2020-03-04,GE,13,0,,,
2020-03-05,GE,17,0,,,
2020-03-06,GE,34,0,,,
2020-03-07,GE,40,0,,,
2020-03-08,GE,48,0,,,
2020-03-09,GE,77,0,,,
2020-03-10,GE,94,1,,,
2020-03-11,GE,127,1,,,
2020-03-12,GE,176,2,,,
2020-03-13,GE,247,2,,,
2020-03-14,GE,314,2,,,
2020-03-15,GE,345,4,,,
2020-03-16,GE,469,4,,,
2020-03-17,GE,638,5,,,
2020-03-18,GE,779,6,,,
2020-03-19,GE,840,7,,,
2020-03-20,GE,899,9,,,
2020-03-21,GE,1050,9,,,
2020-03-22,GE,1137,10,,,
2020-03-23,GE,1312,14,,,
2020-03-24,GE,1451,15,,,
2020-03-25,GE,1593,22,,,
2020-03-26,GE,1798,24,,,
2020-03-27,GE,1978,31,,,
2020-03-28,GE,2197,39,,,
2020-03-29,GE,2299,48,,,
2020-03-30,GE,2544,56,81,61,
2020-03-31,GE,2825,66,87,66,
2020-04-01,GE,3102,75,81,62,
2020-04-02,GE,3351,83,93,64,
2020-04-03,GE,3547,89,89,65,
2020-04-04,GE,3668,103,80,58,
2020-04-05,GE,3741,110,81,57,
2020-04-06,GE,3929,122,77,53,
2020-04-07,GE,4101,133,71,50,
2020-04-08,GE,4231,147,76,50,
2020-04-09,GE,4341,156,74,50,
2020-04-10,GE,4392,167,74,49,
2020-04-11,GE,4444,176,70,48,
2020-04-12,GE,4478,185,65,46,
2020-04-13,GE,4531,189,66,48,
2020-04-14,GE,4610,194,68,45,
2020-04-15,GE,4677,201,66,41,
2020-04-16,GE,4740,208,65,41,
2020-04-17,GE,4804,214,54,36,
2020-04-18,GE,4836,218,52,34,
2020-04-19,GE,4852,222,51,33,
2020-04-20,GE,4890,225,53,32,
2020-04-21,GE,4919,231,48,30,
2020-04-22,GE,4945,241,50,31,
2020-04-23,GE,4980,244,46,27,
2020-04-24,GE,5001,250,42,26,
2020-04-25,GE,5012,252,43,27,
2020-04-26,GE,5022,253,31,24,
2020-04-27,GE,5042,254,31,24,
2020-04-28,GE,5061,256,36,23,
2020-04-29,GE,5077,257,37,20,
2020-04-30,GE,5090,260,36,18,
2020-05-01,GE,5108,263,31,17,
2020-05-02,GE,5113,266,31,17,
2020-05-03,GE,5117,266,31,16,
2020-05-04,GE,5128,268,20,16,
2020-05-05,GE,5141,269,17,15,
2020-05-06,GE,5148,270,17,14,
2020-05-07,GE,5150,275,16,13,
2020-05-08,GE,5152,275,13,9,
2020-05-09,GE,5156,276,11,8,
2020-05-10,GE,5157,278,11,7,
2020-05-11,GE,5162,278,9,6,
2020-05-12,GE,5167,279,8,5,
2020-05-13,GE,5170,280,9,5,
2020-05-14,GE,5179,280,10,5,
2020-05-15,GE,5183,280,10,5,
2020-05-16,GE,5184,280,6,5,
2020-05-17,GE,5185,282,4,3,
2020-05-18,GE,5188,283,9,3,
2020-05-19,GE,5191,283,5,3,
2020-05-20,GE,5197,283,3,0,
2020-05-21,GE,5199,286,2,0,
2020-05-22,GE,5201,286,4,0,
2020-05-23,GE,5203,286,4,0,
2020-05-24,GE,5203,286,4,0,
2020-05-25,GE,5204,287,4,0,
2020-05-26,GE,5208,287,3,0,
2020-05-27,GE,5210,287,3,0,
2020-05-28,GE,5215,287,1,0,
2020-05-29,GE,5219,287,3,0,
2020-05-30,GE,5223,287,5,1,
2020-05-31,GE,5223,287,5,1,
2020-06-01,GE,5224,287,5,1,
2020-06-02,GE,5227,287,5,1,
2020-06-03,GE,5227,287,5,1,
2020-06-04,GE,5228,287,3,1,
2020-06-05,GE,5230,287,3,1,
2020-06-06,GE,5233,287,3,1,
2020-06-07,GE,5233,287,3,1,
2020-06-08,GE,5234,287,3,1,
2020-06-09,GE,5234,287,3,1,
2020-06-10,GE,5235,288,3,1,
2020-06-11,GE,5236,288,4,1,
2020-06-12,GE,5238,288,4,1,
2020-06-13,GE,5238,288,4,1,
2020-06-14,GE,5238,288,4,1,
2020-06-15,GE,5240,288,1,0,
2020-06-16,GE,5240,288,1,0,
2020-06-17,GE,5241,288,1,0,
2020-06-18,GE,5243,288,0,0,
2020-06-19,GE,5246,288,0,0,
2020-06-20,GE,5249,288,0,0,
2020-06-21,GE,5249,288,0,0,
2020-06-22,GE,5251,288,2,1,
2020-06-23,GE,5254,288,2,1,
2020-06-24,GE,5257,288,2,1,
2020-06-25,GE,5259,288,3,2,
2020-06-26,GE,5261,288,3,2,
2020-06-27,GE,5262,288,3,2,
2020-06-28,GE,5262,288,3,2,
2020-06-29,GE,5270,288,2,1,
2020-06-30,GE,5273,288,2,1,
2020-07-01,GE,5273,288,2,1,
2020-07-02,GE,5280,288,2,1,
2020-07-03,GE,5280,288,2,1,
2020-07-04,GE,5284,288,2,1,
2020-07-05,GE,5287,288,2,1,
2020-07-06,GE,5295,288,2,2,
2020-07-07,GE,5301,288,2,2,
2020-07-08,GE,5309,288,2,2,
2020-07-09,GE,5314,288,2,2,
2020-07-10,GE,5323,288,2,2,
2020-07-11,GE,5327,288,2,2,
2020-07-12,GE,5329,288,2,2,
2020-07-13,GE,5337,288,2,2,
2020-07-14,GE,5346,288,2,1,
2020-07-15,GE,5373,288,2,1,
2020-07-16,GE,5390,288,2,1,
2020-07-17,GE,5398,288,2,1,
2020-07-18,GE,5412,288,2,1,
2020-07-19,GE,5418,288,2,1,
2020-07-20,GE,5429,288,2,1,
2020-07-21,GE,5465,288,1,0,
2020-07-22,GE,5491,288,1,0,
2020-07-23,GE,5544,288,2,1,
2020-07-24,GE,5589,288,2,1,
2020-07-25,GE,5625,288,2,1,
2020-07-26,GE,5651,288,2,1,
2020-07-27,GE,5707,288,3,1,
2020-07-28,GE,5766,288,3,1,
2020-07-29,GE,5826,288,4,2,
2020-07-30,GE,5875,288,3,1,
2020-07-31,GE,5915,289,4,1,
2020-08-01,GE,5942,289,4,1,
2020-08-02,GE,5970,289,4,1,
2020-08-03,GE,6003,289,4,1,
2020-08-04,GE,6045,289,4,1,
2020-08-05,GE,6075,289,5,2,
2020-08-06,GE,6113,289,4,2,
2020-08-07,GE,6156,289,4,2,
2020-08-08,GE,6184,289,4,2,
2020-08-09,GE,6218,289,4,2,
2020-08-10,GE,6271,289,4,2,
2020-08-11,GE,6323,289,3,2,
2020-08-12,GE,6362,289,4,2,
2020-08-13,GE,6404,289,3,2,
2020-08-14,GE,6434,289,3,2,
2020-08-15,GE,6460,290,3,2,
2020-08-16,GE,6485,290,3,2,
2020-08-17,GE,6522,290,2,0,
2020-08-18,GE,6559,290,1,0,
2020-08-19,GE,6598,290,1,0,
2020-08-20,GE,6643,290,0,0,
2020-08-21,GE,6670,290,0,0,
2020-08-22,GE,6698,290,0,0,
2020-08-23,GE,6717,290,0,0,
2020-08-24,GE,6751,290,1,0,
2020-08-25,GE,6796,290,1,0,
2020-08-26,GE,6845,290,1,0,
2020-08-27,GE,6892,290,1,0,
2020-08-28,GE,6943,290,0,0,
2020-08-29,GE,6989,290,0,0,
2020-08-30,GE,7024,290,0,0,
2020-08-31,GE,7083,291,0,0,
2020-09-01,GE,7135,291,0,0,
2020-09-02,GE,7194,292,0,0,
2020-09-03,GE,7250,292,0,0,
2020-09-04,GE,7298,293,0,0,
2020-09-05,GE,7336,294,0,0,
2020-09-06,GE,7354,294,0,0,
2020-09-07,GE,7407,294,1,1,
2020-09-08,GE,7450,294,2,1,
2020-09-09,GE,7515,295,2,1,
2020-09-10,GE,7558,295,2,1,
2020-09-11,GE,7623,295,5,1,
2020-09-12,GE,7662,296,5,1,
2020-09-13,GE,7700,296,5,1,
2020-09-14,GE,7771,296,3,1,
2020-09-15,GE,7829,297,5,1,
2020-09-16,GE,7903,297,4,1,
2020-09-17,GE,7960,297,7,1,
2020-09-18,GE,8032,298,5,1,
2020-09-19,GE,8078,298,5,1,
2020-09-20,GE,8115,298,5,1,
2020-09-21,GE,8181,299,3,1,
2020-09-22,GE,8246,299,7,2,
2020-09-23,GE,8303,299,5,2,
2020-09-24,GE,8352,299,6,2,
2020-09-25,GE,8393,299,6,3,
2020-09-26,GE,8419,299,6,3,
2020-09-27,GE,8441,299,6,3,
2020-09-28,GE,8492,300,7,2,
2020-09-29,GE,8562,300,6,2,
2020-09-30,GE,8616,300,7,3,
2020-10-01,GE,8694,301,6,3,
2020-10-02,GE,8776,301,5,3,
2020-10-03,GE,8836,301,5,3,
2020-10-04,GE,8870,302,5,3,
2020-10-05,GE,8993,302,7,4,
2020-10-06,GE,9118,302,8,5,
2020-10-07,GE,9264,302,9,6,
2020-10-08,GE,9422,302,11,7,
2020-10-09,GE,9634,303,10,6,
2020-10-10,GE,9797,304,10,6,
2020-10-11,GE,9907,304,10,6,
2020-10-12,GE,10180,305,9,5,
2020-10-13,GE,10481,306,10,4,
2020-10-14,GE,10802,306,11,4,
2020-10-15,GE,11140,307,14,5,
2020-10-16,GE,11587,307,15,6,
2020-10-17,GE,11817,308,15,6,
2020-10-18,GE,11985,308,15,6,
2020-10-19,GE,12521,308,18,6,
2020-10-20,GE,13180,308,21,7,
2020-10-21,GE,13882,308,21,7,
2020-10-22,GE,14769,309,28,10,
2020-10-23,GE,15741,312,24,10,
2020-10-24,GE,16214,313,33,11,
2020-10-25,GE,16606,315,35,11,
2020-10-26,GE,17889,315,35,13,
2020-10-27,GE,19249,317,41,17,
2020-10-28,GE,20506,319,401,14,
2020-10-29,GE,21801,324,417,14,
2020-10-30,GE,22955,326,446,16,
2020-10-31,GE,23522,331,457,17,
2020-11-01,GE,23891,336,474,17,
2020-11-02,GE,25194,341,492,19,
2020-11-03,GE,26641,350,509,21,
2020-11-04,GE,27809,356,539,26,
2020-11-05,GE,28852,365,544,25,
2020-11-06,GE,29886,378,541,25,
2020-11-07,GE,30381,386,564,27,
2020-11-08,GE,30702,391,717,28,
2020-11-09,GE,31775,403,613,27,
2020-11-10,GE,32717,412,609,30,
2020-11-11,GE,33485,422,589,29,
2020-11-12,GE,34174,432,597,32,
2020-11-13,GE,34781,438,592,32,
2020-11-14,GE,35064,453,596,35,
2020-11-15,GE,35263,459,607,36,
2020-11-16,GE,35838,473,581,33,
2020-11-17,GE,36279,486,563,32,
2020-11-18,GE,36647,504,505,29,
2020-11-19,GE,36994,513,474,29,
2020-11-20,GE,37259,524,451,27,
2020-11-21,GE,37424,532,441,28,
2020-11-22,GE,37533,534,438,29,
2020-11-23,GE,37837,542,447,28,
2020-11-24,GE,38177,545,397,24,
2020-11-25,GE,38381,549,375,26,
2020-11-26,GE,38608,556,340,24,
2020-11-27,GE,38835,563,323,21,
2020-11-28,GE,38961,570,319,20,
2020-11-29,GE,39031,573,322,19,
2020-11-30,GE,39287,579,312,18,
2020-12-01,GE,39494,587,295,16,
2020-12-02,GE,39667,592,279,18,
2020-12-03,GE,39863,597,268,16,
2020-12-04,GE,40009,600,237,19,
2020-12-05,GE,40104,605,238,21,
2020-12-06,GE,40172,609,230,21,
2020-12-07,GE,40398,612,215,20,
2020-12-08,GE,40585,618,206,22,
2020-12-09,GE,40740,620,196,17,
2020-12-10,GE,40895,621,184,15,
2020-12-11,GE,41050,622,231,21,
2020-12-12,GE,41151,624,244,19,
2020-12-13,GE,41229,624,255,23,
2020-12-14,GE,41455,625,256,24,
2020-12-15,GE,41652,628,246,22,
2020-12-16,GE,41809,632,223,22,
2020-12-17,GE,41983,635,208,21,
2020-12-18,GE,42158,637,205,21,
2020-12-19,GE,42273,641,208,20,
2020-12-20,GE,42360,641,206,18,
