date,abbreviation_canton_and_fl,ncumul_conf,ncumul_deceased,current_hosp,current_icu,current_vent
2020-02-24,GL,0,0,,,
2020-02-25,GL,0,0,,,
2020-02-26,GL,0,0,,,
2020-02-27,GL,0,0,,,
2020-02-28,GL,0,0,,,
2020-02-29,GL,0,0,,,
2020-03-01,GL,0,0,,,
2020-03-02,GL,0,0,,,
2020-03-03,GL,0,0,,,
2020-03-04,GL,0,0,,,
2020-03-05,GL,0,0,,,
2020-03-06,GL,0,0,,,
2020-03-07,GL,0,0,,,
2020-03-08,GL,0,0,,,
2020-03-09,GL,1,0,,,
2020-03-10,GL,2,0,,,
2020-03-11,GL,4,0,,,
2020-03-12,GL,5,0,,,
2020-03-13,GL,6,0,,,
2020-03-14,GL,10,0,,,
2020-03-15,GL,10,0,,,
2020-03-16,GL,15,0,,,
2020-03-17,GL,19,0,,,
2020-03-18,GL,22,0,,,
2020-03-19,GL,25,0,,,
2020-03-20,GL,29,0,,,
2020-03-21,GL,30,0,,,
2020-03-22,GL,31,0,,,
2020-03-23,GL,39,0,,,
2020-03-24,GL,40,0,,,
2020-03-25,GL,44,0,,,
2020-03-26,GL,46,0,,,
2020-03-27,GL,50,0,,,
2020-03-28,GL,52,1,,,
2020-03-29,GL,52,1,,,
2020-03-30,GL,56,2,6,2,
2020-03-31,GL,56,2,6,3,
2020-04-01,GL,57,2,5,2,
2020-04-02,GL,59,2,5,2,
2020-04-03,GL,61,2,5,2,
2020-04-04,GL,61,2,5,2,
2020-04-05,GL,61,2,5,2,
2020-04-06,GL,64,2,2,2,
2020-04-07,GL,67,2,2,2,
2020-04-08,GL,73,2,2,2,
2020-04-09,GL,88,2,2,2,
2020-04-10,GL,89,2,2,2,
2020-04-11,GL,89,2,2,2,
2020-04-12,GL,102,2,2,2,
2020-04-13,GL,103,2,2,2,
2020-04-14,GL,105,2,2,2,
2020-04-15,GL,106,2,2,2,
2020-04-16,GL,109,3,2,2,
2020-04-17,GL,110,3,2,2,
2020-04-18,GL,112,5,2,2,
2020-04-19,GL,113,6,3,1,
2020-04-20,GL,115,6,5,2,
2020-04-21,GL,115,7,3,0,
2020-04-22,GL,115,7,3,0,
2020-04-23,GL,116,7,3,0,
2020-04-24,GL,119,8,3,0,
2020-04-25,GL,119,8,2,2,
2020-04-26,GL,119,8,3,0,
2020-04-27,GL,120,9,3,0,
2020-04-28,GL,120,9,3,0,
2020-04-29,GL,121,11,2,0,
2020-04-30,GL,121,11,2,2,
2020-05-01,GL,121,11,2,2,
2020-05-02,GL,121,12,0,0,
2020-05-03,GL,122,12,2,2,
2020-05-04,GL,124,12,2,2,
2020-05-05,GL,124,12,2,2,
2020-05-06,GL,124,12,2,2,
2020-05-07,GL,125,12,2,2,
2020-05-08,GL,126,12,2,2,
2020-05-09,GL,126,12,2,2,
2020-05-10,GL,126,12,2,2,
2020-05-11,GL,126,12,2,2,
2020-05-12,GL,126,12,2,2,
2020-05-13,GL,126,12,2,2,
2020-05-14,GL,126,12,2,2,
2020-05-15,GL,126,12,2,2,
2020-05-16,GL,126,12,2,2,
2020-05-17,GL,126,12,2,2,
2020-05-18,GL,126,12,2,2,
2020-05-19,GL,126,12,2,2,
2020-05-20,GL,126,12,2,2,
2020-05-21,GL,126,12,2,2,
2020-05-22,GL,126,12,1,1,
2020-05-23,GL,126,12,1,1,
2020-05-24,GL,126,12,1,1,
2020-05-25,GL,126,12,1,1,
2020-05-26,GL,126,12,0,0,
2020-05-27,GL,126,12,0,0,
2020-05-28,GL,126,12,0,0,
2020-05-29,GL,126,12,0,0,
2020-05-30,GL,126,12,0,0,
2020-05-31,GL,126,12,0,0,
2020-06-01,GL,126,12,0,0,
2020-06-02,GL,126,12,0,0,
2020-06-03,GL,126,12,0,0,
2020-06-04,GL,126,12,0,0,
2020-06-05,GL,126,12,,,
2020-06-06,GL,126,12,,,
2020-06-07,GL,126,12,,,
2020-06-08,GL,126,12,,,
2020-06-09,GL,126,12,,,
2020-06-10,GL,126,12,,,
2020-06-11,GL,126,12,,,
2020-06-12,GL,126,12,,,
2020-06-13,GL,126,13,,,
2020-06-14,GL,126,13,,,
2020-06-15,GL,126,13,,,
2020-06-16,GL,126,13,,,
2020-06-17,GL,126,13,,,
2020-06-18,GL,126,13,,,
2020-06-19,GL,126,13,,,
2020-06-20,GL,126,13,,,
2020-06-21,GL,126,13,,,
2020-06-22,GL,127,13,,,
2020-06-23,GL,127,13,,,
2020-06-24,GL,127,13,,,
2020-06-25,GL,127,13,,,
2020-06-26,GL,127,13,,,
2020-06-27,GL,127,13,,,
2020-06-28,GL,127,13,,,
2020-06-29,GL,127,13,,,
2020-06-30,GL,127,13,,,
2020-07-01,GL,127,13,,,
2020-07-02,GL,127,13,,,
2020-07-03,GL,127,13,,,
2020-07-04,GL,127,13,,,
2020-07-05,GL,127,13,,,
2020-07-06,GL,128,13,,,
2020-07-07,GL,128,13,,,
2020-07-08,GL,129,13,,,
2020-07-09,GL,129,13,,,
2020-07-10,GL,129,13,,,
2020-07-11,GL,129,13,,,
2020-07-12,GL,129,13,,,
2020-07-13,GL,131,13,,,
2020-07-14,GL,132,13,,,
2020-07-15,GL,133,13,,,
2020-07-16,GL,134,13,,,
2020-07-17,GL,134,13,,,
2020-07-18,GL,134,13,,,
2020-07-19,GL,135,13,,,
2020-07-20,GL,135,13,,,
2020-07-21,GL,135,13,,,
2020-07-22,GL,135,13,,,
2020-07-23,GL,135,13,,,
2020-07-24,GL,135,13,,,
2020-07-25,GL,135,13,,,
2020-07-26,GL,135,13,,,
2020-07-27,GL,135,13,,,
2020-07-28,GL,135,13,,,
2020-07-29,GL,136,13,,,
2020-07-30,GL,138,13,,,
2020-07-31,GL,139,13,,,
2020-08-01,GL,139,13,,,
2020-08-02,GL,139,13,,,
2020-08-03,GL,141,13,,,
2020-08-04,GL,142,13,,,
2020-08-05,GL,142,13,,,
2020-08-06,GL,142,13,,,
2020-08-07,GL,142,13,,,
2020-08-08,GL,143,13,,,
2020-08-09,GL,143,13,,,
2020-08-10,GL,145,13,,,
2020-08-11,GL,146,13,,,
2020-08-12,GL,147,13,,,
2020-08-13,GL,147,13,,,
2020-08-14,GL,149,13,,,
2020-08-15,GL,149,13,,,
2020-08-16,GL,149,13,,,
2020-08-17,GL,151,13,,,
2020-08-18,GL,152,13,,,
2020-08-19,GL,154,13,,,
2020-08-20,GL,157,13,,,
2020-08-21,GL,159,13,,,
2020-08-22,GL,160,13,,,
2020-08-23,GL,160,13,,,
2020-08-24,GL,160,13,,,
2020-08-25,GL,160,13,,,
2020-08-26,GL,161,13,,,
2020-08-27,GL,161,13,,,
2020-08-28,GL,162,13,,,
2020-08-29,GL,162,13,,,
2020-08-30,GL,162,13,,,
2020-08-31,GL,164,13,,,
2020-09-01,GL,164,13,,,
2020-09-02,GL,164,13,,,
2020-09-03,GL,164,13,,,
2020-09-04,GL,164,13,,,
2020-09-05,GL,164,13,,,
2020-09-06,GL,164,13,,,
2020-09-07,GL,165,13,,,
2020-09-08,GL,165,13,,,
2020-09-09,GL,165,13,,,
2020-09-10,GL,166,13,,,
2020-09-11,GL,166,13,,,
2020-09-12,GL,166,13,,,
2020-09-13,GL,166,13,,,
2020-09-14,GL,167,13,,,
2020-09-15,GL,168,13,,,
2020-09-16,GL,169,13,,,
2020-09-17,GL,170,13,,,
2020-09-18,GL,170,13,,,
2020-09-19,GL,170,13,,,
2020-09-20,GL,172,13,,,
2020-09-21,GL,173,13,,,
