date,abbreviation_canton_and_fl,ncumul_conf,ncumul_deceased,current_hosp,current_icu,current_vent
2020-02-24,GR,0,0,,,
2020-02-25,GR,0,0,,,
2020-02-26,GR,4,0,,,
2020-02-27,GR,6,0,,,
2020-02-28,GR,6,0,,,
2020-02-29,GR,8,0,,,
2020-03-01,GR,9,0,,,
2020-03-02,GR,9,0,,,
2020-03-03,GR,10,0,,,
2020-03-04,GR,12,0,,,
2020-03-05,GR,15,0,,,
2020-03-06,GR,15,0,,,
2020-03-07,GR,16,0,,,
2020-03-08,GR,17,0,,,
2020-03-09,GR,28,0,,,
2020-03-10,GR,33,0,,,
2020-03-11,GR,45,0,,,
2020-03-12,GR,53,0,,,
2020-03-13,GR,67,0,,,
2020-03-14,GR,78,0,,,
2020-03-15,GR,96,0,,,
2020-03-16,GR,121,1,,,
2020-03-17,GR,156,1,,,
2020-03-18,GR,208,1,,,
2020-03-19,GR,251,3,,,
2020-03-20,GR,278,5,,,
2020-03-21,GR,305,6,,,
2020-03-22,GR,319,6,,,
2020-03-23,GR,380,7,,,
2020-03-24,GR,413,8,,,
2020-03-25,GR,450,9,,,
2020-03-26,GR,478,9,,,
2020-03-27,GR,504,10,,,
2020-03-28,GR,518,13,,,
2020-03-29,GR,526,15,,,
2020-03-30,GR,573,19,39,9,
2020-03-31,GR,600,23,36,10,
2020-04-01,GR,621,25,39,11,
2020-04-02,GR,639,27,39,11,
2020-04-03,GR,657,29,40,10,
2020-04-04,GR,659,29,41,10,
2020-04-05,GR,662,32,37,9,
2020-04-06,GR,682,33,36,8,
2020-04-07,GR,697,34,38,8,
2020-04-08,GR,716,34,29,7,
2020-04-09,GR,721,34,29,7,
2020-04-10,GR,728,34,26,6,
2020-04-11,GR,731,34,26,6,
2020-04-12,GR,731,34,26,7,
2020-04-13,GR,734,35,25,6,
2020-04-14,GR,741,35,25,6,
2020-04-15,GR,748,36,26,7,
2020-04-16,GR,754,37,26,8,
2020-04-17,GR,756,38,18,7,
2020-04-18,GR,762,38,15,8,
2020-04-19,GR,765,39,15,7,
2020-04-20,GR,772,40,16,7,
2020-04-21,GR,775,41,15,6,
2020-04-22,GR,776,41,13,7,
2020-04-23,GR,780,41,14,9,
2020-04-24,GR,781,41,14,9,
2020-04-25,GR,784,41,13,9,
2020-04-26,GR,785,41,17,8,
2020-04-27,GR,787,42,15,8,
2020-04-28,GR,790,42,14,7,
2020-04-29,GR,790,42,12,6,
2020-04-30,GR,791,42,10,6,
2020-05-01,GR,792,42,9,6,
2020-05-02,GR,792,42,8,6,
2020-05-03,GR,792,42,6,6,
2020-05-04,GR,793,42,5,5,
2020-05-05,GR,793,42,7,5,
2020-05-06,GR,795,42,8,6,
2020-05-07,GR,796,43,8,6,
2020-05-08,GR,796,43,7,6,
2020-05-09,GR,796,43,7,6,
2020-05-10,GR,796,44,7,5,
2020-05-11,GR,797,44,8,5,
2020-05-12,GR,798,44,7,5,
2020-05-13,GR,798,44,6,5,
2020-05-14,GR,798,45,6,5,
2020-05-15,GR,798,45,6,4,
2020-05-16,GR,798,45,6,4,
2020-05-17,GR,798,46,4,3,
2020-05-18,GR,799,46,2,2,
2020-05-19,GR,800,46,2,2,
2020-05-20,GR,800,46,2,2,
2020-05-21,GR,800,46,2,2,
2020-05-22,GR,801,46,2,2,
2020-05-23,GR,801,46,2,2,
2020-05-24,GR,801,46,2,2,
2020-05-25,GR,802,46,3,2,
2020-05-26,GR,802,46,2,2,
2020-05-27,GR,803,46,2,2,
2020-05-28,GR,803,46,1,1,
