date,f0-9,f10-19,f20-29,f30-39,f40-49,f50-59,f60-69,f70-79,f80+,m0-9,m10-19,m20-29,m30-39,m40-49,m50-59,m60-69,m70-79,m80+
2020-03-14,0.89676,3.39615,18.29340,17.65021,19.38344,18.77328,16.97214,17.12721,16.24636,1.54271,3.21197,13.86901,19.93060,21.64153,22.89765,17.34742,22.08195,24.83458
2020-03-18,2.48650,7.53506,40.21359,39.94489,43.88577,45.54912,36.00402,39.36912,43.88577,2.58368,6.68652,26.10939,35.96157,41.63384,50.76107,44.73001,54.97003,70.86644
2020-03-19,2.89184,10.04259,51.51684,50.21575,58.05715,63.97655,45.39512,48.84840,58.42341,3.71466,8.68568,32.04416,44.32249,54.34573,61.27148,60.44653,71.63133,96.75481
2020-03-20,2.88054,13.68072,64.84262,63.15647,73.04164,76.87453,59.60025,59.89817,76.37445,4.35731,10.01556,41.15433,53.29517,65.95797,73.94544,80.56972,86.38668,113.27068
2020-03-21,3.24405,18.98565,81.92726,78.46780,89.18932,98.85920,73.45435,74.27431,94.83836,4.47368,15.77089,52.87685,66.60835,79.92292,97.92038,102.89391,110.80458,146.23806
2020-03-22,3.44230,23.44492,92.10478,89.56824,101.76284,115.61023,86.31768,82.62933,111.38695,4.46008,18.62316,59.96042,74.97288,91.70646,113.37608,117.03827,121.44966,165.05230
2020-03-23,4.29965,28.90798,104.84897,102.24080,117.00579,133.09995,97.31913,97.31913,132.75512,5.49970,23.49415,69.61047,84.88301,102.94583,133.46016,132.90246,139.15329,194.27594
2020-03-24,4.69196,30.17576,112.08318,107.75075,125.42552,140.99329,103.26512,105.37600,141.78487,5.48355,23.95378,73.29569,90.33201,109.44458,142.69100,142.42714,148.11740,208.12840
2020-03-25,5.00000,33.70000,123.20000,120.80000,137.50000,158.80000,115.50000,120.60000,163.20000,5.60000,26.00000,82.00000,99.00000,117.80000,157.80000,157.40000,164.00000,240.60000
2020-03-26,5.0,37.1,135.6,130.4,151.3,172.4,124.7,127.9,175.1,6,27.8,88.5,107,127,174.1,172.6,175.8,259.5
