date,abbreviation_canton_and_fl,ncumul_conf,ncumul_deceased,current_hosp,current_icu,current_vent
2020-02-24,JU,0,0,,,
2020-02-25,JU,0,0,,,
2020-02-26,JU,1,0,,,
2020-02-27,JU,1,0,,,
2020-02-28,JU,1,0,,,
2020-02-29,JU,1,0,,,
2020-03-01,JU,1,0,,,
2020-03-02,JU,1,0,,,
2020-03-03,JU,2,0,,,
2020-03-04,JU,5,0,,,
2020-03-05,JU,5,0,,,
2020-03-06,JU,5,0,,,
2020-03-07,JU,5,0,,,
2020-03-08,JU,6,0,,,
2020-03-09,JU,7,0,,,
2020-03-10,JU,10,0,,,
2020-03-11,JU,10,0,,,
2020-03-12,JU,14,0,,,
2020-03-13,JU,17,0,,,
2020-03-14,JU,21,0,,,
2020-03-15,JU,24,0,,,
2020-03-16,JU,27,0,,,
2020-03-17,JU,31,0,,,
2020-03-18,JU,39,0,,,
2020-03-19,JU,46,0,,,
2020-03-20,JU,57,0,,,
2020-03-21,JU,61,0,,,
2020-03-22,JU,65,0,,,
2020-03-23,JU,83,0,,,
2020-03-24,JU,95,0,,,
2020-03-25,JU,108,0,,,
2020-03-26,JU,118,0,,,
2020-03-27,JU,128,0,,,
2020-03-28,JU,132,0,,,
2020-03-29,JU,134,0,,,
2020-03-30,JU,146,0,23,5,
2020-03-31,JU,150,0,24,5,
2020-04-01,JU,154,0,30,5,
2020-04-02,JU,154,0,31,4,
2020-04-03,JU,161,0,29,5,
2020-04-04,JU,166,0,28,4,
2020-04-05,JU,171,0,29,5,
2020-04-06,JU,174,0,26,3,
2020-04-07,JU,179,0,28,4,
2020-04-08,JU,184,0,28,4,
2020-04-09,JU,185,0,30,4,
2020-04-10,JU,186,2,30,5,
2020-04-11,JU,187,2,30,5,
2020-04-12,JU,187,2,27,5,
2020-04-13,JU,191,2,25,5,
2020-04-14,JU,191,2,17,5,
2020-04-15,JU,192,2,17,5,
2020-04-16,JU,194,2,17,5,
2020-04-17,JU,196,2,17,6,
2020-04-18,JU,196,2,19,6,
2020-04-19,JU,199,3,17,6,
2020-04-20,JU,200,3,16,5,
2020-04-21,JU,201,3,13,4,
2020-04-22,JU,201,3,12,4,
2020-04-23,JU,201,3,12,4,
2020-04-24,JU,201,3,13,4,
2020-04-25,JU,201,3,14,4,
2020-04-26,JU,201,3,12,4,
2020-04-27,JU,202,4,13,4,
2020-04-28,JU,202,4,10,4,
2020-04-29,JU,203,4,9,5,
2020-04-30,JU,203,4,9,5,
2020-05-01,JU,203,4,8,5,
2020-05-02,JU,203,4,8,5,
2020-05-03,JU,203,4,8,5,
2020-05-04,JU,204,4,8,5,
2020-05-05,JU,205,4,8,5,
2020-05-06,JU,205,4,8,5,
2020-05-07,JU,206,4,9,5,
2020-05-08,JU,206,4,9,4,
2020-05-09,JU,206,4,9,4,
2020-05-10,JU,206,4,9,4,
2020-05-11,JU,206,4,4,4,
2020-05-12,JU,206,4,5,3,
2020-05-13,JU,206,4,3,3,
2020-05-14,JU,206,4,2,2,
2020-05-15,JU,206,4,2,2,
2020-05-16,JU,206,4,2,2,
2020-05-17,JU,206,4,2,2,
2020-05-18,JU,207,4,2,2,
2020-05-19,JU,207,4,2,2,
2020-05-20,JU,207,4,2,2,
2020-05-21,JU,208,4,2,2,
2020-05-22,JU,208,4,4,2,
2020-05-23,JU,208,4,4,2,
2020-05-24,JU,208,4,4,2,
2020-05-25,JU,208,4,3,2,
2020-05-26,JU,209,4,3,2,
2020-05-27,JU,210,4,3,2,
2020-05-28,JU,210,4,3,1,
2020-05-29,JU,210,4,3,1,
2020-05-30,JU,210,4,3,1,
2020-05-31,JU,210,4,3,1,
2020-06-01,JU,210,4,3,1,
2020-06-02,JU,210,4,3,1,
2020-06-03,JU,210,4,3,1,
2020-06-04,JU,210,4,1,0,
2020-06-05,JU,210,4,1,0,
2020-06-06,JU,210,4,1,0,
2020-06-07,JU,210,4,1,0,
2020-06-08,JU,210,4,1,1,
2020-06-09,JU,210,4,1,1,
2020-06-10,JU,210,4,1,1,
2020-06-11,JU,210,4,1,1,
2020-06-12,JU,211,4,1,0,
2020-06-13,JU,211,4,1,0,
2020-06-14,JU,211,4,1,0,
2020-06-15,JU,211,4,1,0,
2020-06-16,JU,211,4,1,0,
2020-06-17,JU,211,4,1,0,
2020-06-18,JU,211,4,1,0,
2020-06-19,JU,211,4,1,0,
2020-06-20,JU,213,4,1,0,
2020-06-21,JU,213,4,1,0,
2020-06-22,JU,213,4,0,0,
2020-06-23,JU,213,4,0,0,
2020-06-24,JU,215,4,0,0,
2020-06-25,JU,217,4,0,0,
2020-06-26,JU,221,4,0,0,
2020-06-27,JU,222,4,0,0,
2020-06-28,JU,223,4,0,0,
2020-06-29,JU,226,4,0,0,
2020-06-30,JU,232,4,0,0,
2020-07-01,JU,238,4,0,0,
2020-07-02,JU,242,4,0,0,
2020-07-03,JU,249,4,0,0,
2020-07-04,JU,249,4,0,0,
2020-07-05,JU,249,4,0,0,
2020-07-06,JU,252,4,0,0,
2020-07-07,JU,254,4,0,0,
2020-07-08,JU,257,4,0,0,
2020-07-09,JU,258,4,0,0,
2020-07-10,JU,261,4,0,0,
2020-07-11,JU,261,4,0,0,
2020-07-12,JU,261,4,0,0,
2020-07-13,JU,261,4,0,0,
2020-07-14,JU,262,4,1,0,
2020-07-15,JU,264,4,1,0,
2020-07-16,JU,264,4,2,0,
2020-07-17,JU,264,4,2,0,
2020-07-18,JU,264,4,2,0,
2020-07-19,JU,264,4,2,0,
2020-07-20,JU,264,4,1,0,
2020-07-21,JU,264,4,1,0,
2020-07-22,JU,264,4,1,0,
2020-07-23,JU,264,4,1,0,
2020-07-24,JU,264,4,1,0,
2020-07-25,JU,264,4,1,0,
2020-07-26,JU,264,4,1,0,
2020-07-27,JU,265,4,1,0,
2020-07-28,JU,265,4,1,0,
2020-07-29,JU,265,4,0,0,
2020-07-30,JU,265,4,0,0,
2020-07-31,JU,265,4,0,0,
2020-08-01,JU,265,4,0,0,
2020-08-02,JU,265,4,0,0,
2020-08-03,JU,265,4,0,0,
2020-08-04,JU,265,4,0,0,
2020-08-05,JU,265,4,0,0,
2020-08-06,JU,265,4,0,0,
2020-08-07,JU,266,4,0,0,
2020-08-08,JU,266,4,0,0,
2020-08-09,JU,266,4,0,0,
2020-08-10,JU,266,4,0,0,
2020-08-11,JU,266,4,0,0,
2020-08-12,JU,267,4,0,0,
2020-08-13,JU,267,4,0,0,
2020-08-14,JU,268,4,0,0,
2020-08-15,JU,269,4,0,0,
2020-08-16,JU,269,4,0,0,
2020-08-17,JU,269,4,0,0,
2020-08-18,JU,270,4,0,0,
2020-08-19,JU,270,4,0,0,
2020-08-20,JU,271,4,0,0,
2020-08-21,JU,271,4,0,0,
2020-08-22,JU,272,4,0,0,
2020-08-23,JU,273,4,0,0,
2020-08-24,JU,273,4,1,0,
2020-08-25,JU,273,4,1,0,
2020-08-26,JU,273,4,1,0,
2020-08-27,JU,273,4,1,0,
2020-08-28,JU,275,4,1,0,
2020-08-29,JU,275,4,1,0,
2020-08-30,JU,275,4,1,0,
2020-08-31,JU,277,4,1,0,
2020-09-01,JU,277,4,1,0,
2020-09-02,JU,281,4,1,0,
2020-09-03,JU,282,4,2,0,
2020-09-04,JU,286,4,1,0,
2020-09-05,JU,287,4,1,0,
2020-09-06,JU,287,4,1,0,
2020-09-07,JU,289,4,2,0,
2020-09-08,JU,290,4,2,0,
2020-09-09,JU,294,4,3,0,
2020-09-10,JU,297,4,3,0,
2020-09-11,JU,298,4,2,0,
2020-09-12,JU,298,4,2,0,
2020-09-13,JU,298,4,2,0,
2020-09-14,JU,301,4,1,0,
2020-09-15,JU,301,4,1,0,
2020-09-16,JU,303,4,1,0,
2020-09-17,JU,306,4,2,0,
2020-09-18,JU,308,4,2,0,
2020-09-19,JU,310,4,2,0,
2020-09-20,JU,311,4,2,0,
2020-09-21,JU,315,4,0,0,
2020-09-22,JU,317,4,0,0,
2020-09-23,JU,317,4,0,0,
2020-09-24,JU,322,4,0,0,
2020-09-25,JU,325,4,2,0,
2020-09-26,JU,326,4,2,0,
2020-09-27,JU,327,4,2,0,
2020-09-28,JU,333,4,3,1,
2020-09-29,JU,334,4,3,1,
2020-09-30,JU,341,4,3,1,
2020-10-01,JU,347,4,4,1,
