date,abbreviation_canton_and_fl,ncumul_conf,ncumul_deceased,current_hosp,current_icu,current_vent
2020-02-24,LU,0,0,,,
2020-02-25,LU,0,0,,,
2020-02-26,LU,0,0,,,
2020-02-27,LU,0,0,,,
2020-02-28,LU,0,0,,,
2020-02-29,LU,0,0,,,
2020-03-01,LU,0,0,,,
2020-03-02,LU,0,0,,,
2020-03-03,LU,1,0,,,
2020-03-04,LU,4,0,,,
2020-03-05,LU,4,0,,,
2020-03-06,LU,6,0,,,
2020-03-07,LU,6,0,,,
2020-03-08,LU,7,0,,,
2020-03-09,LU,8,0,,,
2020-03-10,LU,10,0,,,
2020-03-11,LU,13,0,,,
2020-03-12,LU,20,0,,,
2020-03-13,LU,25,0,,,
2020-03-14,LU,33,0,,,
2020-03-15,LU,38,0,,,
2020-03-16,LU,62,0,,,
2020-03-17,LU,87,0,,,
2020-03-18,LU,119,0,,,
2020-03-19,LU,134,0,,,
2020-03-20,LU,160,0,,,
2020-03-21,LU,175,1,,,
2020-03-22,LU,190,1,,,
2020-03-23,LU,232,1,,,
2020-03-24,LU,254,2,,,
2020-03-25,LU,279,3,,,
2020-03-26,LU,325,3,,,
2020-03-27,LU,345,3,,,
2020-03-28,LU,357,5,,,
2020-03-29,LU,369,6,,,
2020-03-30,LU,393,7,4,4,
2020-03-31,LU,415,7,18,8,
2020-04-01,LU,435,7,21,10,
2020-04-02,LU,456,7,19,8,
2020-04-03,LU,479,7,22,10,
2020-04-04,LU,492,9,19,8,
2020-04-05,LU,496,9,23,8,
2020-04-06,LU,506,9,20,9,
2020-04-07,LU,522,9,28,11,
2020-04-08,LU,539,9,32,10,
2020-04-09,LU,555,9,42,8,
2020-04-10,LU,562,11,42,8,
2020-04-11,LU,565,12,39,6,
2020-04-12,LU,571,12,45,7,
2020-04-13,LU,577,13,43,9,
2020-04-14,LU,582,14,49,6,
2020-04-15,LU,586,14,51,7,
2020-04-16,LU,600,15,21,6,
2020-04-17,LU,610,16,26,5,
2020-04-18,LU,619,16,31,5,
2020-04-19,LU,622,16,32,4,
2020-04-20,LU,628,16,40,5,
2020-04-21,LU,634,16,30,7,
2020-04-22,LU,641,16,25,6,
2020-04-23,LU,646,17,34,8,
2020-04-24,LU,654,17,40,8,
2020-04-25,LU,657,17,35,9,
2020-04-26,LU,662,18,30,10,
2020-04-27,LU,669,18,31,9,
2020-04-28,LU,674,18,30,8,
2020-04-29,LU,683,18,31,8,
2020-04-30,LU,685,18,35,9,
2020-05-01,LU,686,19,39,9,
2020-05-02,LU,686,19,38,8,
2020-05-03,LU,686,20,33,8,
2020-05-04,LU,688,20,36,9,
2020-05-05,LU,689,20,38,7,
2020-05-06,LU,692,20,34,7,
2020-05-07,LU,693,20,29,7,
2020-05-08,LU,693,20,28,7,
2020-05-09,LU,693,20,33,8,
2020-05-10,LU,694,20,28,9,
2020-05-11,LU,695,20,30,6,
2020-05-12,LU,695,20,28,6,
2020-05-13,LU,695,20,29,6,
2020-05-14,LU,698,20,26,5,
2020-05-15,LU,701,20,17,5,
2020-05-16,LU,703,20,18,5,
2020-05-17,LU,705,20,18,5,
2020-05-18,LU,709,20,23,5,
2020-05-19,LU,710,20,18,5,
2020-05-20,LU,712,20,18,4,
2020-05-21,LU,712,20,13,4,
2020-05-22,LU,713,20,15,4,
2020-05-23,LU,713,20,15,4,
2020-05-24,LU,713,20,15,4,
2020-05-25,LU,713,20,17,4,
2020-05-26,LU,713,20,11,0,
2020-05-27,LU,714,20,19,8,
2020-05-28,LU,714,20,19,8,
2020-05-29,LU,714,20,22,7,
2020-05-30,LU,714,20,22,7,
2020-05-31,LU,714,20,22,7,
2020-06-01,LU,714,20,10,7,
2020-06-02,LU,714,20,10,7,
2020-06-03,LU,715,20,10,7,
2020-06-04,LU,715,20,13,7,
2020-06-05,LU,715,20,13,7,
2020-06-06,LU,715,20,13,7,
2020-06-07,LU,715,20,13,7,
2020-06-08,LU,715,20,16,7,
2020-06-09,LU,715,20,16,7,
2020-06-10,LU,716,20,16,7,
2020-06-11,LU,716,20,7,0,
2020-06-12,LU,716,20,7,0,
2020-06-13,LU,716,20,7,0,
2020-06-14,LU,717,20,7,0,
2020-06-15,LU,718,20,11,0,
2020-06-16,LU,719,20,11,0,
2020-06-17,LU,719,20,11,0,
2020-06-18,LU,720,20,8,0,
2020-06-19,LU,720,20,8,0,
2020-06-20,LU,723,20,8,0,
2020-06-21,LU,724,20,8,0,
2020-06-22,LU,725,20,8,4,
2020-06-23,LU,725,20,8,4,
2020-06-24,LU,726,20,9,5,
2020-06-25,LU,728,20,6,5,
2020-06-26,LU,728,20,6,5,
2020-06-27,LU,732,20,6,5,
2020-06-28,LU,733,20,6,5,
2020-06-29,LU,740,20,10,5,
2020-06-30,LU,742,20,10,5,
2020-07-01,LU,742,20,10,5,
2020-07-02,LU,747,20,9,5,
2020-07-03,LU,749,20,9,5,
2020-07-04,LU,750,20,9,5,
2020-07-05,LU,750,20,9,5,
2020-07-06,LU,752,20,7,5,
2020-07-07,LU,754,20,7,5,
2020-07-08,LU,757,20,2,0,
2020-07-09,LU,761,20,5,4,
2020-07-10,LU,766,20,5,4,
2020-07-11,LU,767,20,5,4,
2020-07-12,LU,772,20,6,5,
2020-07-13,LU,776,20,7,5,
2020-07-14,LU,784,20,12,5,
2020-07-15,LU,787,20,6,5,
2020-07-16,LU,793,20,5,1,
2020-07-17,LU,798,20,10,1,
2020-07-18,LU,798,20,10,1,
2020-07-19,LU,799,20,10,1,
2020-07-20,LU,805,20,17,4,
2020-07-21,LU,808,20,16,4,
2020-07-22,LU,810,20,14,4,
2020-07-23,LU,816,20,11,4,
2020-07-24,LU,819,20,13,4,
2020-07-25,LU,819,20,13,4,
2020-07-26,LU,819,20,13,4,
2020-07-27,LU,825,20,10,1,
2020-07-28,LU,834,20,4,2,
2020-07-29,LU,844,20,4,1,
2020-07-30,LU,851,20,14,6,
2020-07-31,LU,856,20,17,7,
2020-08-01,LU,857,20,16,7,
2020-08-02,LU,860,20,16,7,
2020-08-03,LU,871,20,18,7,
2020-08-04,LU,880,20,26,9,
2020-08-05,LU,889,21,17,8,
2020-08-06,LU,894,21,17,8,
2020-08-07,LU,902,21,18,7,
2020-08-08,LU,902,21,9,2,
2020-08-09,LU,903,21,9,2,
2020-08-10,LU,913,21,11,3,
2020-08-11,LU,918,21,12,3,
2020-08-12,LU,931,21,19,2,
2020-08-13,LU,949,21,14,2,
2020-08-14,LU,957,21,9,2,
2020-08-15,LU,961,21,8,2,
2020-08-16,LU,962,21,7,2,
2020-08-17,LU,966,21,14,5,
2020-08-18,LU,974,21,14,5,
2020-08-19,LU,976,21,11,5,
2020-08-20,LU,982,21,4,3,
2020-08-21,LU,989,21,11,3,
2020-08-22,LU,990,21,11,3,
2020-08-23,LU,994,21,6,3,
2020-08-24,LU,996,21,9,3,
2020-08-25,LU,1006,21,7,3,
2020-08-26,LU,1014,21,10,4,
2020-08-27,LU,1023,21,17,4,
2020-08-28,LU,1033,21,16,4,
2020-08-29,LU,1038,21,14,4,
2020-08-30,LU,1039,21,14,4,
2020-08-31,LU,1045,21,15,5,
2020-09-01,LU,1051,21,19,6,
2020-09-02,LU,1057,21,21,6,
2020-09-03,LU,1062,21,17,6,
2020-09-04,LU,1066,21,18,1,
2020-09-05,LU,1068,21,18,1,
2020-09-06,LU,1071,21,18,1,
2020-09-07,LU,1073,21,16,2,
2020-09-08,LU,1078,21,12,1,
2020-09-09,LU,1085,21,12,2,
2020-09-10,LU,1094,21,17,3,
2020-09-11,LU,1098,22,12,1,
2020-09-12,LU,1100,23,12,1,
2020-09-13,LU,1106,23,12,1,
2020-09-14,LU,1112,23,8,1,
2020-09-15,LU,1121,23,8,2,
2020-09-16,LU,1130,23,13,5,
2020-09-17,LU,1140,23,17,1,
2020-09-18,LU,1152,23,15,2,
2020-09-19,LU,1155,23,16,2,
2020-09-20,LU,1160,23,16,2,
2020-09-21,LU,1166,23,18,1,
2020-09-22,LU,1172,23,12,1,
2020-09-23,LU,1179,23,15,1,
2020-09-24,LU,1181,23,9,1,
2020-09-25,LU,1190,23,9,1,
2020-09-26,LU,1194,24,9,1,
2020-09-27,LU,1195,24,6,0,
2020-09-28,LU,1201,24,7,0,
2020-09-29,LU,1209,24,10,0,
2020-09-30,LU,1222,24,7,0,
2020-10-01,LU,1231,24,8,1,
2020-10-02,LU,1242,24,6,1,
2020-10-03,LU,1248,24,6,1,
2020-10-04,LU,1253,24,6,1,
2020-10-05,LU,1268,24,7,1,
2020-10-06,LU,1296,24,5,1,
2020-10-07,LU,1336,24,4,1,
2020-10-08,LU,1381,24,4,2,
2020-10-09,LU,1441,24,8,2,
2020-10-10,LU,1483,24,8,3,
2020-10-11,LU,1505,24,8,3,
2020-10-12,LU,1584,24,15,2,
2020-10-13,LU,1671,24,15,2,
2020-10-14,LU,1763,24,16,2,
2020-10-15,LU,1912,24,20,2,
2020-10-16,LU,2025,24,19,2,
2020-10-17,LU,2074,24,19,2,
2020-10-18,LU,2148,24,24,2,
2020-10-19,LU,2317,25,32,2,
2020-10-20,LU,2501,26,36,2,
2020-10-21,LU,2700,26,47,5,
2020-10-22,LU,2933,27,44,6,
2020-10-23,LU,3194,27,41,9,
2020-10-24,LU,3304,28,46,9,
2020-10-25,LU,3390,28,49,9,
2020-10-26,LU,3758,28,79,11,
2020-10-27,LU,4035,30,69,12,
2020-10-28,LU,4345,32,74,14,
2020-10-29,LU,4663,33,82,14,
2020-10-30,LU,4997,34,84,11,
2020-10-31,LU,5177,36,84,14,
2020-11-01,LU,5251,38,99,15,
2020-11-02,LU,5540,39,104,15,
2020-11-03,LU,5832,41,107,18,
2020-11-04,LU,6122,43,110,16,
2020-11-05,LU,6403,45,108,17,
2020-11-06,LU,6640,45,113,17,
2020-11-07,LU,6788,47,99,20,
2020-11-08,LU,6817,50,96,21,
2020-11-09,LU,7097,50,106,21,
2020-11-10,LU,7324,50,122,25,
2020-11-11,LU,7579,51,98,24,
2020-11-12,LU,7751,56,95,24,
2020-11-13,LU,7962,57,82,21,
2020-11-14,LU,8091,59,78,23,
2020-11-15,LU,8148,61,75,23,
2020-11-16,LU,8426,63,79,27,
2020-11-17,LU,8648,66,86,24,
2020-11-18,LU,8838,67,102,25,
2020-11-19,LU,9029,70,107,25,
2020-11-20,LU,9280,73,131,26,
2020-11-21,LU,9314,75,124,23,
2020-11-22,LU,9387,77,128,22,
2020-11-23,LU,9573,79,122,18,
2020-11-24,LU,9774,81,113,20,
2020-11-25,LU,9971,83,132,22,
2020-11-26,LU,10128,89,131,21,
2020-11-27,LU,10308,92,122,22,
2020-11-28,LU,10402,94,120,22,
2020-11-29,LU,10459,98,114,22,
2020-11-30,LU,10683,106,99,19,
2020-12-01,LU,10864,107,100,21,
2020-12-02,LU,11032,111,86,21,
2020-12-03,LU,11256,113,101,21,
2020-12-04,LU,11464,117,110,23,
2020-12-05,LU,11568,126,112,21,
2020-12-06,LU,11609,128,116,19,
2020-12-07,LU,11917,136,114,18,
2020-12-08,LU,12073,139,98,16,
2020-12-09,LU,12368,140,105,17,
2020-12-10,LU,12615,143,115,21,
2020-12-11,LU,12900,147,116,20,
2020-12-12,LU,13102,150,107,22,
2020-12-13,LU,13185,156,115,23,
2020-12-14,LU,13484,161,130,26,
2020-12-15,LU,13782,164,119,24,
2020-12-16,LU,14071,169,128,24,
2020-12-17,LU,14284,172,139,21,
2020-12-18,LU,14552,180,116,20,
2020-12-19,LU,14670,187,110,18,
2020-12-20,LU,14760,193,127,17,
2020-12-21,LU,15019,197,131,18,
2020-12-22,LU,15332,205,118,20,
2020-12-23,LU,15553,210,109,21,
2020-12-24,LU,15785,215,99,20,
2020-12-25,LU,15861,217,92,15,
2020-12-26,LU,16035,220,100,18,
2020-12-27,LU,16090,223,106,18,
2020-12-28,LU,16374,224,124,22,
2020-12-29,LU,16620,226,127,21,
2020-12-30,LU,16853,230,127,23,
2020-12-31,LU,17021,231,132,22,
2021-01-01,LU,17085,232,127,23,
2021-01-02,LU,17266,236,134,26,
2021-01-03,LU,17365,237,133,25,
2021-01-04,LU,17623,238,127,26,
2021-01-05,LU,17883,240,131,24,
2021-01-06,LU,18118,242,124,22,
2021-01-07,LU,18314,244,132,22,
2021-01-08,LU,18477,244,118,21,
2021-01-09,LU,18544,246,126,22,
2021-01-10,LU,18624,249,124,20,
2021-01-11,LU,18865,250,125,19,
