date,abbreviation_canton_and_fl,ncumul_conf,ncumul_deceased,current_hosp,current_icu,current_vent
2020-02-24,NE,0,0,,,
2020-02-25,NE,0,0,,,
2020-02-26,NE,0,0,,,
2020-02-27,NE,0,0,,,
2020-02-28,NE,0,0,,,
2020-02-29,NE,0,0,,,
2020-03-01,NE,1,0,,,
2020-03-02,NE,1,0,,,
2020-03-03,NE,2,0,,,
2020-03-04,NE,9,0,,,
2020-03-05,NE,10,0,,,
2020-03-06,NE,14,0,,,
2020-03-07,NE,19,0,,,
2020-03-08,NE,26,0,,,
2020-03-09,NE,28,0,,,
2020-03-10,NE,32,0,,,
2020-03-11,NE,39,0,,,
2020-03-12,NE,43,0,,,
2020-03-13,NE,56,0,,,
2020-03-14,NE,66,0,,,
2020-03-15,NE,71,0,,,
2020-03-16,NE,84,0,,,
2020-03-17,NE,104,1,,,
2020-03-18,NE,133,2,,,
2020-03-19,NE,153,3,,,
2020-03-20,NE,168,3,,,
2020-03-21,NE,173,3,,,
2020-03-22,NE,186,3,,,
2020-03-23,NE,209,3,,,
2020-03-24,NE,236,4,,,
2020-03-25,NE,254,6,,,
2020-03-26,NE,273,8,,,
2020-03-27,NE,295,9,,,
2020-03-28,NE,308,10,,,
2020-03-29,NE,331,12,,,
2020-03-30,NE,359,13,57,12,
2020-03-31,NE,382,15,59,12,
2020-04-01,NE,393,17,64,11,
2020-04-02,NE,404,18,64,10,
2020-04-03,NE,422,18,61,11,
2020-04-04,NE,424,19,59,10,
2020-04-05,NE,435,19,59,12,
2020-04-06,NE,464,24,59,10,
2020-04-07,NE,489,25,69,10,
2020-04-08,NE,492,25,63,10,
2020-04-09,NE,515,26,62,10,
2020-04-10,NE,533,26,63,11,
2020-04-11,NE,548,27,64,11,
2020-04-12,NE,553,28,67,10,
2020-04-13,NE,572,29,67,10,
2020-04-14,NE,584,30,60,11,
2020-04-15,NE,596,30,54,12,
2020-04-16,NE,601,32,52,11,
2020-04-17,NE,609,34,44,10,
2020-04-18,NE,609,34,44,10,
2020-04-19,NE,613,36,43,9,
2020-04-20,NE,622,38,46,10,
2020-04-21,NE,628,39,37,7,
2020-04-22,NE,634,41,31,6,
2020-04-23,NE,640,41,35,6,
2020-04-24,NE,642,43,36,6,
2020-04-25,NE,642,43,35,4,
2020-04-26,NE,644,45,32,3,
2020-04-27,NE,646,45,28,3,
2020-04-28,NE,651,46,26,3,
2020-04-29,NE,655,46,26,3,
2020-04-30,NE,658,49,25,5,
2020-05-01,NE,660,49,26,2,
2020-05-02,NE,661,49,26,2,
