date,abbreviation_canton_and_fl,ncumul_conf,ncumul_deceased,current_hosp,current_icu,current_vent
2020-02-24,NW,0,0,,,
2020-02-25,NW,0,0,,,
2020-02-26,NW,0,0,,,
2020-02-27,NW,0,0,,,
2020-02-28,NW,0,0,,,
2020-02-29,NW,0,0,,,
2020-03-01,NW,0,0,,,
2020-03-02,NW,0,0,,,
2020-03-03,NW,0,0,,,
2020-03-04,NW,0,0,,,
2020-03-05,NW,0,0,,,
2020-03-06,NW,0,0,,,
2020-03-07,NW,0,0,,,
2020-03-08,NW,1,0,,,
2020-03-09,NW,5,0,,,
2020-03-10,NW,7,0,,,
2020-03-11,NW,7,0,,,
2020-03-12,NW,7,0,,,
2020-03-13,NW,9,0,,,
2020-03-14,NW,11,0,,,
2020-03-15,NW,11,0,,,
2020-03-16,NW,26,0,,,
2020-03-17,NW,28,0,,,
2020-03-18,NW,32,0,,,
2020-03-19,NW,34,0,,,
2020-03-20,NW,39,0,,,
2020-03-21,NW,41,0,,,
2020-03-22,NW,43,0,,,
2020-03-23,NW,45,0,,,
2020-03-24,NW,48,0,,,
2020-03-25,NW,54,0,,,
2020-03-26,NW,58,0,,,
2020-03-27,NW,71,0,,,
2020-03-28,NW,73,0,,,
2020-03-29,NW,73,0,,,
2020-03-30,NW,78,0,16,2,
2020-03-31,NW,81,0,16,2,
2020-04-01,NW,83,0,16,2,
2020-04-02,NW,86,0,14,2,
2020-04-03,NW,89,0,12,2,
2020-04-04,NW,91,0,10,2,
2020-04-05,NW,91,0,10,2,
2020-04-06,NW,97,0,14,2,
2020-04-07,NW,99,0,8,1,
2020-04-08,NW,102,0,6,1,
2020-04-09,NW,103,0,7,1,
2020-04-10,NW,104,0,12,1,
2020-04-11,NW,105,1,9,2,
2020-04-12,NW,106,1,9,2,
2020-04-13,NW,106,1,12,2,
2020-04-14,NW,106,2,7,2,
2020-04-15,NW,108,2,5,2,
2020-04-16,NW,108,2,4,2,
2020-04-17,NW,108,3,4,2,
2020-04-18,NW,108,3,4,2,
2020-04-19,NW,108,3,5,2,
2020-04-20,NW,108,3,4,2,
2020-04-21,NW,108,3,4,1,
2020-04-22,NW,108,3,4,1,
2020-04-23,NW,109,3,4,1,
2020-04-24,NW,110,3,3,0,
2020-04-25,NW,110,3,4,0,
2020-04-26,NW,111,3,3,0,
2020-04-27,NW,112,3,3,0,
2020-04-28,NW,112,3,3,0,
2020-04-29,NW,112,3,2,0,
2020-04-30,NW,112,3,2,0,
2020-05-01,NW,112,3,1,0,
2020-05-02,NW,112,3,1,0,
2020-05-03,NW,112,3,1,0,
2020-05-04,NW,113,3,1,0,
2020-05-05,NW,113,3,1,0,
2020-05-06,NW,113,3,1,0,
2020-05-07,NW,113,3,1,0,
2020-05-08,NW,114,3,0,0,
2020-05-09,NW,116,3,0,0,
2020-05-10,NW,117,3,1,0,
2020-05-11,NW,117,3,0,0,
2020-05-12,NW,120,3,0,0,
2020-05-13,NW,120,3,0,0,
2020-05-14,NW,120,3,0,0,
2020-05-15,NW,121,3,0,0,
