date,abbreviation_canton_and_fl,ncumul_conf,ncumul_deceased,current_hosp,current_icu,current_vent
2020-02-24,SG,0,0,,,
2020-02-25,SG,0,0,,,
2020-02-26,SG,0,0,,,
2020-02-27,SG,0,0,,,
2020-02-28,SG,0,0,,,
2020-02-29,SG,0,0,,,
2020-03-01,SG,0,0,,,
2020-03-02,SG,1,0,,,
2020-03-03,SG,1,0,,,
2020-03-04,SG,1,0,,,
2020-03-05,SG,1,0,,,
2020-03-06,SG,4,0,,,
2020-03-07,SG,4,0,,,
2020-03-08,SG,5,0,,,
2020-03-09,SG,13,0,,,
2020-03-10,SG,14,0,,,
2020-03-11,SG,22,0,,,
2020-03-12,SG,30,0,,,
2020-03-13,SG,39,0,,,
2020-03-14,SG,46,0,,,
2020-03-15,SG,49,0,,,
2020-03-16,SG,77,0,,,
2020-03-17,SG,106,0,,,
2020-03-18,SG,133,0,,,
2020-03-19,SG,153,0,,,
2020-03-20,SG,192,0,,,
2020-03-21,SG,201,0,,,
2020-03-22,SG,212,0,,,
2020-03-23,SG,261,0,,,
2020-03-24,SG,290,0,,,
2020-03-25,SG,320,2,,,
2020-03-26,SG,351,3,,,
2020-03-27,SG,386,4,,,
2020-03-28,SG,394,5,,,
2020-03-29,SG,396,5,,,
2020-03-30,SG,433,6,34,10,
2020-03-31,SG,470,7,48,10,
2020-04-01,SG,492,7,48,12,
2020-04-02,SG,514,7,61,12,
2020-04-03,SG,546,9,58,11,
2020-04-04,SG,555,10,59,12,
2020-04-05,SG,561,11,59,11,
2020-04-06,SG,597,15,59,10,
2020-04-07,SG,621,17,56,11,
2020-04-08,SG,634,17,56,10,
2020-04-09,SG,646,19,61,10,
2020-04-10,SG,649,19,62,9,
2020-04-11,SG,657,20,61,9,
2020-04-12,SG,664,21,50,9,
2020-04-13,SG,670,21,51,9,
2020-04-14,SG,679,22,52,7,
2020-04-15,SG,689,24,42,5,
2020-04-16,SG,696,27,34,6,
2020-04-17,SG,708,28,36,6,
2020-04-18,SG,711,29,40,5,
2020-04-19,SG,714,29,40,6,
2020-04-20,SG,726,30,33,5,
2020-04-21,SG,738,31,30,3,
2020-04-22,SG,741,31,27,2,
2020-04-23,SG,747,31,23,2,
2020-04-24,SG,756,32,27,2,
2020-04-25,SG,761,32,26,2,
2020-04-26,SG,761,33,28,2,
2020-04-27,SG,766,33,31,2,
2020-04-28,SG,770,33,22,2,
2020-04-29,SG,776,33,18,2,
2020-04-30,SG,778,33,16,2,
2020-05-01,SG,779,33,16,2,
2020-05-02,SG,779,33,17,2,
2020-05-03,SG,779,34,16,2,
2020-05-04,SG,781,34,17,2,
2020-05-05,SG,782,34,15,2,
2020-05-06,SG,785,35,11,2,
2020-05-07,SG,785,35,11,2,
2020-05-08,SG,787,35,10,1,
2020-05-09,SG,787,35,9,1,
2020-05-10,SG,787,36,9,1,
2020-05-11,SG,788,36,11,3,
2020-05-12,SG,788,36,6,2,
2020-05-13,SG,789,36,7,2,
2020-05-14,SG,789,36,6,2,
2020-05-15,SG,789,36,6,2,
2020-05-16,SG,790,36,4,1,
2020-05-17,SG,790,36,4,1,
2020-05-18,SG,791,36,4,1,
2020-05-19,SG,791,36,5,1,
2020-05-20,SG,791,36,5,1,
2020-05-21,SG,791,36,5,1,
2020-05-22,SG,791,36,5,1,
2020-05-23,SG,791,36,5,1,
2020-05-24,SG,791,36,4,1,
2020-05-25,SG,791,36,3,1,
2020-05-26,SG,791,36,5,1,
2020-05-27,SG,791,36,4,1,
2020-05-28,SG,792,36,3,1,
2020-05-29,SG,792,36,3,1,
2020-05-30,SG,792,36,3,1,
2020-05-31,SG,792,36,3,1,
2020-06-01,SG,792,36,1,1,
2020-06-02,SG,792,36,1,1,
2020-06-03,SG,792,36,1,1,
2020-06-04,SG,792,36,1,1,
2020-06-05,SG,793,36,1,1,
2020-06-06,SG,793,36,1,1,
2020-06-07,SG,794,36,1,1,
2020-06-08,SG,796,36,2,2,
2020-06-09,SG,797,36,2,2,
2020-06-10,SG,800,36,2,2,
2020-06-11,SG,801,36,2,1,
2020-06-12,SG,801,36,2,1,
2020-06-13,SG,801,36,2,1,
2020-06-14,SG,801,36,2,1,
2020-06-15,SG,802,36,4,1,
2020-06-16,SG,802,36,4,1,
2020-06-17,SG,802,36,4,1,
2020-06-18,SG,803,36,2,1,
2020-06-19,SG,803,36,2,1,
2020-06-20,SG,804,36,2,1,
2020-06-21,SG,804,36,2,1,
2020-06-22,SG,807,36,4,1,
2020-06-23,SG,810,36,4,1,
2020-06-24,SG,812,36,4,1,
2020-06-25,SG,816,36,8,2,
2020-06-26,SG,818,36,8,2,
2020-06-27,SG,820,36,8,2,
2020-06-28,SG,821,36,8,2,
2020-06-29,SG,837,36,5,2,
2020-06-30,SG,845,36,5,2,
2020-07-01,SG,849,37,5,2,
2020-07-02,SG,855,37,4,2,
2020-07-03,SG,861,37,4,2,
2020-07-04,SG,864,37,4,2,
2020-07-05,SG,867,37,4,2,
2020-07-06,SG,874,37,4,1,
2020-07-07,SG,880,37,4,1,
2020-07-08,SG,889,37,4,1,
2020-07-09,SG,895,37,6,1,
2020-07-10,SG,896,37,6,1,
2020-07-11,SG,899,37,6,1,
2020-07-12,SG,903,37,6,1,
2020-07-13,SG,905,37,7,1,
2020-07-14,SG,910,37,7,1,
2020-07-15,SG,913,37,4,1,
2020-07-16,SG,918,37,3,1,
2020-07-17,SG,926,37,3,1,
2020-07-18,SG,928,37,3,1,
2020-07-19,SG,930,37,3,1,
2020-07-20,SG,939,37,3,2,
2020-07-21,SG,949,37,6,3,
2020-07-22,SG,955,37,6,4,
2020-07-23,SG,958,37,5,2,
2020-07-24,SG,968,37,5,2,
2020-07-25,SG,970,37,5,2,
2020-07-26,SG,971,37,5,2,
2020-07-27,SG,983,37,6,2,
2020-07-28,SG,988,37,7,3,
2020-07-29,SG,997,37,8,3,
2020-07-30,SG,999,37,9,5,
2020-07-31,SG,1003,37,12,8,
2020-08-01,SG,1003,37,12,8,
2020-08-02,SG,1005,37,12,8,
2020-08-03,SG,1011,37,10,6,
2020-08-04,SG,1025,37,11,8,
2020-08-05,SG,1035,37,9,5,
2020-08-06,SG,1044,37,12,5,
2020-08-07,SG,1054,37,10,5,
2020-08-08,SG,1057,37,10,5,
2020-08-09,SG,1064,37,10,5,
2020-08-10,SG,1077,37,10,5,
2020-08-11,SG,1087,37,10,5,
2020-08-12,SG,1097,37,10,5,
2020-08-13,SG,1113,37,12,5,
2020-08-14,SG,1119,37,13,6,
2020-08-15,SG,1123,38,13,6,
2020-08-16,SG,1129,38,13,6,
2020-08-17,SG,1146,38,7,4,
2020-08-18,SG,1163,38,7,5,
2020-08-19,SG,1172,38,7,5,
2020-08-20,SG,1191,38,9,5,
2020-08-21,SG,1196,38,9,5,
2020-08-22,SG,1198,38,9,5,
2020-08-23,SG,1200,39,9,5,
2020-08-24,SG,1210,39,7,3,
2020-08-25,SG,1220,39,6,3,
2020-08-26,SG,1229,39,5,3,
2020-08-27,SG,1231,39,4,3,
2020-08-28,SG,1238,39,6,3,
2020-08-29,SG,1241,39,6,3,
2020-08-30,SG,1241,39,6,3,
2020-08-31,SG,1249,39,5,3,
2020-09-01,SG,1262,40,4,2,
2020-09-02,SG,1271,40,3,1,
2020-09-03,SG,1288,41,7,1,
2020-09-04,SG,1302,41,8,1,
2020-09-05,SG,1309,41,8,1,
2020-09-06,SG,1315,41,8,1,
2020-09-07,SG,1340,41,8,1,
2020-09-08,SG,1353,41,7,1,
2020-09-09,SG,1373,41,9,2,
2020-09-10,SG,1388,41,9,2,
2020-09-11,SG,1403,41,7,1,
2020-09-12,SG,1410,41,7,1,
2020-09-13,SG,1413,41,7,1,
2020-09-14,SG,1435,41,8,1,
2020-09-15,SG,1454,41,8,1,
2020-09-16,SG,1482,41,8,1,
2020-09-17,SG,1503,41,8,2,
2020-09-18,SG,1527,41,10,3,
2020-09-19,SG,1535,41,10,3,
2020-09-20,SG,1541,41,10,3,
2020-09-21,SG,1567,41,9,5,
2020-09-22,SG,1583,41,7,5,
2020-09-23,SG,1593,41,7,4,
2020-09-24,SG,1605,41,6,3,
2020-09-25,SG,1614,41,6,3,
2020-09-26,SG,1618,41,6,3,
2020-09-27,SG,1619,41,6,3,
2020-09-28,SG,1636,41,6,2,
2020-09-29,SG,1661,41,6,2,
2020-09-30,SG,1684,41,6,2,
2020-10-01,SG,1721,42,7,2,
2020-10-02,SG,1754,42,7,2,
2020-10-03,SG,1778,42,7,2,
2020-10-04,SG,1785,42,6,2,
2020-10-05,SG,1860,42,8,3,
2020-10-06,SG,1911,42,11,5,
2020-10-07,SG,1988,43,10,3,
2020-10-08,SG,2057,43,9,4,
2020-10-09,SG,2154,43,10,3,
2020-10-10,SG,2193,43,10,3,
2020-10-11,SG,2219,43,10,3,
2020-10-12,SG,2407,44,18,3,
2020-10-13,SG,2560,44,22,4,
2020-10-14,SG,2753,44,22,6,
2020-10-15,SG,2920,44,31,7,
2020-10-16,SG,3115,44,39,7,
2020-10-17,SG,3206,45,39,8,
2020-10-18,SG,3263,45,38,8,
2020-10-19,SG,3653,45,55,7,
2020-10-20,SG,4003,46,58,8,
2020-10-21,SG,4394,47,67,11,
2020-10-22,SG,4737,49,82,11,
2020-10-23,SG,5140,51,81,10,
2020-10-24,SG,5281,54,99,10,
2020-10-25,SG,5345,56,102,12,
2020-10-26,SG,6039,59,107,15,
2020-10-27,SG,6569,63,124,16,
2020-10-28,SG,7014,65,128,16,
2020-10-29,SG,7476,67,129,18,
2020-10-30,SG,7961,71,137,17,
2020-10-31,SG,8128,76,140,20,
2020-11-01,SG,8223,78,147,20,
2020-11-02,SG,8919,81,173,24,
2020-11-03,SG,9434,92,184,23,
2020-11-04,SG,9892,98,181,27,
2020-11-05,SG,10214,107,185,26,
2020-11-06,SG,10679,119,182,31,
2020-11-07,SG,10810,123,171,29,
2020-11-08,SG,10886,138,190,27,
2020-11-09,SG,11493,149,180,27,
2020-11-10,SG,11906,157,178,30,
2020-11-11,SG,12261,163,175,28,
2020-11-12,SG,12581,167,164,30,
2020-11-13,SG,12923,173,166,31,
2020-11-14,SG,13036,179,183,31,
2020-11-15,SG,13113,183,178,29,
2020-11-16,SG,13646,190,174,28,
2020-11-17,SG,14049,192,174,27,
2020-11-18,SG,14382,197,157,29,
2020-11-19,SG,14682,202,155,30,
2020-11-20,SG,15026,206,146,35,
2020-11-21,SG,15137,211,145,33,
2020-11-22,SG,15197,219,153,34,
2020-11-23,SG,15688,227,151,32,
2020-11-24,SG,16039,230,158,26,
2020-11-25,SG,16371,233,156,30,
2020-11-26,SG,16607,237,140,29,
2020-11-27,SG,17016,248,139,27,
2020-11-28,SG,17161,253,151,29,
2020-11-29,SG,17247,264,149,29,
2020-11-30,SG,17828,273,149,29,
2020-12-01,SG,18201,280,149,26,
2020-12-02,SG,18598,290,157,27,
2020-12-03,SG,18945,298,166,27,
2020-12-04,SG,19359,304,161,27,
2020-12-05,SG,19498,313,172,28,
2020-12-06,SG,19572,318,181,27,
2020-12-07,SG,20187,327,172,31,
2020-12-08,SG,20681,337,176,32,
2020-12-09,SG,21111,344,168,31,
2020-12-10,SG,21510,353,166,32,
2020-12-11,SG,21896,368,165,29,
2020-12-12,SG,22062,377,169,31,
2020-12-13,SG,22171,385,165,28,
2020-12-14,SG,22818,395,163,26,
2020-12-15,SG,23263,402,174,29,
2020-12-16,SG,23655,411,181,27,
2020-12-17,SG,24003,418,190,30,
2020-12-18,SG,24390,433,187,28,
2020-12-19,SG,24521,445,184,24,
2020-12-20,SG,24602,454,175,25,
2020-12-21,SG,25183,461,177,26,
2020-12-22,SG,25578,470,163,24,
2020-12-23,SG,25902,475,176,25,
2020-12-24,SG,26087,485,160,24,
2020-12-25,SG,26145,488,160,25,
2020-12-26,SG,26258,500,166,26,
2020-12-27,SG,26339,504,174,28,
2020-12-28,SG,26812,513,179,27,
2020-12-29,SG,27216,517,177,27,
2020-12-30,SG,27559,529,167,27,
2020-12-31,SG,27760,535,148,28,
2021-01-01,SG,27823,541,147,31,
2021-01-02,SG,27980,547,160,30,
2021-01-03,SG,28061,556,168,26,
2021-01-04,SG,28602,560,165,24,
2021-01-05,SG,28940,565,165,23,
2021-01-06,SG,29218,570,160,21,
2021-01-07,SG,29413,575,144,17,
2021-01-08,SG,29659,581,135,17,
2021-01-09,SG,29716,585,145,19,
2021-01-10,SG,29748,591,129,19,
2021-01-11,SG,30033,597,122,18,
2021-01-12,SG,30217,602,113,18,
2021-01-13,SG,30389,606,111,18,
2021-01-14,SG,30517,610,108,19,
2021-01-15,SG,30654,611,102,18,
2021-01-16,SG,30712,614,105,18,
2021-01-17,SG,30727,620,109,16,
2021-01-18,SG,30996,621,102,16,
2021-01-19,SG,31176,627,97,16,
2021-01-20,SG,31333,630,84,15,
2021-01-21,SG,31478,632,69,16,
2021-01-22,SG,31618,637,80,16,
2021-01-23,SG,31672,641,72,17,
2021-01-24,SG,31696,645,77,18,
2021-01-25,SG,31909,646,80,17,
2021-01-26,SG,32036,648,77,17,
2021-01-27,SG,32158,648,75,18,
2021-01-28,SG,32261,649,74,19,
2021-01-29,SG,32395,653,64,23,
2021-01-30,SG,32451,656,67,24,
2021-01-31,SG,32467,659,75,22,
2021-02-01,SG,32642,661,76,22,
2021-02-02,SG,32719,663,56,20,
2021-02-03,SG,32844,663,71,22,
2021-02-04,SG,32933,665,70,20,
2021-02-05,SG,33021,665,57,19,
2021-02-06,SG,33067,667,63,20,
2021-02-07,SG,33090,669,58,16,
2021-02-08,SG,33207,670,64,18,
2021-02-09,SG,33294,671,59,17,
2021-02-10,SG,33361,673,50,16,
2021-02-11,SG,33414,673,47,14,
2021-02-12,SG,33472,674,40,11,
2021-02-13,SG,33496,675,42,12,
2021-02-14,SG,33508,677,38,12,
2021-02-15,SG,33601,678,41,13,
2021-02-16,SG,33653,678,35,12,
2021-02-17,SG,33710,678,29,10,
2021-02-18,SG,33755,678,36,9,
2021-02-19,SG,33798,678,45,9,
2021-02-20,SG,33821,678,43,9,
2021-02-21,SG,33839,679,42,8,
2021-02-22,SG,33924,680,40,10,
2021-02-23,SG,33985,680,40,8,
2021-02-24,SG,34044,681,45,11,
2021-02-25,SG,34087,681,43,9,
2021-02-26,SG,34140,681,48,9,
2021-02-27,SG,34162,682,48,9,
2021-02-28,SG,34175,683,45,11,
2021-03-01,SG,34275,684,46,11,
2021-03-02,SG,34340,686,42,11,
2021-03-03,SG,34402,686,38,11,
2021-03-04,SG,34448,687,36,11,
2021-03-05,SG,34511,688,31,10,
2021-03-06,SG,34537,689,27,9,
2021-03-07,SG,34552,689,29,10,
2021-03-08,SG,34659,689,36,8,
2021-03-09,SG,34724,689,30,8,
2021-03-10,SG,34780,690,30,9,
2021-03-11,SG,34838,692,29,9,
2021-03-12,SG,34901,692,28,8,
2021-03-13,SG,34935,693,33,8,
2021-03-14,SG,34947,693,29,8,
2021-03-15,SG,35040,693,33,8,
2021-03-16,SG,35135,693,35,8,
2021-03-17,SG,35213,693,36,9,
2021-03-18,SG,35314,693,36,9,
2021-03-19,SG,35392,693,35,10,
2021-03-20,SG,35424,693,38,10,
2021-03-21,SG,35454,695,36,9,
2021-03-22,SG,35612,695,35,8,
2021-03-23,SG,35720,695,37,9,
2021-03-24,SG,35844,695,40,9,
2021-03-25,SG,35965,695,41,10,
2021-03-26,SG,36090,695,44,11,
2021-03-27,SG,36136,695,44,11,
2021-03-28,SG,36169,696,49,11,
2021-03-29,SG,36333,696,54,8,
2021-03-30,SG,36435,697,44,8,
2021-03-31,SG,36566,698,45,7,
2021-04-01,SG,36652,700,48,10,
2021-04-02,SG,36674,701,48,10,
2021-04-03,SG,36732,702,49,10,
2021-04-04,SG,36761,702,52,11,
2021-04-05,SG,36812,705,53,13,
2021-04-06,SG,36993,706,50,11,
2021-04-07,SG,37122,706,50,11,
2021-04-08,SG,37268,706,52,10,
2021-04-09,SG,37426,706,47,11,
2021-04-10,SG,37484,706,51,11,
2021-04-11,SG,37517,706,51,8,
2021-04-12,SG,37710,706,51,10,
2021-04-13,SG,37838,706,48,10,
2021-04-14,SG,37939,706,49,10,
2021-04-15,SG,38019,706,45,10,
2021-04-16,SG,38132,706,45,11,
2021-04-17,SG,38197,706,46,12,
2021-04-18,SG,38226,706,52,12,
2021-04-19,SG,38445,706,56,13,
2021-04-20,SG,38596,707,45,13,
2021-04-21,SG,38718,707,52,12,
2021-04-22,SG,38847,707,57,11,
2021-04-23,SG,38992,708,59,15,
2021-04-24,SG,39045,709,63,16,
2021-04-25,SG,39095,709,66,16,
2021-04-26,SG,39284,712,66,16,
2021-04-27,SG,39395,712,65,15,
2021-04-28,SG,39553,712,55,15,
2021-04-29,SG,39634,712,55,14,
2021-04-30,SG,39727,712,54,12,
2021-05-01,SG,39776,712,54,10,
2021-05-02,SG,39800,713,56,10,
2021-05-03,SG,39934,713,56,10,
2021-05-04,SG,40055,713,50,9,
2021-05-05,SG,40156,713,48,11,
2021-05-06,SG,40236,714,36,11,
2021-05-07,SG,40350,714,32,13,
2021-05-08,SG,40391,714,34,12,
2021-05-09,SG,40421,714,38,12,
