date,abbreviation_canton_and_fl,ncumul_conf,ncumul_deceased,current_hosp,current_icu,current_vent
2020-02-24,SO,0,0,,,
2020-02-25,SO,0,0,,,
2020-02-26,SO,0,0,,,
2020-02-27,SO,0,0,,,
2020-02-28,SO,0,0,,,
2020-02-29,SO,0,0,,,
2020-03-01,SO,0,0,,,
2020-03-02,SO,0,0,,,
2020-03-03,SO,0,0,,,
2020-03-04,SO,0,0,,,
2020-03-05,SO,1,0,,,
2020-03-06,SO,1,0,,,
2020-03-07,SO,1,0,,,
2020-03-08,SO,1,0,,,
2020-03-09,SO,3,0,,,
2020-03-10,SO,7,0,,,
2020-03-11,SO,8,0,,,
2020-03-12,SO,11,0,,,
2020-03-13,SO,11,0,,,
2020-03-14,SO,14,0,,,
2020-03-15,SO,19,0,,,
2020-03-16,SO,37,0,,,
2020-03-17,SO,43,0,,,
2020-03-18,SO,54,0,,,
2020-03-19,SO,63,0,,,
2020-03-20,SO,81,0,,,
2020-03-21,SO,88,0,,,
2020-03-22,SO,99,0,,,
2020-03-23,SO,116,1,,,
2020-03-24,SO,137,1,,,
2020-03-25,SO,151,1,,,
2020-03-26,SO,167,1,,,
2020-03-27,SO,187,2,,,
2020-03-28,SO,190,2,,,
2020-03-29,SO,195,2,,,
2020-03-30,SO,213,2,23,6,
2020-03-31,SO,223,3,20,7,
2020-04-01,SO,231,3,23,8,
2020-04-02,SO,244,3,21,8,
2020-04-03,SO,252,3,25,8,
2020-04-04,SO,256,3,24,8,
2020-04-05,SO,258,3,24,8,
2020-04-06,SO,275,3,18,8,
2020-04-07,SO,281,4,29,8,
2020-04-08,SO,290,5,22,8,
2020-04-09,SO,301,6,21,7,
2020-04-10,SO,306,6,24,8,
2020-04-11,SO,313,7,23,7,
2020-04-12,SO,316,7,23,7,
2020-04-13,SO,318,8,23,7,
2020-04-14,SO,330,8,22,7,
2020-04-15,SO,336,9,22,7,
2020-04-16,SO,341,9,22,5,
2020-04-17,SO,344,10,21,4,
2020-04-18,SO,344,11,19,3,
2020-04-19,SO,345,11,20,4,
2020-04-20,SO,354,11,20,5,
2020-04-21,SO,356,12,19,5,
2020-04-22,SO,362,14,18,5,
2020-04-23,SO,362,14,15,6,
2020-04-24,SO,365,14,15,6,
2020-04-25,SO,367,15,13,7,
2020-04-26,SO,367,15,12,7,
2020-04-27,SO,369,15,13,7,
2020-04-28,SO,372,15,13,7,
2020-04-29,SO,374,15,12,5,
2020-04-30,SO,376,15,12,5,
2020-05-01,SO,383,15,12,5,
2020-05-02,SO,385,15,11,5,
2020-05-03,SO,385,15,11,5,
2020-05-04,SO,386,15,11,5,
2020-05-05,SO,390,15,10,5,
2020-05-06,SO,391,15,11,5,
2020-05-07,SO,397,15,11,5,
2020-05-08,SO,402,15,11,5,
2020-05-09,SO,404,15,11,4,
2020-05-10,SO,405,15,10,4,
2020-05-11,SO,407,15,11,4,
2020-05-12,SO,409,15,12,4,
2020-05-13,SO,410,15,12,4,
2020-05-14,SO,410,15,11,4,
2020-05-15,SO,413,16,6,3,
2020-05-16,SO,414,16,6,3,
2020-05-17,SO,416,16,6,3,
2020-05-18,SO,417,16,4,3,
2020-05-19,SO,418,16,3,2,
2020-05-20,SO,418,16,3,2,
2020-05-21,SO,418,16,3,2,
2020-05-22,SO,418,16,3,2,
2020-05-23,SO,418,17,3,2,
2020-05-24,SO,418,17,3,2,
2020-05-25,SO,418,17,3,2,
2020-05-26,SO,419,17,3,2,
2020-05-27,SO,419,17,3,2,
2020-05-28,SO,422,17,3,2,
2020-05-29,SO,422,17,3,2,
2020-05-30,SO,422,17,3,2,
2020-05-31,SO,422,17,3,2,
2020-06-01,SO,422,17,1,0,
2020-06-02,SO,424,17,1,0,
2020-06-03,SO,424,17,1,0,
2020-06-04,SO,424,17,2,2,
2020-06-05,SO,424,17,2,2,
2020-06-06,SO,424,17,2,2,
2020-06-07,SO,424,17,2,2,
2020-06-08,SO,424,17,2,2,
2020-06-09,SO,424,17,2,2,
2020-06-10,SO,425,17,2,2,
2020-06-11,SO,426,17,2,2,
2020-06-12,SO,426,17,2,2,
2020-06-13,SO,426,17,2,2,
2020-06-14,SO,426,17,2,2,
2020-06-15,SO,427,17,1,1,
2020-06-16,SO,427,17,1,1,
2020-06-17,SO,429,17,1,1,
2020-06-18,SO,429,17,1,1,
2020-06-19,SO,429,17,1,1,
2020-06-20,SO,429,17,1,1,
2020-06-21,SO,429,17,1,1,
2020-06-22,SO,430,17,0,0,
2020-06-23,SO,431,17,0,0,
2020-06-24,SO,431,17,0,0,
2020-06-25,SO,431,17,0,0,
2020-06-26,SO,433,17,0,0,
2020-06-27,SO,435,17,0,0,
2020-06-28,SO,437,17,0,0,
2020-06-29,SO,442,17,0,0,
2020-06-30,SO,443,17,0,0,
2020-07-01,SO,444,17,0,0,
2020-07-02,SO,445,17,0,0,
2020-07-03,SO,448,17,0,0,
2020-07-04,SO,448,17,0,0,
2020-07-05,SO,450,17,0,0,
2020-07-06,SO,453,17,0,0,
2020-07-07,SO,455,17,0,0,
2020-07-08,SO,458,17,1,0,
2020-07-09,SO,460,17,1,0,
2020-07-10,SO,464,17,1,0,
2020-07-11,SO,468,17,1,0,
2020-07-12,SO,470,17,1,0,
2020-07-13,SO,474,17,3,0,
