date,abbreviation_canton_and_fl,ncumul_conf,ncumul_deceased,current_hosp,current_icu,current_vent
2020-02-24,SZ,0,0,,,
2020-02-25,SZ,0,0,,,
2020-02-26,SZ,0,0,,,
2020-02-27,SZ,0,0,,,
2020-02-28,SZ,0,0,,,
2020-02-29,SZ,0,0,,,
2020-03-01,SZ,0,0,,,
2020-03-02,SZ,2,0,,,
2020-03-03,SZ,5,0,,,
2020-03-04,SZ,5,0,,,
2020-03-05,SZ,6,0,,,
2020-03-06,SZ,6,0,,,
2020-03-07,SZ,6,0,,,
2020-03-08,SZ,6,0,,,
2020-03-09,SZ,8,0,,,
2020-03-10,SZ,9,0,,,
2020-03-11,SZ,10,0,,,
2020-03-12,SZ,17,0,,,
2020-03-13,SZ,21,0,,,
2020-03-14,SZ,25,0,,,
2020-03-15,SZ,28,0,,,
2020-03-16,SZ,43,0,,,
2020-03-17,SZ,50,0,,,
2020-03-18,SZ,70,0,,,
2020-03-19,SZ,75,0,,,
2020-03-20,SZ,82,0,,,
2020-03-21,SZ,83,0,,,
2020-03-22,SZ,88,0,,,
2020-03-23,SZ,100,0,,,
2020-03-24,SZ,108,0,,,
2020-03-25,SZ,117,1,,,
2020-03-26,SZ,128,2,,,
2020-03-27,SZ,131,5,,,
2020-03-28,SZ,134,5,,,
2020-03-29,SZ,134,5,,,
2020-03-30,SZ,145,5,6,2,
2020-03-31,SZ,152,5,5,2,
2020-04-01,SZ,160,5,11,1,
2020-04-02,SZ,162,5,13,1,
2020-04-03,SZ,176,5,13,3,
2020-04-04,SZ,181,6,14,2,
2020-04-05,SZ,185,6,14,2,
2020-04-06,SZ,193,7,16,3,
2020-04-07,SZ,198,7,12,2,
2020-04-08,SZ,215,8,10,2,
2020-04-09,SZ,241,10,11,2,
2020-04-10,SZ,244,11,9,2,
2020-04-11,SZ,246,11,8,2,
2020-04-12,SZ,248,12,9,2,
2020-04-13,SZ,250,13,10,2,
2020-04-14,SZ,254,13,17,3,
2020-04-15,SZ,255,14,16,3,
2020-04-16,SZ,257,14,18,2,
2020-04-17,SZ,261,15,14,2,
2020-04-18,SZ,264,16,13,2,
2020-04-19,SZ,265,16,13,2,
2020-04-20,SZ,269,16,15,4,
2020-04-21,SZ,270,16,15,4,
2020-04-22,SZ,273,16,10,3,
2020-04-23,SZ,279,17,11,3,
2020-04-24,SZ,281,18,8,2,
2020-04-25,SZ,282,19,7,2,
2020-04-26,SZ,282,20,11,2,
2020-04-27,SZ,283,21,11,2,
2020-04-28,SZ,289,21,10,1,
2020-04-29,SZ,289,21,9,1,
2020-04-30,SZ,291,22,6,1,
2020-05-01,SZ,291,22,5,1,
2020-05-02,SZ,291,23,4,1,
2020-05-03,SZ,291,23,5,1,
2020-05-04,SZ,291,23,4,1,
2020-05-05,SZ,291,23,5,1,
2020-05-06,SZ,291,23,2,0,
2020-05-07,SZ,292,23,1,0,
2020-05-08,SZ,292,23,0,0,
2020-05-09,SZ,292,23,0,0,
2020-05-10,SZ,292,23,0,0,
2020-05-11,SZ,293,23,3,1,
2020-05-12,SZ,293,23,4,1,
2020-05-13,SZ,293,23,2,0,
2020-05-14,SZ,293,23,1,0,
2020-05-15,SZ,293,23,0,0,
2020-05-16,SZ,293,23,1,0,
2020-05-17,SZ,293,23,3,0,
2020-05-18,SZ,293,23,3,0,
2020-05-19,SZ,293,23,0,0,
2020-05-20,SZ,293,23,0,0,
2020-05-21,SZ,293,23,0,0,
2020-05-22,SZ,293,23,1,0,
2020-05-23,SZ,293,23,1,0,
2020-05-24,SZ,293,23,1,0,
2020-05-25,SZ,293,23,2,0,
2020-05-26,SZ,293,23,1,0,
2020-05-27,SZ,293,23,1,0,
2020-05-28,SZ,293,23,0,0,
2020-05-29,SZ,293,23,0,0,
2020-05-30,SZ,293,23,0,0,
2020-05-31,SZ,293,23,0,0,
2020-06-01,SZ,293,23,0,0,
2020-06-02,SZ,293,23,1,0,
2020-06-03,SZ,293,23,1,0,
2020-06-04,SZ,293,23,0,0,
2020-06-05,SZ,293,23,0,0,
2020-06-06,SZ,293,23,0,0,
2020-06-07,SZ,293,23,0,0,
2020-06-08,SZ,293,23,3,0,
2020-06-09,SZ,293,23,1,0,
2020-06-10,SZ,294,23,0,0,
2020-06-11,SZ,294,23,0,0,
2020-06-12,SZ,294,23,2,0,
2020-06-13,SZ,294,23,2,0,
2020-06-14,SZ,294,23,2,0,
2020-06-15,SZ,294,23,0,0,
2020-06-16,SZ,295,23,0,0,
2020-06-17,SZ,295,23,0,0,
2020-06-18,SZ,295,23,2,0,
2020-06-19,SZ,298,23,1,0,
2020-06-20,SZ,299,23,1,0,
2020-06-21,SZ,299,23,0,0,
2020-06-22,SZ,303,23,0,0,
2020-06-23,SZ,304,23,0,0,
2020-06-24,SZ,307,23,0,0,
2020-06-25,SZ,307,23,0,0,
2020-06-26,SZ,313,23,0,0,
2020-06-27,SZ,314,23,0,0,
2020-06-28,SZ,315,23,0,0,
2020-06-29,SZ,318,23,0,0,
2020-06-30,SZ,325,23,2,0,
2020-07-01,SZ,332,23,2,0,
2020-07-02,SZ,333,23,1,1,
2020-07-03,SZ,337,23,1,1,
2020-07-04,SZ,337,23,1,1,
2020-07-05,SZ,337,23,1,1,
2020-07-06,SZ,342,23,0,0,
2020-07-07,SZ,345,23,0,0,
2020-07-08,SZ,346,23,0,0,
2020-07-09,SZ,352,23,3,0,
2020-07-10,SZ,355,23,1,0,
2020-07-11,SZ,355,23,1,0,
2020-07-12,SZ,355,23,1,1,
2020-07-13,SZ,358,24,0,0,
2020-07-14,SZ,363,24,0,0,
2020-07-15,SZ,364,24,0,0,
2020-07-16,SZ,364,25,0,0,
2020-07-17,SZ,366,25,1,0,
2020-07-18,SZ,366,25,1,0,
2020-07-19,SZ,367,25,1,0,
2020-07-20,SZ,369,25,1,0,
2020-07-21,SZ,369,25,2,0,
2020-07-22,SZ,374,25,2,0,
2020-07-23,SZ,375,25,1,0,
2020-07-24,SZ,375,25,2,0,
2020-07-25,SZ,379,25,2,0,
2020-07-26,SZ,379,25,2,0,
2020-07-27,SZ,387,25,2,0,
2020-07-28,SZ,390,25,4,2,
2020-07-29,SZ,392,25,2,0,
2020-07-30,SZ,396,25,3,0,
2020-07-31,SZ,399,25,4,0,
2020-08-01,SZ,400,25,4,0,
2020-08-02,SZ,400,25,4,0,
2020-08-03,SZ,404,25,2,0,
2020-08-04,SZ,406,25,1,0,
2020-08-05,SZ,406,25,1,0,
2020-08-06,SZ,408,25,0,0,
2020-08-07,SZ,413,25,0,0,
2020-08-08,SZ,417,25,0,0,
2020-08-09,SZ,417,25,0,0,
2020-08-10,SZ,419,25,2,1,
2020-08-11,SZ,420,25,5,1,
2020-08-12,SZ,421,25,5,1,
2020-08-13,SZ,425,25,4,1,
2020-08-14,SZ,429,25,4,1,
2020-08-15,SZ,431,25,4,1,
2020-08-16,SZ,433,25,4,1,
2020-08-17,SZ,438,25,3,0,
2020-08-18,SZ,442,25,4,1,
2020-08-19,SZ,449,25,5,1,
2020-08-20,SZ,451,25,2,0,
2020-08-21,SZ,455,25,3,1,
2020-08-22,SZ,460,25,3,1,
2020-08-23,SZ,460,25,3,1,
2020-08-24,SZ,465,25,2,0,
2020-08-25,SZ,472,25,3,0,
2020-08-26,SZ,472,25,0,0,
2020-08-27,SZ,473,25,0,0,
2020-08-28,SZ,477,25,0,0,
2020-08-29,SZ,480,25,0,0,
2020-08-30,SZ,480,25,0,0,
2020-08-31,SZ,481,25,3,1,
2020-09-01,SZ,483,25,3,1,
2020-09-02,SZ,487,25,3,1,
2020-09-03,SZ,490,25,3,0,
2020-09-04,SZ,494,25,4,0,
2020-09-05,SZ,498,25,4,0,
2020-09-06,SZ,499,25,4,0,
2020-09-07,SZ,499,25,4,1,
2020-09-08,SZ,506,25,2,0,
2020-09-09,SZ,510,25,1,0,
2020-09-10,SZ,521,25,1,0,
2020-09-11,SZ,524,25,1,0,
