date,abbreviation_canton_and_fl,ncumul_conf,ncumul_deceased,current_hosp,current_icu,current_vent
2020-02-24,TG,0,0,,,
2020-02-25,TG,0,0,,,
2020-02-26,TG,0,0,,,
2020-02-27,TG,0,0,,,
2020-02-28,TG,0,0,,,
2020-02-29,TG,0,0,,,
2020-03-01,TG,0,0,,,
2020-03-02,TG,0,0,,,
2020-03-03,TG,0,0,,,
2020-03-04,TG,1,0,,,
2020-03-05,TG,1,0,,,
2020-03-06,TG,1,0,,,
2020-03-07,TG,1,0,,,
2020-03-08,TG,2,0,,,
2020-03-09,TG,4,0,,,
2020-03-10,TG,5,0,,,
2020-03-11,TG,6,0,,,
2020-03-12,TG,8,0,,,
2020-03-13,TG,15,0,,,
2020-03-14,TG,16,0,,,
2020-03-15,TG,18,0,,,
2020-03-16,TG,28,0,,,
2020-03-17,TG,38,0,,,
2020-03-18,TG,46,0,,,
2020-03-19,TG,51,0,,,
2020-03-20,TG,70,0,,,
2020-03-21,TG,75,0,,,
2020-03-22,TG,79,0,,,
2020-03-23,TG,89,0,,,
2020-03-24,TG,103,2,,,
2020-03-25,TG,110,2,,,
2020-03-26,TG,119,2,,,
2020-03-27,TG,136,2,,,
2020-03-28,TG,141,2,,,
2020-03-29,TG,144,2,,,
2020-03-30,TG,163,4,10,10,
2020-03-31,TG,175,4,10,10,
2020-04-01,TG,189,5,10,10,
2020-04-02,TG,203,6,12,12,
2020-04-03,TG,211,7,15,15,
2020-04-04,TG,217,7,15,15,
2020-04-05,TG,221,8,15,15,
2020-04-06,TG,241,8,14,14,
2020-04-07,TG,257,8,15,15,
2020-04-08,TG,264,8,16,16,
2020-04-09,TG,276,8,16,16,
2020-04-10,TG,282,8,17,17,
2020-04-11,TG,285,8,18,18,
2020-04-12,TG,288,9,20,20,
2020-04-13,TG,291,10,18,18,
2020-04-14,TG,297,11,18,18,
2020-04-15,TG,305,12,16,16,
2020-04-16,TG,312,12,15,15,
2020-04-17,TG,316,14,14,14,
2020-04-18,TG,321,14,14,14,
2020-04-19,TG,322,14,14,14,
2020-04-20,TG,337,15,14,14,
2020-04-21,TG,339,15,11,11,
2020-04-22,TG,341,15,11,11,
2020-04-23,TG,342,15,10,10,
2020-04-24,TG,342,16,11,11,
2020-04-25,TG,343,17,11,11,
2020-04-26,TG,343,17,10,10,
2020-04-27,TG,344,17,9,9,
2020-04-28,TG,346,17,9,9,
2020-04-29,TG,348,17,9,9,
2020-04-30,TG,349,17,8,8,
2020-05-01,TG,349,17,12,7,
2020-05-02,TG,349,17,9,7,
2020-05-03,TG,349,17,9,7,
2020-05-04,TG,350,17,7,7,
2020-05-05,TG,350,17,13,7,
2020-05-06,TG,350,17,7,7,
2020-05-07,TG,350,17,6,5,
2020-05-08,TG,351,17,6,5,
2020-05-09,TG,351,17,6,5,
2020-05-10,TG,351,17,7,5,
2020-05-11,TG,351,17,7,5,
2020-05-12,TG,352,17,7,4,
2020-05-13,TG,352,17,7,5,
2020-05-14,TG,352,17,3,3,
2020-05-15,TG,353,17,4,4,
2020-05-16,TG,353,17,4,4,
2020-05-17,TG,353,17,4,4,
2020-05-18,TG,353,17,4,4,
2020-05-19,TG,353,18,4,4,
2020-05-20,TG,353,18,4,4,
2020-05-21,TG,353,18,4,4,
2020-05-22,TG,354,18,5,3,
2020-05-23,TG,354,18,2,2,
2020-05-24,TG,354,18,2,2,
2020-05-25,TG,354,18,1,0,
2020-05-26,TG,354,18,1,0,
2020-05-27,TG,355,18,1,0,
2020-05-28,TG,355,18,0,0,
2020-05-29,TG,357,18,0,0,
2020-05-30,TG,357,18,0,0,
2020-05-31,TG,357,18,0,0,
2020-06-01,TG,357,18,0,0,
2020-06-02,TG,357,18,0,0,
2020-06-03,TG,357,18,0,0,
2020-06-04,TG,358,18,1,1,
2020-06-05,TG,358,18,2,2,
2020-06-06,TG,358,18,2,2,
2020-06-07,TG,358,18,2,2,
2020-06-08,TG,358,18,1,1,
2020-06-09,TG,358,18,1,1,
2020-06-10,TG,358,18,1,1,
2020-06-11,TG,359,18,1,1,
2020-06-12,TG,359,18,1,1,
2020-06-13,TG,359,18,1,1,
2020-06-14,TG,359,18,1,1,
2020-06-15,TG,360,18,1,1,
2020-06-16,TG,360,18,1,1,
2020-06-17,TG,360,18,1,1,
2020-06-18,TG,360,18,1,1,
2020-06-19,TG,360,18,1,1,
2020-06-20,TG,360,18,1,1,
2020-06-21,TG,360,18,1,1,
