date,abbreviation_canton_and_fl,ncumul_conf,ncumul_deceased,current_hosp,current_icu,current_vent
2020-02-24,TI,1,0,,,
2020-02-25,TI,1,0,,,
2020-02-26,TI,1,0,,,
2020-02-27,TI,4,0,,,
2020-02-28,TI,4,0,,,
2020-02-29,TI,5,0,,,
2020-03-01,TI,6,0,,,
2020-03-02,TI,11,0,,,
2020-03-03,TI,21,0,,,
2020-03-04,TI,28,0,,,
2020-03-05,TI,42,0,,,
2020-03-06,TI,51,0,,,
2020-03-07,TI,63,0,,,
2020-03-08,TI,72,0,,,
2020-03-09,TI,120,0,,,
2020-03-10,TI,167,1,,,
2020-03-11,TI,216,2,,,
2020-03-12,TI,265,3,,,
2020-03-13,TI,326,5,,,
2020-03-14,TI,381,8,,,
2020-03-15,TI,425,8,,,
2020-03-16,TI,565,9,,,
2020-03-17,TI,705,14,,,
2020-03-18,TI,861,15,,,
2020-03-19,TI,930,20,,,
2020-03-20,TI,1093,27,,,
2020-03-21,TI,1170,33,,,
2020-03-22,TI,1215,46,,,
2020-03-23,TI,1397,52,,,
2020-03-24,TI,1565,57,,,
2020-03-25,TI,1703,63,,,
2020-03-26,TI,1828,72,,,
2020-03-27,TI,2006,77,,,
2020-03-28,TI,2053,91,,,
2020-03-29,TI,2080,98,,,
2020-03-30,TI,2212,111,262,60,
2020-03-31,TI,2311,121,257,60,
2020-04-01,TI,2392,131,404,61,
2020-04-02,TI,2453,144,393,62,
2020-04-03,TI,2524,156,391,59,
2020-04-04,TI,2555,166,374,56,
2020-04-05,TI,2576,178,350,59,
2020-04-06,TI,2670,185,351,59,
2020-04-07,TI,2727,194,345,56,
2020-04-08,TI,2770,203,354,55,
2020-04-09,TI,2823,214,327,56,
2020-04-10,TI,2861,217,254,55,
2020-04-11,TI,2884,228,248,56,
2020-04-12,TI,2894,231,234,54,
2020-04-13,TI,2906,237,239,53,
2020-04-14,TI,2940,242,238,53,
2020-04-15,TI,2965,246,269,52,
2020-04-16,TI,2990,248,205,49,
2020-04-17,TI,3021,250,209,46,
2020-04-18,TI,3034,254,198,45,
2020-04-19,TI,3041,258,195,45,
2020-04-20,TI,3068,262,190,42,
2020-04-21,TI,3086,266,191,40,
2020-04-22,TI,3096,268,163,35,
2020-04-23,TI,3118,270,155,31,
2020-04-24,TI,3136,276,151,33,
2020-04-25,TI,3142,278,144,32,
2020-04-26,TI,3146,282,145,32,
2020-04-27,TI,3163,286,144,31,
2020-04-28,TI,3176,288,143,31,
2020-04-29,TI,3186,290,136,30,
2020-04-30,TI,3196,291,128,30,
2020-05-01,TI,3198,292,51,9,
2020-05-02,TI,3201,292,51,8,
2020-05-03,TI,3202,293,53,8,
2020-05-04,TI,3211,296,53,7,
2020-05-05,TI,3217,300,42,6,
2020-05-06,TI,3221,301,37,5,
2020-05-07,TI,3224,301,38,4,
2020-05-08,TI,3229,305,28,4,
2020-05-09,TI,3230,307,28,3,
2020-05-10,TI,3230,307,28,3,
2020-05-11,TI,3236,307,28,3,
2020-05-12,TI,3239,307,27,2,
2020-05-13,TI,3244,307,27,2,
2020-05-14,TI,3245,307,23,2,
2020-05-15,TI,3247,307,11,2,
2020-05-16,TI,3249,307,11,2,
2020-05-17,TI,3249,309,12,1,
2020-05-18,TI,3252,309,12,1,
2020-05-19,TI,3263,310,11,2,
2020-05-20,TI,3268,310,9,2,
2020-05-21,TI,3268,311,9,3,
2020-05-22,TI,3269,311,8,3,
2020-05-23,TI,3271,311,8,3,
2020-05-24,TI,3272,311,8,2,
2020-05-25,TI,3274,312,11,5,
2020-05-26,TI,3275,312,12,5,
2020-05-27,TI,3278,312,11,4,
2020-05-28,TI,3279,312,10,4,
2020-05-29,TI,3282,312,10,4,
2020-05-30,TI,3282,312,10,4,
2020-05-31,TI,3282,312,10,4,
2020-06-01,TI,3282,312,6,1,
2020-06-02,TI,3282,312,4,1,
2020-06-03,TI,3283,312,4,1,
2020-06-04,TI,3283,312,4,1,
2020-06-05,TI,3283,312,5,1,
2020-06-06,TI,3283,313,6,1,
2020-06-07,TI,3283,313,5,1,
2020-06-08,TI,3283,313,4,2,
2020-06-09,TI,3284,313,3,1,
2020-06-10,TI,3284,313,3,0,
2020-06-11,TI,3284,313,3,0,
2020-06-12,TI,3286,313,2,0,
2020-06-13,TI,3288,313,2,0,
2020-06-14,TI,3288,313,1,0,
2020-06-15,TI,3290,313,1,0,
2020-06-16,TI,3291,313,1,0,
2020-06-17,TI,3291,313,1,0,
2020-06-18,TI,3291,313,2,0,
2020-06-19,TI,3293,313,2,0,
2020-06-20,TI,3293,313,2,0,
2020-06-21,TI,3293,313,2,0,
2020-06-22,TI,3294,313,2,0,
2020-06-23,TI,3294,313,2,0,
2020-06-24,TI,3294,313,2,0,
2020-06-25,TI,3294,313,2,0,
2020-06-26,TI,3294,313,2,0,
2020-06-27,TI,3294,313,2,0,
2020-06-28,TI,3295,313,2,0,
2020-06-29,TI,3298,313,2,0,
2020-06-30,TI,3300,313,2,0,
2020-07-01,TI,3305,313,1,0,
2020-07-02,TI,3311,313,0,0,
2020-07-03,TI,3319,313,0,0,
2020-07-04,TI,3320,313,0,0,
2020-07-05,TI,3320,313,0,0,
2020-07-06,TI,3327,313,0,0,
2020-07-07,TI,3332,313,0,0,
2020-07-08,TI,3335,313,1,0,
2020-07-09,TI,3340,313,1,0,
2020-07-10,TI,3343,313,2,0,
2020-07-11,TI,3344,313,1,0,
2020-07-12,TI,3345,313,1,0,
2020-07-13,TI,3349,313,1,0,
2020-07-14,TI,3357,313,1,0,
2020-07-15,TI,3360,313,5,1,
2020-07-16,TI,3363,313,5,2,
2020-07-17,TI,3373,313,5,2,
2020-07-18,TI,3377,313,5,2,
2020-07-19,TI,3378,313,5,2,
2020-07-20,TI,3383,313,5,2,
2020-07-21,TI,3386,313,5,1,
2020-07-22,TI,3386,313,1,0,
2020-07-23,TI,3387,313,1,0,
2020-07-24,TI,3389,313,1,0,
2020-07-25,TI,3389,313,1,0,
2020-07-26,TI,3390,313,1,0,
2020-07-27,TI,3395,313,1,0,
2020-07-28,TI,3398,313,1,0,
2020-07-29,TI,3403,313,1,0,
2020-07-30,TI,3406,313,1,0,
2020-07-31,TI,3409,313,1,0,
2020-08-01,TI,3409,313,1,0,
2020-08-02,TI,3410,313,1,0,
2020-08-03,TI,3412,313,1,0,
2020-08-04,TI,3414,313,1,0,
2020-08-05,TI,3417,313,1,0,
2020-08-06,TI,3420,313,3,0,
2020-08-07,TI,3424,313,3,0,
2020-08-08,TI,3424,313,3,0,
2020-08-09,TI,3424,313,3,0,
2020-08-10,TI,3430,313,2,0,
2020-08-11,TI,3432,313,1,0,
2020-08-12,TI,3435,313,1,0,
2020-08-13,TI,3437,313,2,0,
2020-08-14,TI,3440,313,1,0,
2020-08-15,TI,3441,313,1,0,
2020-08-16,TI,3444,313,1,0,
2020-08-17,TI,3453,313,2,0,
2020-08-18,TI,3460,313,2,0,
2020-08-19,TI,3467,313,1,0,
2020-08-20,TI,3472,313,2,0,
2020-08-21,TI,3481,313,2,0,
2020-08-22,TI,3483,313,2,0,
2020-08-23,TI,3485,313,2,0,
2020-08-24,TI,3493,313,2,0,
2020-08-25,TI,3499,313,2,0,
2020-08-26,TI,3502,313,0,0,
2020-08-27,TI,3505,313,0,0,
2020-08-28,TI,3509,313,0,0,
2020-08-29,TI,3510,313,1,0,
2020-08-30,TI,3511,313,1,0,
2020-08-31,TI,3513,313,1,0,
2020-09-01,TI,3518,313,1,0,
2020-09-02,TI,3519,313,1,0,
2020-09-03,TI,3524,313,1,0,
2020-09-04,TI,3527,313,1,0,
2020-09-05,TI,3528,313,0,0,
2020-09-06,TI,3529,313,0,0,
2020-09-07,TI,3533,313,0,0,
2020-09-08,TI,3536,313,0,0,
2020-09-09,TI,3543,313,0,0,
2020-09-10,TI,3548,313,0,0,
2020-09-11,TI,3554,313,0,0,
2020-09-12,TI,3556,313,0,0,
2020-09-13,TI,3557,313,0,0,
2020-09-14,TI,3563,313,0,0,
2020-09-15,TI,3567,313,0,0,
2020-09-16,TI,3573,313,0,0,
2020-09-17,TI,3580,313,0,0,
2020-09-18,TI,3585,313,0,0,
2020-09-19,TI,3586,313,0,0,
2020-09-20,TI,3587,313,0,0,
2020-09-21,TI,3593,313,0,0,
2020-09-22,TI,3596,313,0,0,
2020-09-23,TI,3598,313,0,0,
2020-09-24,TI,3603,313,0,0,
2020-09-25,TI,3604,313,1,0,
2020-09-26,TI,3604,313,1,0,
2020-09-27,TI,3605,313,1,0,
2020-09-28,TI,3608,313,1,0,
2020-09-29,TI,3617,313,1,0,
2020-09-30,TI,3623,313,0,0,
2020-10-01,TI,3633,313,0,0,
