date,new_cases,total_cases,new_hosp,total_hosp,new_deaths,total_deaths
2020-02-24,1,1,5,5,0,0
2020-02-25,1,2,4,9,0,0
2020-02-26,10,12,9,18,0,0
2020-02-27,10,22,5,23,0,0
2020-02-28,10,32,5,28,0,0
2020-02-29,13,45,14,42,0,0
2020-03-01,11,56,10,52,0,0
2020-03-02,31,87,14,66,0,0
2020-03-03,33,120,17,83,0,0
2020-03-04,61,181,13,96,0,0
2020-03-05,62,243,17,113,2,2
2020-03-06,73,316,24,137,0,2
2020-03-07,49,365,8,145,0,2
2020-03-08,68,433,17,162,1,3
2020-03-09,192,625,29,191,0,3
2020-03-10,212,837,42,233,2,5
2020-03-11,334,1171,49,282,3,8
2020-03-12,357,1528,52,334,4,12
2020-03-13,433,1961,55,389,3,15
2020-03-14,420,2381,65,454,5,20
2020-03-15,328,2709,55,509,8,28
2020-03-16,1065,3774,120,629,7,35
2020-03-17,1088,4862,98,727,12,47
2020-03-18,1214,6076,112,839,8,55
2020-03-19,837,6913,110,949,14,69
2020-03-20,1147,8060,143,1092,21,90
2020-03-21,693,8753,118,1210,19,109
2020-03-22,548,9301,135,1345,18,127
2020-03-23,1464,10765,162,1507,23,150
2020-03-24,1243,12008,181,1688,19,169
2020-03-25,1073,13081,201,1889,39,208
2020-03-26,1118,14199,165,2054,38,246
2020-03-27,1308,15507,210,2264,32,278
2020-03-28,723,16230,123,2387,57,335
2020-03-29,434,16664,122,2509,46,381
2020-03-30,1311,17975,165,2674,58,439
2020-03-31,1138,19113,126,2800,44,483
2020-04-01,1016,20129,97,2897,57,540
2020-04-02,878,21007,96,2993,60,600
2020-04-03,928,21935,75,3068,57,657
2020-04-04,486,22421,58,3126,56,713
2020-04-05,281,22702,50,3176,50,763
2020-04-06,925,23627,71,3247,50,813
2020-04-07,715,24342,57,3304,56,869
2020-04-08,613,24955,59,3363,58,927
2020-04-09,559,25514,58,3421,44,971
2020-04-10,309,25823,41,3462,52,1023
2020-04-11,262,26085,43,3505,45,1068
2020-04-12,219,26304,34,3539,36,1104
2020-04-13,245,26549,27,3566,36,1140
2020-04-14,424,26973,52,3618,37,1177
2020-04-15,328,27301,32,3650,38,1215
2020-04-16,321,27622,38,3688,38,1253
2020-04-17,291,27913,32,3720,36,1289
2020-04-18,145,28058,14,3734,34,1323
2020-04-19,87,28145,23,3757,21,1344
2020-04-20,277,28422,23,3780,38,1382
2020-04-21,213,28635,19,3799,33,1415
2020-04-22,155,28790,21,3820,27,1442
2020-04-23,208,28998,9,3829,31,1473
2020-04-24,167,29165,13,3842,27,1500
2020-04-25,87,29252,15,3857,25,1525
2020-04-26,61,29313,6,3863,13,1538
2020-04-27,173,29486,13,3876,23,1561
2020-04-28,153,29639,15,3891,12,1573
2020-04-29,120,29759,11,3902,11,1584
2020-04-30,101,29860,4,3906,13,1597
2020-05-01,83,29943,7,3913,12,1609
2020-05-02,47,29990,7,3920,9,1618
2020-05-03,22,30012,7,3927,8,1626
2020-05-04,90,30102,4,3931,9,1635
2020-05-05,73,30175,6,3937,10,1645
2020-05-06,79,30254,3,3940,4,1649
2020-05-07,46,30300,7,3947,12,1661
2020-05-08,59,30359,3,3950,7,1668
2020-05-09,39,30398,2,3952,5,1673
2020-05-10,16,30414,6,3958,7,1680
2020-05-11,47,30461,5,3963,3,1683
2020-05-12,42,30503,1,3964,1,1684
2020-05-13,37,30540,5,3969,1,1685
2020-05-14,37,30577,3,3972,2,1687
2020-05-15,41,30618,3,3975,5,1692
2020-05-16,15,30633,3,3978,1,1693
2020-05-17,12,30645,5,3983,4,1697
2020-05-18,34,30679,3,3986,3,1700
2020-05-19,36,30715,2,3988,4,1704
2020-05-20,29,30744,2,3990,0,1704
2020-05-21,11,30755,3,3993,5,1709
2020-05-22,20,30775,4,3997,1,1710
2020-05-23,14,30789,1,3998,1,1711
2020-05-24,10,30799,0,3998,0,1711
2020-05-25,15,30814,1,3999,2,1713
2020-05-26,18,30832,5,4004,2,1715
2020-05-27,25,30857,0,4004,0,1715
2020-05-28,30,30887,5,4009,0,1715
2020-05-29,21,30908,2,4011,0,1715
2020-05-30,10,30918,3,4014,0,1715
