date,abbreviation_canton_and_fl,ncumul_conf,ncumul_deceased,current_hosp,current_icu,current_vent
2020-02-24,UR,0,0,,,
2020-02-25,UR,0,0,,,
2020-02-26,UR,0,0,,,
2020-02-27,UR,0,0,,,
2020-02-28,UR,0,0,,,
2020-02-29,UR,0,0,,,
2020-03-01,UR,0,0,,,
2020-03-02,UR,0,0,,,
2020-03-03,UR,0,0,,,
2020-03-04,UR,0,0,,,
2020-03-05,UR,0,0,,,
2020-03-06,UR,0,0,,,
2020-03-07,UR,0,0,,,
2020-03-08,UR,0,0,,,
2020-03-09,UR,0,0,,,
2020-03-10,UR,0,0,,,
2020-03-11,UR,0,0,,,
2020-03-12,UR,0,0,,,
2020-03-13,UR,0,0,,,
2020-03-14,UR,0,0,,,
2020-03-15,UR,0,0,,,
2020-03-16,UR,1,0,,,
2020-03-17,UR,4,0,,,
2020-03-18,UR,5,0,,,
2020-03-19,UR,5,0,,,
2020-03-20,UR,10,0,,,
2020-03-21,UR,12,0,,,
2020-03-22,UR,19,0,,,
2020-03-23,UR,26,0,,,
2020-03-24,UR,32,0,,,
2020-03-25,UR,35,0,,,
2020-03-26,UR,40,0,,,
2020-03-27,UR,46,0,,,
2020-03-28,UR,49,0,,,
2020-03-29,UR,51,0,,,
2020-03-30,UR,55,0,6,1,
2020-03-31,UR,57,0,7,1,
2020-04-01,UR,60,1,6,1,
2020-04-02,UR,63,1,6,5,
2020-04-03,UR,65,1,5,1,
2020-04-04,UR,65,2,6,0,
2020-04-05,UR,65,2,5,0,
2020-04-06,UR,68,2,4,0,
2020-04-07,UR,68,3,4,1,
2020-04-08,UR,70,4,2,0,
2020-04-09,UR,71,4,3,0,
2020-04-10,UR,71,4,5,0,
2020-04-11,UR,72,4,8,0,
2020-04-12,UR,73,4,6,1,
2020-04-13,UR,73,4,5,1,
2020-04-14,UR,73,5,1,0,
2020-04-15,UR,74,5,2,2,
2020-04-16,UR,74,5,2,2,
2020-04-17,UR,74,5,2,0,
2020-04-18,UR,74,5,1,0,
2020-04-19,UR,74,5,1,0,
2020-04-20,UR,74,5,2,0,
2020-04-21,UR,74,5,2,0,
2020-04-22,UR,74,5,4,1,
2020-04-23,UR,74,5,4,1,
2020-04-24,UR,76,5,2,1,
2020-04-25,UR,76,5,2,1,
2020-04-26,UR,80,5,1,1,
2020-04-27,UR,81,5,2,2,
2020-04-28,UR,81,5,2,0,
2020-04-29,UR,82,5,1,0,
2020-04-30,UR,83,6,2,0,
2020-05-01,UR,86,6,2,0,
2020-05-02,UR,86,6,0,0,
2020-05-03,UR,87,6,0,0,
2020-05-04,UR,87,7,1,0,
2020-05-05,UR,88,7,1,0,
2020-05-06,UR,89,7,2,0,
2020-05-07,UR,89,7,2,0,
2020-05-08,UR,89,7,1,0,
2020-05-09,UR,89,7,1,0,
2020-05-10,UR,89,7,1,0,
2020-05-11,UR,89,7,1,0,
2020-05-12,UR,89,7,1,0,
2020-05-13,UR,89,7,1,0,
2020-05-14,UR,90,7,1,0,
2020-05-15,UR,90,7,2,0,
2020-05-16,UR,90,7,2,0,
2020-05-17,UR,90,7,2,0,
2020-05-18,UR,90,7,2,0,
2020-05-19,UR,91,7,2,0,
2020-05-20,UR,91,7,2,0,
2020-05-21,UR,91,7,0,0,
2020-05-22,UR,91,7,0,0,
2020-05-23,UR,91,7,0,0,
2020-05-24,UR,91,7,0,0,
2020-05-25,UR,91,7,0,0,
2020-05-26,UR,91,7,0,0,
2020-05-27,UR,91,7,0,0,
2020-05-28,UR,91,7,0,0,
2020-05-29,UR,91,7,0,0,
2020-05-30,UR,91,7,0,0,
2020-05-31,UR,91,7,0,0,
2020-06-01,UR,91,7,0,0,
2020-06-02,UR,91,7,0,0,
2020-06-03,UR,91,7,0,0,
2020-06-04,UR,91,7,0,0,
2020-06-05,UR,91,7,0,0,
2020-06-06,UR,91,7,0,0,
2020-06-07,UR,91,7,0,0,
2020-06-08,UR,91,7,0,0,
2020-06-09,UR,91,7,0,0,
2020-06-10,UR,91,7,0,0,
2020-06-11,UR,91,7,0,0,
2020-06-12,UR,91,7,0,0,
2020-06-13,UR,91,7,0,0,
2020-06-14,UR,91,7,0,0,
2020-06-15,UR,91,7,0,0,
2020-06-16,UR,91,7,0,0,
2020-06-17,UR,91,7,0,0,
2020-06-18,UR,91,7,0,0,
2020-06-19,UR,91,7,0,0,
2020-06-20,UR,91,7,0,0,
2020-06-21,UR,91,7,0,0,
2020-06-22,UR,91,7,0,0,
2020-06-23,UR,91,7,0,0,
2020-06-24,UR,91,7,0,0,
2020-06-25,UR,92,7,0,0,
2020-06-26,UR,93,7,0,0,
2020-06-27,UR,93,7,0,0,
2020-06-28,UR,93,7,0,0,
2020-06-29,UR,97,7,0,0,
2020-06-30,UR,101,7,0,0,
2020-07-01,UR,102,7,0,0,
2020-07-02,UR,102,7,0,0,
2020-07-03,UR,103,7,0,0,
2020-07-04,UR,103,7,0,0,
2020-07-05,UR,103,7,0,0,
2020-07-06,UR,105,7,0,0,
2020-07-07,UR,107,7,0,0,
2020-07-08,UR,107,7,0,0,
2020-07-09,UR,107,7,0,0,
2020-07-10,UR,107,7,0,0,
2020-07-11,UR,107,7,0,0,
2020-07-12,UR,107,7,0,0,
2020-07-13,UR,109,7,0,0,
2020-07-14,UR,109,7,0,0,
2020-07-15,UR,109,7,0,0,
2020-07-16,UR,109,7,0,0,
2020-07-17,UR,109,7,0,0,
2020-07-18,UR,109,7,0,0,
2020-07-19,UR,110,7,0,0,
2020-07-20,UR,111,7,0,0,
2020-07-21,UR,113,7,0,0,
2020-07-22,UR,113,7,0,0,
2020-07-23,UR,113,7,1,0,
2020-07-24,UR,113,7,1,0,
2020-07-25,UR,113,7,1,0,
2020-07-26,UR,113,7,1,0,
2020-07-27,UR,114,7,1,0,
2020-07-28,UR,114,7,1,0,
2020-07-29,UR,114,7,0,0,
