date,abbreviation_canton_and_fl,ncumul_conf,ncumul_deceased,current_hosp,current_icu,current_vent
2020-02-24,VD,0,0,,,
2020-02-25,VD,0,0,,,
2020-02-26,VD,1,0,,,
2020-02-27,VD,1,0,,,
2020-02-28,VD,1,0,,,
2020-02-29,VD,1,0,,,
2020-03-01,VD,1,0,,,
2020-03-02,VD,6,0,,,
2020-03-03,VD,10,0,,,
2020-03-04,VD,18,0,,,
2020-03-05,VD,29,2,,,
2020-03-06,VD,37,2,,,
2020-03-07,VD,48,2,,,
2020-03-08,VD,58,2,,,
2020-03-09,VD,94,2,,,
2020-03-10,VD,134,2,,,
2020-03-11,VD,208,3,,,
2020-03-12,VD,283,4,,,
2020-03-13,VD,380,4,,,
2020-03-14,VD,487,5,,,
2020-03-15,VD,579,6,,,
2020-03-16,VD,817,8,,,
2020-03-17,VD,1065,10,,,
2020-03-18,VD,1335,13,,,
2020-03-19,VD,1552,14,,,
2020-03-20,VD,1794,19,,,
2020-03-21,VD,1915,22,,,
2020-03-22,VD,2020,24,,,
2020-03-23,VD,2331,29,,,
2020-03-24,VD,2603,31,,,
2020-03-25,VD,2797,39,,,
2020-03-26,VD,3003,53,,,
2020-03-27,VD,3241,55,,,
2020-03-28,VD,3373,62,,,
2020-03-29,VD,3461,69,,,
2020-03-30,VD,3675,78,305,66,
2020-03-31,VD,3837,85,328,73,
2020-04-01,VD,3990,93,337,97,
2020-04-02,VD,4126,109,369,98,
2020-04-03,VD,4263,124,357,82,
2020-04-04,VD,4335,129,366,81,
2020-04-05,VD,4376,139,356,80,
2020-04-06,VD,4495,151,354,81,
2020-04-07,VD,4577,163,353,84,
2020-04-08,VD,4671,169,344,85,
2020-04-09,VD,4768,174,317,81,
2020-04-10,VD,4817,179,311,81,
2020-04-11,VD,4857,184,290,81,
2020-04-12,VD,4896,192,290,82,
2020-04-13,VD,4940,196,296,83,
2020-04-14,VD,5010,203,298,79,
2020-04-15,VD,5061,214,277,72,
2020-04-16,VD,5091,224,263,69,
2020-04-17,VD,5124,228,241,59,
2020-04-18,VD,5143,232,230,54,
2020-04-19,VD,5154,236,229,51,
2020-04-20,VD,5187,246,227,49,
2020-04-21,VD,5219,251,211,42,
2020-04-22,VD,5241,255,202,43,
2020-04-23,VD,5272,264,199,40,
2020-04-24,VD,5294,266,187,40,
2020-04-25,VD,5307,276,189,37,
2020-04-26,VD,5316,279,196,44,
2020-04-27,VD,5334,283,198,35,
2020-04-28,VD,5357,285,190,35,
2020-04-29,VD,5372,286,163,33,
2020-04-30,VD,5385,288,157,33,
2020-05-01,VD,5402,292,147,28,
2020-05-02,VD,5411,295,129,24,
2020-05-03,VD,5416,297,128,22,
2020-05-04,VD,5425,297,137,21,
2020-05-05,VD,5436,297,138,18,
2020-05-06,VD,5455,297,112,18,
2020-05-07,VD,5460,298,105,20,
2020-05-08,VD,5471,298,100,17,
2020-05-09,VD,5478,298,91,13,
2020-05-10,VD,5478,299,93,13,
2020-05-11,VD,5485,299,100,17,
2020-05-12,VD,5495,299,102,15,
2020-05-13,VD,5504,299,96,12,
2020-05-14,VD,5509,300,93,14,
2020-05-15,VD,5513,300,85,15,
2020-05-16,VD,5513,300,71,14,
2020-05-17,VD,5515,300,72,14,
2020-05-18,VD,5519,300,69,14,
2020-05-19,VD,5523,300,71,16,
2020-05-20,VD,5527,300,63,15,
2020-05-21,VD,5527,300,61,14,
2020-05-22,VD,5532,300,56,11,
2020-05-23,VD,5538,300,51,11,
2020-05-24,VD,5540,300,52,11,
2020-05-25,VD,5540,300,53,12,
2020-05-26,VD,5543,300,55,10,
2020-05-27,VD,5545,300,60,10,
2020-05-28,VD,5548,300,48,8,
2020-05-29,VD,5551,300,53,8,
2020-05-30,VD,5552,300,53,8,
2020-05-31,VD,5553,300,53,8,
2020-06-01,VD,5553,300,53,8,
2020-06-02,VD,5557,300,50,10,
2020-06-03,VD,5559,300,44,7,
2020-06-04,VD,5562,300,47,7,
2020-06-05,VD,5564,300,49,7,
2020-06-06,VD,5566,300,49,7,
2020-06-07,VD,5568,300,49,7,
2020-06-08,VD,5569,300,39,6,
2020-06-09,VD,5572,300,32,8,
2020-06-10,VD,5573,300,29,8,
2020-06-11,VD,5577,300,29,7,
2020-06-12,VD,5585,300,26,14,
2020-06-13,VD,5585,300,27,15,
2020-06-14,VD,5586,300,27,15,
2020-06-15,VD,5589,300,30,5,
2020-06-16,VD,5597,301,26,4,
2020-06-17,VD,5602,301,28,7,
2020-06-18,VD,5604,301,24,6,
2020-06-19,VD,5610,301,20,5,
2020-06-20,VD,5612,301,20,5,
2020-06-21,VD,5614,301,20,5,
2020-06-22,VD,5625,302,28,5,
2020-06-23,VD,5632,302,28,5,
2020-06-24,VD,5642,302,20,5,
2020-06-25,VD,5645,302,18,3,
2020-06-26,VD,5651,302,25,3,
2020-06-27,VD,5653,302,25,3,
2020-06-28,VD,5661,302,25,3,
