date,abbreviation_canton_and_fl,ncumul_conf,ncumul_deceased,current_hosp,current_icu,current_vent
2020-02-24,VS,0,0,,,
2020-02-25,VS,0,0,,,
2020-02-26,VS,0,0,,,
2020-02-27,VS,0,0,,,
2020-02-28,VS,1,0,,,
2020-02-29,VS,1,0,,,
2020-03-01,VS,2,0,,,
2020-03-02,VS,4,0,,,
2020-03-03,VS,4,0,,,
2020-03-04,VS,5,0,,,
2020-03-05,VS,6,0,,,
2020-03-06,VS,6,0,,,
2020-03-07,VS,7,0,,,
2020-03-08,VS,14,0,,,
2020-03-09,VS,18,0,,,
2020-03-10,VS,23,0,,,
2020-03-11,VS,30,0,,,
2020-03-12,VS,55,0,,,
2020-03-13,VS,71,1,,,
2020-03-14,VS,92,1,,,
2020-03-15,VS,103,3,,,
2020-03-16,VS,162,4,,,
2020-03-17,VS,214,4,,,
2020-03-18,VS,295,4,,,
2020-03-19,VS,332,6,,,
2020-03-20,VS,426,6,,,
2020-03-21,VS,477,8,,,
2020-03-22,VS,515,8,,,
2020-03-23,VS,612,9,,,
2020-03-24,VS,712,10,,,
2020-03-25,VS,782,11,,,
2020-03-26,VS,858,12,,,
2020-03-27,VS,950,15,,,
2020-03-28,VS,995,18,,,
2020-03-29,VS,1030,24,,,
2020-03-30,VS,1115,28,24,22,
2020-03-31,VS,1182,29,25,22,
2020-04-01,VS,1251,32,24,23,
2020-04-02,VS,1298,36,27,25,
2020-04-03,VS,1349,41,29,26,
2020-04-04,VS,1382,44,25,22,
2020-04-05,VS,1397,49,27,24,
2020-04-06,VS,1465,51,27,24,
2020-04-07,VS,1503,59,26,23,
2020-04-08,VS,1540,64,27,23,
2020-04-09,VS,1567,67,26,23,
2020-04-10,VS,1598,74,22,20,
2020-04-11,VS,1623,76,23,20,
2020-04-12,VS,1636,80,19,17,
2020-04-13,VS,1650,81,21,18,
2020-04-14,VS,1678,81,19,17,
2020-04-15,VS,1691,82,16,14,
2020-04-16,VS,1708,83,19,16,
2020-04-17,VS,1725,86,17,15,
2020-04-18,VS,1734,91,16,14,
2020-04-19,VS,1743,95,17,15,
2020-04-20,VS,1762,98,14,11,
2020-04-21,VS,1770,102,19,12,
2020-04-22,VS,1778,105,15,11,
2020-04-23,VS,1793,110,17,10,
2020-04-24,VS,1802,114,16,9,
2020-04-25,VS,1807,117,16,9,
2020-04-26,VS,1809,117,17,10,
2020-04-27,VS,1827,118,22,12,
2020-04-28,VS,1837,121,19,9,
2020-04-29,VS,1844,122,19,9,
2020-04-30,VS,1850,123,17,8,
2020-05-01,VS,1854,123,16,6,
2020-05-02,VS,1856,124,20,6,
2020-05-03,VS,1858,126,17,6,
2020-05-04,VS,1866,126,21,7,
2020-05-05,VS,1868,130,19,7,
2020-05-06,VS,1872,130,19,6,
2020-05-07,VS,1873,130,16,5,
2020-05-08,VS,1877,132,14,4,
2020-05-09,VS,1878,132,14,4,
2020-05-10,VS,1879,132,14,4,
2020-05-11,VS,1883,134,8,4,
2020-05-12,VS,1883,134,8,4,
2020-05-13,VS,1884,134,13,4,
2020-05-14,VS,1886,134,13,4,
2020-05-15,VS,1895,134,9,4,
2020-05-16,VS,1898,134,8,4,
2020-05-17,VS,1898,134,8,4,
2020-05-18,VS,1900,136,5,3,
2020-05-19,VS,1901,136,5,3,
2020-05-20,VS,1901,136,5,3,
2020-05-21,VS,1902,136,4,3,
2020-05-22,VS,1902,136,5,3,
2020-05-23,VS,1902,136,3,1,
2020-05-24,VS,1903,136,3,1,
2020-05-25,VS,1905,136,2,0,
2020-05-26,VS,1908,136,2,0,
2020-05-27,VS,1910,136,2,0,
2020-05-28,VS,1910,136,2,0,
2020-05-29,VS,1910,136,1,0,
2020-05-30,VS,1910,136,1,0,
2020-05-31,VS,1912,136,1,0,
2020-06-01,VS,1913,136,1,0,
2020-06-02,VS,1914,136,1,0,
2020-06-03,VS,1914,136,1,0,
2020-06-04,VS,1916,136,1,0,
2020-06-05,VS,1918,136,1,0,
2020-06-06,VS,1919,136,1,0,
2020-06-07,VS,1921,136,1,0,
2020-06-08,VS,1926,136,0,0,
2020-06-09,VS,1927,136,0,0,
2020-06-10,VS,1931,136,0,0,
2020-06-11,VS,1935,136,0,0,
2020-06-12,VS,1939,137,0,0,
2020-06-13,VS,1939,137,0,0,
2020-06-14,VS,1939,137,0,0,
2020-06-15,VS,1944,137,0,0,
2020-06-16,VS,1948,137,0,0,
2020-06-17,VS,1949,137,0,0,
2020-06-18,VS,1950,137,0,0,
2020-06-19,VS,1958,137,0,0,
2020-06-20,VS,1962,137,0,0,
2020-06-21,VS,1964,137,0,0,
2020-06-22,VS,1968,137,0,0,
2020-06-23,VS,1974,137,0,0,
2020-06-24,VS,1984,137,0,0,
2020-06-25,VS,1991,137,0,0,
2020-06-26,VS,1999,137,0,0,
2020-06-27,VS,2003,137,0,0,
2020-06-28,VS,2004,137,0,0,
2020-06-29,VS,2012,137,0,0,
2020-06-30,VS,2016,137,0,0,
2020-07-01,VS,2019,137,0,0,
2020-07-02,VS,2023,137,1,1,
2020-07-03,VS,2027,137,1,1,
2020-07-04,VS,2029,137,1,1,
2020-07-05,VS,2031,137,1,1,
2020-07-06,VS,2034,137,1,1,
2020-07-07,VS,2037,137,1,1,
2020-07-08,VS,2037,137,1,1,
2020-07-09,VS,2039,137,0,0,
2020-07-10,VS,2041,137,3,1,
2020-07-11,VS,2046,137,3,1,
2020-07-12,VS,2049,137,3,1,
2020-07-13,VS,2052,137,1,1,
2020-07-14,VS,2057,137,2,1,
2020-07-15,VS,2059,137,2,1,
2020-07-16,VS,2060,137,1,1,
2020-07-17,VS,2064,137,1,1,
2020-07-18,VS,2064,137,1,1,
2020-07-19,VS,2065,137,1,1,
2020-07-20,VS,2068,137,3,2,
2020-07-21,VS,2070,137,4,2,
2020-07-22,VS,2073,137,3,2,
2020-07-23,VS,2075,137,1,1,
2020-07-24,VS,2077,137,2,1,
2020-07-25,VS,2077,137,2,1,
2020-07-26,VS,2078,137,2,1,
2020-07-27,VS,2080,137,2,1,
2020-07-28,VS,2085,137,2,1,
2020-07-29,VS,2094,137,0,0,
2020-07-30,VS,2102,137,0,0,
2020-07-31,VS,2104,137,0,0,
2020-08-01,VS,2107,137,0,0,
2020-08-02,VS,2108,137,0,0,
2020-08-03,VS,2111,137,0,0,
2020-08-04,VS,2119,137,0,0,
2020-08-05,VS,2123,137,0,0,
2020-08-06,VS,2129,137,0,0,
2020-08-07,VS,2136,137,0,0,
2020-08-08,VS,2142,137,0,0,
2020-08-09,VS,2145,137,0,0,
2020-08-10,VS,2156,137,0,0,
2020-08-11,VS,2163,137,0,0,
2020-08-12,VS,2171,137,2,0,
2020-08-13,VS,2179,137,1,0,
2020-08-14,VS,2186,137,1,0,
2020-08-15,VS,2191,137,1,0,
2020-08-16,VS,2196,137,1,0,
2020-08-17,VS,2205,137,2,0,
2020-08-18,VS,2211,137,2,0,
2020-08-19,VS,2219,137,2,0,
2020-08-20,VS,2227,137,2,0,
2020-08-21,VS,2244,137,2,0,
2020-08-22,VS,2255,137,2,0,
2020-08-23,VS,2258,137,2,0,
2020-08-24,VS,2273,137,0,0,
2020-08-25,VS,2287,137,0,0,
2020-08-26,VS,2299,137,0,0,
2020-08-27,VS,2308,137,1,1,
2020-08-28,VS,2323,137,1,1,
2020-08-29,VS,2325,137,1,1,
2020-08-30,VS,2326,137,1,1,
2020-08-31,VS,2333,137,0,0,
2020-09-01,VS,2343,137,0,0,
2020-09-02,VS,2357,137,0,0,
2020-09-03,VS,2374,137,0,0,
2020-09-04,VS,2387,137,0,0,
2020-09-05,VS,2395,137,0,0,
2020-09-06,VS,2397,137,0,0,
2020-09-07,VS,2406,137,0,0,
2020-09-08,VS,2415,137,0,0,
2020-09-09,VS,2421,138,0,0,
2020-09-10,VS,2434,138,0,0,
2020-09-11,VS,2443,138,0,0,
2020-09-12,VS,2453,138,0,0,
2020-09-13,VS,2460,138,0,0,
2020-09-14,VS,2479,138,1,0,
2020-09-15,VS,2487,138,0,0,
2020-09-16,VS,2507,138,0,0,
2020-09-17,VS,2532,138,0,0,
2020-09-18,VS,2543,138,0,0,
2020-09-19,VS,2548,138,0,0,
2020-09-20,VS,2554,138,0,0,
2020-09-21,VS,2570,138,0,0,
2020-09-22,VS,2585,138,0,0,
2020-09-23,VS,2604,138,0,0,
2020-09-24,VS,2619,138,0,0,
2020-09-25,VS,2625,138,0,0,
2020-09-26,VS,2630,138,0,0,
2020-09-27,VS,2634,138,0,0,
2020-09-28,VS,2649,138,1,1,
2020-09-29,VS,2663,138,1,1,
2020-09-30,VS,2689,138,1,1,
2020-10-01,VS,2706,138,1,1,
2020-10-02,VS,2737,138,1,1,
2020-10-03,VS,2754,138,1,1,
2020-10-04,VS,2770,138,1,1,
2020-10-05,VS,2805,139,1,1,
2020-10-06,VS,2866,139,1,1,
2020-10-07,VS,2968,139,1,1,
2020-10-08,VS,3062,140,1,1,
2020-10-09,VS,3201,140,1,1,
2020-10-10,VS,3282,140,1,1,
2020-10-11,VS,3358,140,1,1,
2020-10-12,VS,3587,141,4,1,
2020-10-13,VS,3809,142,6,3,
2020-10-14,VS,4109,143,4,2,
2020-10-15,VS,4420,144,4,2,
2020-10-16,VS,4816,146,8,4,
2020-10-17,VS,5099,147,8,4,
2020-10-18,VS,5299,148,8,4,
2020-10-19,VS,5865,152,13,5,
2020-10-20,VS,6423,153,14,6,
2020-10-21,VS,7097,161,13,6,
2020-10-22,VS,7776,165,15,6,
2020-10-23,VS,8532,169,16,6,
2020-10-24,VS,9052,174,18,7,
2020-10-25,VS,9430,177,20,9,
2020-10-26,VS,10314,181,25,10,
2020-10-27,VS,11194,187,153,10,
2020-10-28,VS,11965,191,159,11,
2020-10-29,VS,12752,199,160,11,
2020-10-30,VS,13557,203,167,14,
2020-10-31,VS,14026,209,174,17,
2020-11-01,VS,14348,221,194,15,
2020-11-02,VS,15198,228,212,21,
2020-11-03,VS,15880,240,236,23,
2020-11-04,VS,16422,248,251,22,
2020-11-05,VS,16967,262,255,26,
2020-11-06,VS,17425,271,250,28,
2020-11-07,VS,17691,277,255,27,
2020-11-08,VS,17881,288,275,26,
2020-11-09,VS,18434,295,264,26,
2020-11-10,VS,18861,303,260,26,
2020-11-11,VS,19204,318,257,26,
2020-11-12,VS,19522,325,245,24,
2020-11-13,VS,19824,331,237,23,
2020-11-14,VS,20004,335,224,25,
2020-11-15,VS,20124,344,223,26,
2020-11-16,VS,20447,349,223,27,
2020-11-17,VS,20730,360,227,25,
2020-11-18,VS,20945,369,215,25,
2020-11-19,VS,21140,375,200,25,
2020-11-20,VS,21291,382,186,25,
2020-11-21,VS,21410,391,181,26,
2020-11-22,VS,21505,398,182,25,
2020-11-23,VS,21725,402,173,25,
2020-11-24,VS,21890,417,175,21,
2020-11-25,VS,22035,424,165,22,
2020-11-26,VS,22177,431,153,20,
2020-11-27,VS,22333,435,135,19,
2020-11-28,VS,22410,440,127,18,
2020-11-29,VS,22483,446,132,18,
2020-11-30,VS,22646,452,131,17,
2020-12-01,VS,22773,454,118,18,
2020-12-02,VS,22893,457,102,18,
2020-12-03,VS,23018,459,95,20,
2020-12-04,VS,23154,461,98,17,
2020-12-05,VS,23216,466,98,17,
2020-12-06,VS,23278,472,98,17,
2020-12-07,VS,23456,473,93,17,
2020-12-08,VS,23534,475,93,15,
2020-12-09,VS,23681,477,89,16,
2020-12-10,VS,23796,481,83,15,
2020-12-11,VS,23917,482,79,13,
2020-12-12,VS,23989,483,79,13,
2020-12-13,VS,24058,487,81,15,
2020-12-14,VS,24181,490,77,14,
2020-12-15,VS,24290,490,79,14,
2020-12-16,VS,24387,491,92,13,
2020-12-17,VS,24468,492,80,12,
2020-12-18,VS,24560,495,76,13,
2020-12-19,VS,24605,495,76,14,
2020-12-20,VS,24651,497,76,14,
2020-12-21,VS,24756,501,71,13,
2020-12-22,VS,24852,502,71,13,
2020-12-23,VS,24948,503,63,12,
2020-12-24,VS,25029,504,63,12,
2020-12-25,VS,25081,508,63,12,
2020-12-26,VS,25159,510,64,12,
2020-12-27,VS,25234,510,58,13,
2020-12-28,VS,25367,512,51,9,
2020-12-29,VS,25506,514,51,9,
2020-12-30,VS,25651,518,51,7,
2020-12-31,VS,25783,519,51,8,
2021-01-01,VS,25854,519,51,8,
2021-01-02,VS,26003,523,51,9,
2021-01-03,VS,26114,526,51,8,
2021-01-04,VS,26351,527,61,8,
2021-01-05,VS,26520,530,60,8,
2021-01-06,VS,26666,532,61,9,
2021-01-07,VS,26811,536,61,10,
2021-01-08,VS,26958,539,62,12,
2021-01-09,VS,27027,543,65,11,
2021-01-10,VS,27099,545,65,9,
2021-01-11,VS,27297,545,69,10,
2021-01-12,VS,27448,546,70,9,
2021-01-13,VS,27582,548,82,9,
2021-01-14,VS,27700,549,103,9,
2021-01-15,VS,27819,554,103,9,
2021-01-16,VS,27878,558,103,9,
2021-01-17,VS,27929,561,98,9,
2021-01-18,VS,28091,564,81,9,
2021-01-19,VS,28233,568,96,10,
2021-01-20,VS,28403,568,73,10,
2021-01-21,VS,28519,572,74,10,
2021-01-22,VS,28647,574,66,10,
2021-01-23,VS,28712,575,66,8,
2021-01-24,VS,28783,582,66,9,
2021-01-25,VS,28936,583,70,11,
2021-01-26,VS,29024,585,67,11,
2021-01-27,VS,29116,589,68,10,
2021-01-28,VS,29241,592,61,11,
2021-01-29,VS,29349,596,62,10,
2021-01-30,VS,29424,598,64,9,
2021-01-31,VS,29478,599,64,10,
2021-02-01,VS,29602,602,65,11,
2021-02-02,VS,29705,608,70,7,
2021-02-03,VS,29849,609,70,7,
2021-02-04,VS,29941,610,69,6,
2021-02-05,VS,30041,614,61,8,
2021-02-06,VS,30088,618,61,7,
2021-02-07,VS,30134,619,61,7,
2021-02-08,VS,30237,620,63,6,
2021-02-09,VS,30294,621,63,8,
2021-02-10,VS,30357,623,64,6,
2021-02-11,VS,30430,624,64,6,
2021-02-12,VS,30491,626,65,6,
2021-02-13,VS,30524,628,65,6,
2021-02-14,VS,30558,628,65,6,
2021-02-15,VS,30620,631,66,6,
2021-02-16,VS,30689,632,67,5,
2021-02-17,VS,30746,632,67,7,
2021-02-18,VS,30790,634,40,6,
2021-02-19,VS,30839,638,40,5,
2021-02-20,VS,30889,639,40,4,
2021-02-21,VS,30925,639,40,5,
2021-02-22,VS,31015,639,23,5,
2021-02-23,VS,31091,640,30,8,
2021-02-24,VS,31157,641,25,7,
2021-02-25,VS,31229,642,31,7,
2021-02-26,VS,31296,642,31,8,
2021-02-27,VS,31327,642,14,8,
2021-02-28,VS,31362,643,14,8,
2021-03-01,VS,31450,643,45,7,
2021-03-02,VS,31518,643,39,4,
2021-03-03,VS,31577,644,16,4,
2021-03-04,VS,31632,645,16,6,
2021-03-05,VS,31724,646,11,6,
2021-03-06,VS,31752,646,11,4,
2021-03-07,VS,31781,646,6,3,
2021-03-08,VS,31885,646,27,7,
2021-03-09,VS,31951,646,27,8,
2021-03-10,VS,32007,646,26,7,
2021-03-11,VS,32085,647,22,8,
2021-03-12,VS,32158,647,21,4,
2021-03-13,VS,32200,647,21,4,
2021-03-14,VS,32222,647,21,4,
2021-03-15,VS,32301,647,10,2,
2021-03-16,VS,32382,648,10,4,
2021-03-17,VS,32484,649,8,3,
2021-03-18,VS,32557,649,7,4,
2021-03-19,VS,32615,649,7,1,
2021-03-20,VS,32673,649,7,1,
2021-03-21,VS,32710,649,7,1,
2021-03-22,VS,32824,649,3,1,
2021-03-23,VS,32912,649,3,1,
2021-03-24,VS,33006,650,7,1,
2021-03-25,VS,33113,650,3,2,
2021-03-26,VS,33206,650,7,3,
2021-03-27,VS,33250,650,7,3,
2021-03-28,VS,33291,650,7,3,
2021-03-29,VS,33424,650,6,3,
2021-03-30,VS,33516,650,5,3,
2021-03-31,VS,33599,650,4,3,
2021-04-01,VS,33683,650,4,3,
2021-04-02,VS,33771,650,20,5,
2021-04-03,VS,33812,651,22,5,
2021-04-04,VS,33856,651,23,6,
2021-04-05,VS,33913,651,22,7,
2021-04-06,VS,34018,651,17,4,
2021-04-07,VS,34167,651,17,4,
2021-04-08,VS,34282,651,17,4,
2021-04-09,VS,34412,651,16,4,
2021-04-10,VS,34493,652,18,4,
2021-04-11,VS,34536,652,18,4,
2021-04-12,VS,34695,652,18,4,
2021-04-13,VS,34802,653,20,4,
2021-04-14,VS,34947,654,18,5,
2021-04-15,VS,35075,654,11,4,
2021-04-16,VS,35197,654,18,6,
2021-04-17,VS,35266,655,18,6,
2021-04-18,VS,35303,655,18,6,
2021-04-19,VS,35444,656,16,6,
2021-04-20,VS,35557,657,17,6,
2021-04-21,VS,35660,657,20,5,
2021-04-22,VS,35770,657,19,5,
2021-04-23,VS,35876,659,18,5,
2021-04-24,VS,35938,659,18,4,
2021-04-25,VS,35990,661,19,4,
2021-04-26,VS,36092,662,17,5,
2021-04-27,VS,36191,663,15,6,
2021-04-28,VS,36283,664,15,6,
2021-04-29,VS,36370,664,11,6,
2021-04-30,VS,36456,664,14,6,
2021-05-01,VS,36498,664,14,6,
2021-05-02,VS,36528,664,14,6,
2021-05-03,VS,36638,665,14,6,
2021-05-04,VS,36724,665,15,7,
2021-05-05,VS,36784,666,15,6,
2021-05-06,VS,36844,666,11,5,
2021-05-07,VS,36921,666,12,5,
2021-05-08,VS,36958,666,12,4,
2021-05-09,VS,36994,666,13,4,
2021-05-10,VS,37078,666,11,5,
2021-05-11,VS,37139,666,9,5,
2021-05-12,VS,37188,666,13,5,
2021-05-13,VS,37210,666,13,5,
2021-05-14,VS,37248,667,12,4,
2021-05-15,VS,37276,667,13,4,
2021-05-16,VS,37310,667,14,4,
2021-05-17,VS,37367,667,14,4,
2021-05-18,VS,37412,667,15,4,
2021-05-19,VS,37457,667,14,4,
2021-05-20,VS,37501,667,14,4,
2021-05-21,VS,37534,668,13,4,
2021-05-22,VS,37553,669,8,4,
2021-05-23,VS,37569,669,11,3,
2021-05-24,VS,37610,669,10,3,
2021-05-25,VS,37651,669,8,2,
2021-05-26,VS,37695,669,8,1,
2021-05-27,VS,37752,670,8,1,
2021-05-28,VS,37778,670,7,1,
2021-05-29,VS,37798,671,8,2,
2021-05-30,VS,37823,671,8,2,
2021-05-31,VS,37859,671,7,2,
2021-06-01,VS,37886,671,8,3,
2021-06-02,VS,37911,671,8,3,
2021-06-03,VS,37922,671,3,3,
2021-06-04,VS,37940,671,8,2,
2021-06-05,VS,37953,671,8,2,
2021-06-06,VS,37966,671,8,2,
2021-06-07,VS,37979,671,9,3,
2021-06-08,VS,37994,671,6,3,
2021-06-09,VS,38012,671,6,3,
2021-06-10,VS,38021,671,6,3,
2021-06-11,VS,38035,671,6,3,
2021-06-12,VS,38040,671,6,3,
2021-06-13,VS,38045,671,6,3,
2021-06-14,VS,38050,671,6,3,
2021-06-15,VS,38057,671,6,3,
