date,abbreviation_canton_and_fl,ncumul_conf,ncumul_deceased,current_hosp,current_icu,current_vent
2020-02-24,ZG,0,0,,,
2020-02-25,ZG,0,0,,,
2020-02-26,ZG,0,0,,,
2020-02-27,ZG,0,0,,,
2020-02-28,ZG,0,0,,,
2020-02-29,ZG,0,0,,,
2020-03-01,ZG,1,0,,,
2020-03-02,ZG,3,0,,,
2020-03-03,ZG,6,0,,,
2020-03-04,ZG,7,0,,,
2020-03-05,ZG,7,0,,,
2020-03-06,ZG,7,0,,,
2020-03-07,ZG,7,0,,,
2020-03-08,ZG,7,0,,,
2020-03-09,ZG,7,0,,,
2020-03-10,ZG,7,0,,,
2020-03-11,ZG,8,0,,,
2020-03-12,ZG,12,0,,,
2020-03-13,ZG,13,0,,,
2020-03-14,ZG,17,0,,,
2020-03-15,ZG,17,0,,,
2020-03-16,ZG,21,0,,,
2020-03-17,ZG,31,0,,,
2020-03-18,ZG,36,0,,,
2020-03-19,ZG,38,0,,,
2020-03-20,ZG,46,0,,,
2020-03-21,ZG,51,0,,,
2020-03-22,ZG,51,0,,,
2020-03-23,ZG,55,0,,,
2020-03-24,ZG,63,0,,,
2020-03-25,ZG,70,0,,,
2020-03-26,ZG,75,0,,,
2020-03-27,ZG,82,1,,,
2020-03-28,ZG,87,1,,,
2020-03-29,ZG,89,1,,,
2020-03-30,ZG,96,1,14,6,
2020-03-31,ZG,99,1,13,6,
2020-04-01,ZG,111,1,12,5,
2020-04-02,ZG,117,2,14,7,
2020-04-03,ZG,124,2,13,7,
2020-04-04,ZG,128,2,13,7,
2020-04-05,ZG,130,3,14,7,
2020-04-06,ZG,134,3,14,8,
2020-04-07,ZG,136,3,15,9,
2020-04-08,ZG,139,3,14,9,
2020-04-09,ZG,141,3,15,9,
2020-04-10,ZG,141,4,14,9,
2020-04-11,ZG,141,5,14,9,
2020-04-12,ZG,143,5,12,8,
2020-04-13,ZG,144,5,14,9,
2020-04-14,ZG,144,6,12,8,
2020-04-15,ZG,145,6,10,7,
2020-04-16,ZG,147,6,8,6,
2020-04-17,ZG,147,7,9,5,
2020-04-18,ZG,148,7,10,5,
2020-04-19,ZG,148,7,12,6,
2020-04-20,ZG,148,8,10,5,
2020-04-21,ZG,149,8,7,3,
2020-04-22,ZG,152,8,5,3,
2020-04-23,ZG,153,8,5,3,
2020-04-24,ZG,156,8,5,3,
2020-04-25,ZG,157,8,5,3,
2020-04-26,ZG,157,8,7,4,
2020-04-27,ZG,158,8,6,3,
2020-04-28,ZG,160,8,6,3,
2020-04-29,ZG,162,8,6,3,
2020-04-30,ZG,162,8,6,3,
2020-05-01,ZG,163,8,4,1,
2020-05-02,ZG,164,8,3,1,
2020-05-03,ZG,164,8,4,1,
2020-05-04,ZG,164,8,4,1,
2020-05-05,ZG,166,8,4,2,
2020-05-06,ZG,166,8,4,2,
2020-05-07,ZG,166,8,1,1,
2020-05-08,ZG,166,8,1,1,
2020-05-09,ZG,166,8,1,1,
2020-05-10,ZG,166,8,0,0,
2020-05-11,ZG,166,8,1,1,
2020-05-12,ZG,167,8,1,1,
2020-05-13,ZG,168,8,0,0,
2020-05-14,ZG,170,8,0,0,
2020-05-15,ZG,170,8,0,0,
2020-05-16,ZG,170,8,0,0,
2020-05-17,ZG,170,8,0,0,
2020-05-18,ZG,170,8,0,0,
2020-05-19,ZG,170,8,0,0,
2020-05-20,ZG,171,8,0,0,
2020-05-21,ZG,171,8,0,0,
2020-05-22,ZG,173,8,1,1,
2020-05-23,ZG,173,8,1,1,
2020-05-24,ZG,173,8,1,1,
2020-05-25,ZG,173,8,1,0,
2020-05-26,ZG,173,8,1,0,
2020-05-27,ZG,173,8,0,0,
2020-05-28,ZG,173,8,0,0,
2020-05-29,ZG,173,8,0,0,
2020-05-30,ZG,173,8,0,0,
2020-05-31,ZG,173,8,0,0,
2020-06-01,ZG,173,8,0,0,
2020-06-02,ZG,173,8,0,0,
2020-06-03,ZG,173,8,0,0,
2020-06-04,ZG,173,8,0,0,
2020-06-05,ZG,174,8,0,0,
2020-06-06,ZG,174,8,0,0,
2020-06-07,ZG,174,8,0,0,
2020-06-08,ZG,177,8,0,0,
2020-06-09,ZG,178,8,0,0,
2020-06-10,ZG,182,8,0,0,
2020-06-11,ZG,183,8,1,0,
2020-06-12,ZG,183,8,1,0,
2020-06-13,ZG,183,8,1,0,
2020-06-14,ZG,184,8,1,0,
2020-06-15,ZG,186,8,2,1,
2020-06-16,ZG,186,8,2,1,
2020-06-17,ZG,186,8,2,1,
2020-06-18,ZG,186,8,0,0,
2020-06-19,ZG,187,8,0,0,
2020-06-20,ZG,187,8,0,0,
2020-06-21,ZG,187,8,0,0,
2020-06-22,ZG,190,8,0,0,
