date,abbreviation_canton_and_fl,ncumul_conf,ncumul_deceased,current_hosp,current_icu,current_vent
2020-02-24,ZH,0,0,,,
2020-02-25,ZH,0,0,,,
2020-02-26,ZH,1,0,,,
2020-02-27,ZH,2,0,,,
2020-02-28,ZH,2,0,,,
2020-02-29,ZH,6,0,,,
2020-03-01,ZH,8,0,,,
2020-03-02,ZH,13,0,,,
2020-03-03,ZH,14,0,,,
2020-03-04,ZH,19,0,,,
2020-03-05,ZH,24,0,,,
2020-03-06,ZH,29,0,,,
2020-03-07,ZH,36,0,,,
2020-03-08,ZH,42,0,,,
2020-03-09,ZH,55,0,,,
2020-03-10,ZH,88,0,,,
2020-03-11,ZH,128,0,,,
2020-03-12,ZH,167,0,,,
2020-03-13,ZH,221,0,,,
2020-03-14,ZH,255,0,,,
2020-03-15,ZH,293,1,,,
2020-03-16,ZH,428,1,,,
2020-03-17,ZH,558,1,,,
2020-03-18,ZH,691,2,,,
2020-03-19,ZH,827,3,,,
2020-03-20,ZH,968,4,,,
2020-03-21,ZH,1040,5,,,
2020-03-22,ZH,1091,6,,,
2020-03-23,ZH,1268,6,,,
2020-03-24,ZH,1407,7,,,
2020-03-25,ZH,1517,9,,,
2020-03-26,ZH,1631,12,,,
2020-03-27,ZH,1791,14,,,
2020-03-28,ZH,1862,18,,,
2020-03-29,ZH,1902,21,,,
2020-03-30,ZH,2060,22,78,23,
2020-03-31,ZH,2189,24,125,28,
2020-04-01,ZH,2304,33,132,39,
2020-04-02,ZH,2419,36,150,44,
2020-04-03,ZH,2552,38,152,48,
2020-04-04,ZH,2595,45,152,48,
2020-04-05,ZH,2617,49,162,51,
2020-04-06,ZH,2715,51,187,66,
2020-04-07,ZH,2802,53,188,69,
2020-04-08,ZH,2863,61,164,56,
2020-04-09,ZH,2915,63,175,64,
2020-04-10,ZH,2949,68,150,56,
2020-04-11,ZH,2967,74,149,51,
2020-04-12,ZH,2998,76,151,51,
2020-04-13,ZH,3014,80,142,50,
2020-04-14,ZH,3068,84,135,51,
2020-04-15,ZH,3096,88,136,51,
2020-04-16,ZH,3137,92,135,51,
2020-04-17,ZH,3166,97,120,46,
2020-04-18,ZH,3179,102,112,45,
2020-04-19,ZH,3187,102,114,46,
