isoweek,start,end,cases_80+,cases_inz_80+,cases_70-79,cases_inz_70-79,cases_60-69,cases_inz_60-69,cases_50-59,cases_inz_50-59,cases_40-49,cases_inz_40-49,cases_30-39,cases_inz_30-39,cases_20-29,cases_inz_20-29,cases_10-19,cases_inz_10-19,cases_0-9,cases_inz_0-9
2020-09,2020-02-24,2020-03-01,1,0.22,3,0.41,4,0.42,8,0.62,7,0.58,16,1.3,16,1.52,1,0.12,2,0.23
2020-10,2020-03-02,2020-03-08,24,5.27,32,4.41,47,4.93,84,6.47,76,6.31,59,4.78,45,4.29,9,1.06,4,0.46
2020-11,2020-03-09,2020-03-15,196,43.06,258,35.59,280,29.39,460,35.41,393,32.65,361,29.25,268,25.53,45,5.31,13,1.48
2020-12,2020-03-16,2020-03-22,602,132.25,666,91.87,908,95.3,1447,111.4,1047,86.97,926,75.03,755,71.91,196,23.11,26,2.96
2020-13,2020-03-23,2020-03-29,937,205.84,788,108.7,1020,107.06,1564,120.41,1146,95.2,924,74.87,785,74.77,174,20.52,16,1.82
2020-14,2020-03-30,2020-04-05,928,203.87,541,74.63,676,70.95,1269,97.7,953,79.16,741,60.04,744,70.87,157,18.51,23,2.62
2020-15,2020-04-06,2020-04-12,630,138.4,326,44.97,366,38.41,648,49.89,546,45.36,453,36.71,510,48.58,102,12.03,17,1.94
2020-16,2020-04-13,2020-04-19,380,83.48,125,17.24,145,15.22,295,22.71,256,21.27,273,22.12,287,27.34,67,7.9,9,1.03
2020-17,2020-04-20,2020-04-26,191,41.96,77,10.62,99,10.39,211,16.24,165,13.71,172,13.94,201,19.15,45,5.31,8,0.91
2020-18,2020-04-27,2020-05-03,108,23.73,30,4.14,63,6.61,120,9.24,105,8.72,107,8.67,122,11.62,25,2.95,19,2.17
2020-19,2020-05-04,2020-05-10,50,10.98,25,3.45,33,3.46,67,5.16,64,5.32,64,5.19,62,5.91,25,2.95,13,1.48
2020-20,2020-05-11,2020-05-17,22,4.83,16,2.21,26,2.73,44,3.39,34,2.82,31,2.51,29,2.76,24,2.83,8,0.91
2020-21,2020-05-18,2020-05-24,16,3.51,11,1.52,15,1.57,27,2.08,23,1.91,15,1.22,33,3.14,10,1.18,6,0.68
2020-22,2020-05-25,2020-05-31,5,1.1,5,0.69,5,0.52,23,1.77,23,1.91,19,1.54,26,2.48,15,1.77,7,0.8
2020-23,2020-06-01,2020-06-07,7,1.54,9,1.24,9,0.94,11,0.85,9,0.75,14,1.13,19,1.81,16,1.89,5,0.57
2020-24,2020-06-08,2020-06-14,1,0.22,3,0.41,17,1.78,23,1.77,20,1.66,26,2.11,25,2.38,11,1.3,14,1.6
2020-25,2020-06-15,2020-06-21,6,1.32,8,1.1,17,1.78,23,1.77,19,1.58,32,2.59,49,4.67,10,1.18,7,0.8
2020-26,2020-06-22,2020-06-28,5,1.1,8,1.1,20,2.1,50,3.85,62,5.15,70,5.67,103,9.81,28,3.3,9,1.03
2020-27,2020-06-29,2020-07-05,10,2.2,12,1.66,62,6.51,86,6.62,103,8.56,137,11.1,208,19.81,56,6.6,8,0.91
2020-28,2020-07-06,2020-07-12,10,2.2,23,3.17,80,8.4,93,7.16,95,7.89,130,10.53,141,13.43,46,5.42,14,1.6
2020-29,2020-07-13,2020-07-19,19,4.17,26,3.59,70,7.35,101,7.78,115,9.55,154,12.48,160,15.24,47,5.54,20,2.28
2020-30,2020-07-20,2020-07-26,16,3.51,36,4.97,73,7.66,109,8.39,114,9.47,164,13.29,229,21.81,70,8.25,14,1.6
2020-31,2020-07-27,2020-08-02,23,5.05,30,4.14,105,11.02,171,13.16,156,12.96,206,16.69,340,32.39,102,12.03,18,2.05
2020-32,2020-08-03,2020-08-09,12,2.64,29,4,69,7.24,158,12.16,143,11.88,222,17.99,310,29.53,136,16.04,19,2.17
2020-33,2020-08-10,2020-08-16,13,2.86,30,4.14,91,9.55,165,12.7,193,16.03,312,25.28,564,53.72,183,21.58,29,3.31
2020-34,2020-08-17,2020-08-23,26,5.71,27,3.72,102,10.71,165,12.7,235,19.52,375,30.39,675,64.29,222,26.18,30,3.42
