date,new_cases,total_cases,new_hosp,total_hosp,new_deaths,total_deaths,new_tests,percentage_postest,newreported_cases
2020-02-24,1,1,5,10,0,0,3,0,0
2020-02-25,1,2,4,18,0,0,4,0,0
2020-02-26,10,12,9,36,0,0,13,0,0
2020-02-27,12,24,4,44,0,0,16,0,0
2020-02-28,10,34,5,54,0,0,29,0,0
2020-02-29,13,47,12,78,0,0,40,0,0
2020-03-01,11,58,10,98,0,0,32,0,0
2020-03-02,31,89,14,126,0,0,19,0,0
2020-03-03,34,123,17,160,0,0,11,0,0
2020-03-04,61,184,12,184,0,0,14,0,0
2020-03-05,62,246,15,214,2,2,26,0,0
2020-03-06,73,319,23,260,0,2,28,0,0
2020-03-07,49,368,8,276,0,2,13,0,0
2020-03-08,69,437,17,310,1,3,15,0,0
2020-03-09,192,629,29,368,0,3,7,0,0
2020-03-10,212,841,40,448,2,5,9,0,0
2020-03-11,334,1175,48,544,3,8,13,0,0
2020-03-12,357,1532,51,646,4,12,22,0,0
2020-03-13,433,1965,54,754,3,15,20,0,0
2020-03-14,420,2385,64,882,5,20,7,0,0
2020-03-15,329,2714,54,990,8,28,9,0,0
2020-03-16,1065,3779,118,1226,7,35,5,0,0
2020-03-17,1088,4867,97,1420,12,47,5,0,0
2020-03-18,1214,6081,113,1646,8,55,9,0,0
2020-03-19,837,6918,109,1864,14,69,14,0,0
2020-03-20,1147,8065,141,2146,21,90,10,0,0
2020-03-21,693,8758,117,2380,19,109,13,0,0
2020-03-22,548,9306,134,2648,18,127,2,0,0
2020-03-23,1464,10770,161,2970,23,150,5,0,0
2020-03-24,1244,12014,181,3332,19,169,48,2.1,0
2020-03-25,1072,13086,198,3728,39,208,169,0,0
2020-03-26,1118,14204,164,4056,38,246,317,2.5,0
2020-03-27,1308,15512,207,4470,31,277,279,3.9,0
2020-03-28,723,16235,122,4714,57,334,449,2.2,0
2020-03-29,434,16669,121,4956,45,379,257,5.4,0
2020-03-30,1310,17979,164,5284,58,437,372,4.8,0
2020-03-31,1137,19116,125,5534,44,481,478,4.4,0
2020-04-01,1017,20133,97,5728,57,538,716,9.2,0
2020-04-02,878,21011,96,5920,60,598,592,14.2,0
2020-04-03,930,21941,75,6070,54,652,587,22.5,0
2020-04-04,486,22427,56,6182,55,707,957,10.1,0
2020-04-05,281,22708,50,6282,50,757,727,9.2,0
2020-04-06,925,23633,71,6424,50,807,744,11.8,0
2020-04-07,715,24348,58,6540,53,860,1631,9,0
2020-04-08,613,24961,59,6658,58,918,2172,9.9,0
2020-04-09,559,25520,57,6772,44,962,2724,13.7,0
2020-04-10,309,25829,40,6852,50,1012,4634,7,0
2020-04-11,262,26091,43,6938,44,1056,4689,9.1,0
2020-04-12,219,26310,32,7002,36,1092,5244,9.1,0
2020-04-13,245,26555,27,7056,36,1128,2523,14.4,0
2020-04-14,424,26979,52,7160,37,1165,5279,9.3,0
2020-04-15,328,27307,32,7224,37,1202,9353,11.4,0
2020-04-16,321,27628,37,7298,38,1240,10591,12.4,0
2020-04-17,291,27919,32,7362,36,1276,9617,14,0
2020-04-18,144,28063,14,7390,32,1308,8081,15.3,0
2020-04-19,87,28150,23,7436,21,1329,6393,17.7,0
2020-04-20,277,28427,23,7482,37,1366,3289,24.4,0
2020-04-21,213,28640,18,7518,33,1399,6640,19,0
2020-04-22,156,28796,21,7560,26,1425,5797,26.1,0
2020-04-23,208,29004,9,7578,29,1454,7663,15.4,0
2020-04-24,167,29171,13,7604,24,1478,7860,16.7,0
2020-04-25,87,29258,14,7632,24,1502,7195,18.6,0
2020-04-26,61,29319,6,7644,13,1515,5762,17.5,0
2020-04-27,173,29492,13,7670,23,1538,2760,20.9,0
2020-04-28,153,29645,14,7698,11,1549,4488,24.4,0
2020-04-29,120,29765,11,7720,10,1559,7121,19.4,0
2020-04-30,101,29866,4,7728,13,1572,6657,16.9,0
2020-05-01,83,29949,7,7742,12,1584,6959,15.3,0
2020-05-02,47,29996,7,7756,9,1593,6511,15.9,0
2020-05-03,23,30019,7,7770,8,1601,5204,13.5,0
2020-05-04,90,30109,4,7778,9,1610,3305,11.8,0
2020-05-05,73,30182,6,7790,8,1618,4105,18.3,0
2020-05-06,80,30262,2,7794,4,1622,6855,14.2,0
2020-05-07,46,30308,7,7808,12,1634,6560,12.1,0
2020-05-08,59,30367,3,7814,7,1641,6014,12,0
2020-05-09,39,30406,2,7818,5,1646,3979,10.8,0
2020-05-10,16,30422,6,7830,7,1653,2791,13.5,0
2020-05-11,48,30470,5,7840,3,1656,2299,12.1,1
2020-05-12,43,30513,1,7842,1,1657,2195,13.6,0
2020-05-13,37,30550,6,7854,1,1658,3922,11.7,0
2020-05-14,38,30588,3,7860,2,1660,5586,8.3,0
2020-05-15,41,30629,3,7866,5,1665,5130,9.1,0
2020-05-16,15,30644,3,7872,1,1666,4595,8.4,0
